 	les	ailes	de	l'	oiseau	sont	noires	</S>
a	0.577449	0.344046	0.0594686	0.00939132	0.00721256	0.00234583	4.03437e-05	4.69393e-05
p	0.128915	0.779131	0.0502092	0.0100328	0.0145039	0.0052019	0.0105828	0.0014227
a	0.0103917	0.889409	0.0463807	0.0267073	0.00213183	0.00176208	0.0179537	0.00526395
b	0.0192304	0.825865	0.118767	0.0165811	0.00214155	0.00172222	0.012462	0.00323071
h	0.166308	0.246598	0.399107	0.113125	0.0258372	0.0177127	0.00098254	0.0303297
í	0.246252	0.340096	0.145405	0.0788613	0.073381	0.0267544	0.00562034	0.0836298
m	0.116516	0.0655691	0.447692	0.252716	0.0318432	0.0442232	0.00700326	0.0344371
á	0.143655	0.0188045	0.178873	0.239849	0.0399497	0.297057	0.00198622	0.0798259
n	0.335515	0.030444	0.153613	0.271993	0.139987	0.051705	0.003044	0.013699
y	0.0114918	0.000587504	0.00978169	0.030995	0.938572	0.00646156	9.31374e-06	0.00210163
ω	0.00124743	0.00117683	0.00749455	0.0241528	0.963147	0.00152916	7.48145e-05	0.00117723
s	0.0051636	0.00323635	0.027224	0.0430976	0.913148	0.00442061	0.000282512	0.00342797
í	0.00510461	0.00705666	0.0941421	0.187037	0.0989515	0.128816	0.0311201	0.447772
á	0.047005	0.0033719	0.0863177	0.0997728	0.0500695	0.487928	0.139528	0.0860064
d	0.00609823	0.00811631	0.0387679	0.0526975	0.0323783	0.55467	0.222551	0.0847212
í	0.00248831	0.00083835	0.00732331	0.00845521	0.00246587	0.226302	0.022422	0.729705
p	0.0029533	0.000306084	0.00638667	0.0150379	0.00668583	0.0712603	0.669448	0.227922
i	0.00138893	0.0058505	0.00501393	0.0148778	0.0022226	0.0148628	0.917431	0.0383528
p	7.4818e-05	0.000180974	0.00099015	0.00281148	0.000825283	0.00734964	0.933171	0.0545966
i	0.00140446	0.00259277	0.00506632	0.00822793	0.000688281	0.0374684	0.808253	0.136298
</S>	0.000358506	0.000858953	0.00245352	0.00488396	0.00184319	0.0183783	0.679579	0.291644
