 	j'	ai	vu	une	foule	de	gens	au	marché	</S>
n	0.877994	0.0832575	0.00483685	0.00456276	0.00683554	0.0113549	0.00601861	0.00422039	0.000326435	0.000592898
g	0.977097	0.0199347	0.000267547	0.00141079	0.000519366	0.000349976	3.93652e-05	0.000239381	0.00011993	2.15941e-05
á	0.92593	0.0686305	0.0010402	0.00278985	0.000610648	0.000304867	0.00025488	0.000146624	0.000276638	1.5659e-05
í	0.099769	0.363273	0.105852	0.0368488	0.0170509	0.0208763	0.0117085	0.0133995	0.0211425	0.310079
t	0.00475341	0.320769	0.625354	0.0310166	0.00864831	0.00250116	0.00218803	0.00159481	0.000884013	0.00229021
έ	0.000116626	0.0729685	0.803775	0.0898619	0.0179477	0.00485256	0.00536543	0.00124235	0.00120184	0.00266774
i	0.0156793	0.142928	0.248991	0.33252	0.161823	0.0450705	0.013374	0.019611	0.00840192	0.0115999
e	0.0426965	0.100985	0.10041	0.220861	0.296506	0.142758	0.0344902	0.0328276	0.00775898	0.0207078
k	0.00103565	0.0246466	0.0565927	0.213665	0.422182	0.118429	0.101802	0.0207079	0.0218279	0.0191107
u	1.65568e-05	0.00394482	0.036941	0.219982	0.338842	0.101826	0.277787	0.00583904	0.00528171	0.00954023
n	0.000206746	0.00318857	0.0209469	0.332118	0.364479	0.0960609	0.11997	0.00760484	0.0124361	0.0429897
g	0.00716231	0.0113606	0.0250859	0.463066	0.213462	0.153296	0.0522613	0.0129751	0.0173244	0.0440066
a	0.0235745	0.0133552	0.00618195	0.227784	0.183632	0.311693	0.114976	0.0156606	0.0205871	0.0825556
y	0.000238701	0.00414931	0.00290842	0.0442005	0.125828	0.367308	0.0663322	0.363861	0.0076489	0.0175248
á	0.00206729	0.00911942	0.00423573	0.132643	0.124106	0.160761	0.0258401	0.319052	0.133583	0.0885929
b	0.00283594	0.00477351	0.00150212	0.0225674	0.0626575	0.149736	0.0385613	0.437081	0.259005	0.0212808
a	0.00694975	0.00494655	0.00331185	0.0135898	0.137846	0.159996	0.511191	0.0985654	0.0413353	0.0222692
r	0.000274741	0.000446652	0.000785215	0.00248767	0.0303593	0.0732376	0.782708	0.0348087	0.0240839	0.0508086
e	0.000131343	0.000610112	0.00281973	0.0302915	0.086711	0.143333	0.549719	0.0536015	0.0135405	0.119243
o	0.00026957	0.00424107	0.00528814	0.0160608	0.0420616	0.156509	0.189458	0.460265	0.0202832	0.105564
d	3.98492e-05	0.00222814	0.00119484	0.0155058	0.0160918	0.0352329	0.0121405	0.494398	0.192353	0.230815
z	8.0994e-05	0.00195565	0.00167711	0.0194476	0.0128325	0.00746691	0.00102962	0.209335	0.568548	0.177626
á	0.0003198	0.00238102	0.000864265	0.0170653	0.00649313	0.00435387	0.000825183	0.0462975	0.883778	0.0376218
n	0.00052466	0.000427647	0.000175283	0.00174298	0.00974344	0.0310933	0.0186557	0.0710913	0.513065	0.35348
d	0.000115604	0.0010894	0.000337483	0.00346748	0.00382677	0.00545397	0.00221028	0.0168005	0.698304	0.268394
e	0.000940037	0.00128926	0.000180616	0.00534384	0.00404422	0.00606058	0.00176574	0.0296836	0.590472	0.36022
</S>	2.61145e-05	0.000821753	0.000959701	0.00523849	0.00796235	0.0397115	0.0193724	0.101762	0.111273	0.712873
