 	les	vieux	oignent	leurs	cheveux	d'	huile	de	palme	pour	cacher	les	cheveux	blancs	</S>
i	0.700046	0.267801	0.0109419	0.00495351	0.00727751	0.00416172	0.00128097	0.000807155	6.07077e-05	0.000518303	0.000964823	0.00102217	5.43165e-05	0.000106359	3.5574e-06
d	0.10576	0.831977	0.0543796	0.000665433	0.00216882	0.000138025	5.20489e-05	0.000159448	0.000484768	0.000814061	0.00113662	0.000690396	0.000279344	0.000652199	0.000642039
u	0.123557	0.764262	0.0867811	0.0017344	0.00193467	0.000498964	0.00016594	0.000229127	0.00126549	0.000704049	0.000723459	0.00087031	0.0008039	0.00378136	0.0126884
n	0.071861	0.849215	0.0391006	0.00678238	0.00363563	0.00301762	0.00108679	0.000722218	0.00148056	0.00241546	0.00215338	0.00131683	0.000794939	0.00915875	0.00725905
ú	0.113728	0.803799	0.0414717	0.0183737	0.00584825	0.0059307	0.00154432	0.000611826	0.00144171	0.00116079	0.000587764	0.000947026	0.000235219	0.0011223	0.00319711
b	0.239209	0.119464	0.407032	0.0635315	0.00466162	0.0424667	0.0096194	0.0338727	0.00939868	0.0121024	0.00872784	0.00974778	0.000952107	0.00366754	0.0355476
í	0.216517	0.045477	0.111155	0.0875449	0.00922354	0.0534097	0.0189152	0.0834792	0.0348126	0.0516142	0.120544	0.0407975	0.000682536	0.025468	0.10036
i	0.276471	0.0937417	0.122537	0.193646	0.0363376	0.0357368	0.0539776	0.0610315	0.0284488	0.0169561	0.017615	0.0134849	0.00350463	0.00756214	0.0389493
b	0.0242049	0.0269931	0.517032	0.0950486	0.0664988	0.0398985	0.0112475	0.0248363	0.0988069	0.0289516	0.0079844	0.00514039	0.00303861	0.00559344	0.0447251
ó	0.0430265	0.00857113	0.388315	0.188738	0.0220125	0.0656503	0.0413789	0.0797064	0.0450421	0.0438881	0.0429087	0.00786896	0.00153481	0.00256923	0.0187898
