 	détache	le	cabri	</S>
s	0.78832	0.200999	0.00583992	0.00484077
ó	0.229585	0.0447231	0.577188	0.148504
r	0.353741	0.344214	0.094988	0.207056
á	0.319826	0.134806	0.0624025	0.482966
m	0.0600129	0.540076	0.146614	0.253297
b	0.00205233	0.024686	0.954539	0.018723
ó	0.0048017	0.00622138	0.982093	0.00688378
s	0.0469887	0.0152948	0.918384	0.0193323
i	0.156266	0.178291	0.484612	0.180831
i	0.181829	0.469039	0.0683376	0.280795
k	0.0414728	0.512625	0.0439719	0.40193
í	0.407097	0.267968	0.00929513	0.315641
é	0.114026	0.097611	0.0215569	0.766806
</S>	0.0944557	0.300612	0.00429226	0.60064
