 	il	fait	chaud	dans	la	cuisine	de	leur	grand-mère	</S>
y	0.426816	0.286243	0.0840284	0.0890751	0.0643095	0.0123724	0.0278542	0.0059006	0.00310654	0.000294622
á	0.0882128	0.209815	0.280259	0.112139	0.0326025	0.125645	0.00647074	0.0146109	0.118622	0.0116224
n	0.0195222	0.285617	0.41385	0.0829374	0.0427701	0.105649	0.0122954	0.00618599	0.0188669	0.0123065
g	0.035369	0.0720935	0.687893	0.0946318	0.0126052	0.00403462	0.00771116	0.0259223	0.00144817	0.0582915
a	0.0147614	0.107885	0.851747	0.0134782	0.00149928	0.000908554	0.00101173	0.000982412	0.000164399	0.00756214
l	0.0068489	0.0648971	0.598422	0.270726	0.00819702	0.00295016	0.00151285	0.00168684	9.98369e-05	0.0446599
á	0.0551341	0.221179	0.346861	0.115031	0.0148247	0.00561119	0.00750649	0.00269844	0.00124836	0.229905
í	0.0325842	0.0837972	0.35868	0.380492	0.0486382	0.0537448	0.0131745	0.0169553	0.00419443	0.00773963
d	0.0796563	0.125621	0.256147	0.269496	0.141563	0.0815184	0.0208727	0.0100875	0.00255509	0.0124827
i	0.00241796	0.0288534	0.315654	0.478555	0.0661452	0.0386055	0.00668473	0.00444633	0.00102558	0.0576121
s	0.00835662	0.0576693	0.14622	0.304388	0.162168	0.212038	0.0352044	0.00289021	0.00609967	0.0649668
á	0.00188814	0.0432791	0.295881	0.297728	0.114128	0.0985546	0.0368155	0.00719794	0.0237332	0.0807947
k	0.00173782	0.0054245	0.0321939	0.14037	0.168998	0.419214	0.135877	0.0340116	0.0434696	0.0187033
ú	0.00126653	0.00745795	0.0183752	0.0199966	0.126694	0.640116	0.089308	0.00673223	0.0811593	0.00889438
k	0.000164473	0.00138457	0.00989219	0.0129777	0.0631557	0.679178	0.0542498	0.000620349	0.0764916	0.101885
u	0.00349253	0.00686184	0.0159406	0.0309708	0.0945721	0.673387	0.0788957	0.00953743	0.0630536	0.0232883
l	0.00141121	0.0035601	0.00248065	0.0289021	0.0803886	0.124216	0.596744	0.0256088	0.0312346	0.105454
á	0.00376765	0.0204672	0.0544366	0.0802027	0.131246	0.11433	0.249873	0.0860666	0.124624	0.134987
k	0.00407571	0.0245836	0.0346726	0.0680244	0.0456228	0.0535832	0.122938	0.418496	0.171626	0.0563772
a	0.00079857	0.00650937	0.0119744	0.0144615	0.0590161	0.179156	0.126395	0.107051	0.435527	0.0591109
a	8.60887e-05	0.000240858	0.000942811	0.00173364	0.0175572	0.118455	0.0776192	0.0646609	0.530288	0.188416
g	0.000552461	0.00151094	0.00192786	0.00922753	0.0114366	0.00434382	0.048346	0.543495	0.107757	0.271403
h	0.00406572	0.0105769	0.0158096	0.0292298	0.0684849	0.0349822	0.0796446	0.277429	0.174419	0.305359
á	0.00164248	0.00629622	0.0139501	0.0296721	0.0648737	0.0852504	0.130359	0.207579	0.149146	0.311232
y	0.00050872	0.00209823	0.00336049	0.00676608	0.00716726	0.0092201	0.0248918	0.173433	0.177408	0.595146
a	0.00480206	0.0614838	0.236832	0.0724436	0.0211111	0.0124853	0.028388	0.138518	0.17732	0.246616
b	0.00053954	0.0049391	0.016366	0.033557	0.0171694	0.0275448	0.0483297	0.306306	0.255628	0.28962
á	0.00240735	0.0078416	0.00207255	0.0209021	0.0637263	0.0217008	0.101524	0.639313	0.085865	0.0546473
a	0.000285918	0.000398953	0.000522872	0.00206422	0.00611213	0.00956247	0.0332552	0.263114	0.547131	0.137553
</S>	0.000799887	0.00293936	0.00482413	0.0113979	0.0133321	0.00495285	0.0261416	0.10678	0.106116	0.722715
