 	cette	fille	avait	fui	la	maison	de	son	mari	</S>
m	0.612135	0.382503	0.00151097	0.000705904	0.00137371	0.000408841	0.000559291	0.000446895	0.000146261	0.000210196
w	0.00781229	0.991516	0.000531932	4.73982e-05	1.50502e-05	1.58239e-05	1.83816e-05	6.15374e-06	1.75968e-06	3.48069e-05
á	0.00104516	0.998529	6.51481e-05	8.80794e-05	3.09583e-06	0.000262344	3.09576e-06	1.17511e-06	1.36234e-06	1.75729e-06
n	0.387091	0.609278	0.000617477	0.000319221	0.000103673	0.000756826	0.000195117	8.24365e-05	5.55143e-06	0.00155125
a	0.0209041	0.861095	0.0615315	0.00156905	0.00233536	0.010018	0.00346152	0.00115648	8.97734e-05	0.0378395
o	0.792298	0.161663	0.0159074	0.00186693	0.0110422	0.0012321	0.00408442	0.00735924	0.000528098	0.00401928
y	0.094236	0.299672	0.235683	0.260358	0.00537136	0.0148584	0.00768622	0.00479135	0.065545	0.0117982
ú	0.482128	0.309181	0.137387	0.0518468	0.00310905	0.00407883	0.00289039	0.00200842	0.00250514	0.00486496
r	0.951781	0.0113171	0.0108267	0.0064434	0.0046786	0.000568026	0.00159574	0.00364286	0.000544227	0.00860276
u	0.864555	0.111173	0.0110382	0.00143559	0.00335425	0.00120465	0.00132921	0.00312615	0.000257116	0.00252663
w	0.0574384	0.0151098	0.803315	0.0105061	0.0215463	0.00231124	0.0285033	0.0251552	0.00414295	0.0319717
ó	0.12299	0.00489732	0.508147	0.0139723	0.0834103	0.0216158	0.0839269	0.104427	0.00931147	0.0473026
á	0.0204512	0.00117659	0.730016	0.053917	0.0355359	0.00956177	0.0343235	0.0270233	0.00960465	0.0783905
m	0.0033531	0.00148011	0.323099	0.294154	0.0846107	0.0546931	0.051403	0.0294655	0.0434317	0.11431
o	0.0273056	0.00175802	0.267936	0.336915	0.194937	0.0102354	0.0654364	0.035112	0.0059218	0.0544423
ó	0.00152611	0.000262331	0.00727637	0.972705	0.00452468	0.00329086	0.00130506	0.000786662	0.00483253	0.0034907
k	0.00529388	0.00104424	0.0233312	0.674695	0.127552	0.00434775	0.0271983	0.0350812	0.027461	0.0739956
u	0.000779593	6.09807e-05	0.00473546	0.964677	0.00570658	0.00111604	0.00463553	0.00226456	0.00849587	0.00752831
m	0.0180159	0.000743422	0.00409496	0.940356	0.00603445	0.00270706	0.0019785	0.00173634	0.00289456	0.0214388
á	0.147177	0.000386118	0.0513047	0.0972216	0.396437	0.040682	0.100875	0.107958	0.00139495	0.0565633
n	0.0050053	0.000828712	0.0181839	0.0160488	0.362182	0.331955	0.110412	0.131039	0.0152398	0.00910464
d	0.00364327	0.000361071	0.00221575	7.57033e-05	0.0464074	0.929988	0.00931923	0.00292409	0.000126385	0.00493876
é	0.00142774	0.00382644	0.00119817	6.39411e-05	0.0216883	0.960625	0.00617423	0.00200323	0.00149755	0.00149594
e	0.00197153	0.000342607	0.019395	0.00544414	0.292399	0.18676	0.221277	0.113803	0.0715277	0.0870793
y	0.00153335	0.0001074	0.00663541	0.00178114	0.117988	0.0438277	0.3514	0.281236	0.0955859	0.0999053
ó	0.0203461	0.000446584	0.0151062	0.00285637	0.158745	0.05897	0.24855	0.272045	0.181011	0.0419236
l	0.00112196	8.24644e-05	0.00564809	0.00499333	0.0440239	0.0419639	0.11804	0.102991	0.542747	0.138388
ó	0.000541618	5.43559e-05	0.00185455	0.00154211	0.0255766	0.0256993	0.124858	0.0651053	0.662408	0.0923603
m	5.49695e-05	1.68631e-05	0.000853024	0.00121056	0.00681958	0.00191781	0.038137	0.0242975	0.902345	0.024348
i	0.00132912	0.000201001	0.00213084	0.00108678	0.0364394	0.00238595	0.0639038	0.20711	0.487977	0.197437
</S>	0.0045513	0.000208431	0.00386932	0.00122354	0.0193541	0.00864284	0.0848509	0.173922	0.0572194	0.646159
