 	la	pirogue	a	accosté	</S>
b	0.451399	0.532098	0.016	0.000157332	0.000346046
v	0.0292736	0.933762	0.0347684	0.00150577	0.00069041
á	0.00595715	0.992895	7.86062e-05	0.000928343	0.000140731
r	0.0620343	0.903965	0.00146917	0.00609219	0.026439
e	0.376067	0.553297	0.0119589	0.000985336	0.0576916
ó	0.292606	0.194239	0.344083	0.0338283	0.135244
m	0.28882	0.0545503	0.52654	0.0440927	0.0859963
i	0.0457311	0.00745122	0.252539	0.292189	0.40209
s	0.0231728	0.0268235	0.0464851	0.739414	0.164104
ε	0.0159268	0.00175039	0.0203731	0.682616	0.279334
m	0.0281334	0.0140321	0.116946	0.28966	0.551229
ε	0.34397	0.0752817	0.0941928	0.24363	0.242925
</S>	0.0315366	0.0293965	0.207785	0.0758837	0.655398
