 	ce	malade	a	pris	trop	de	poids	</S>
o	0.481058	0.317689	0.125172	0.0177727	0.0400884	0.0119059	0.00125474	0.00505984
k	0.0108856	0.957718	0.0105174	0.0124379	0.00146182	0.00117932	0.00521958	0.000580516
ω	0.00308151	0.940967	0.00145963	0.039054	0.0041188	0.000269599	0.00978671	0.00126268
n	0.000851079	0.988581	0.00146433	0.00336846	0.000641739	0.000303232	0.00413067	0.000659587
í	0.0341498	0.919256	0.0080921	0.01449	0.00816197	0.00137638	0.00894799	0.00552629
m	0.458634	0.096859	0.276348	0.0558936	0.0421018	0.0127357	0.00284491	0.0545829
ú	0.884463	0.0256674	0.0498224	0.0081283	0.00934939	0.0106268	0.000787207	0.0111559
ó	0.244288	0.0198762	0.512869	0.0907873	0.0502124	0.0362696	0.00472524	0.0409727
d	0.0933787	0.0255645	0.179276	0.39699	0.145498	0.0891143	0.0186665	0.0515121
í	0.017468	0.00204203	0.0164658	0.111299	0.0224695	0.0603597	0.0434567	0.726439
f	0.0818744	0.00159869	0.025979	0.149567	0.113344	0.0693581	0.0377412	0.520538
u	0.00845654	0.00276944	0.0178476	0.190071	0.407912	0.0852579	0.126829	0.160857
ú	0.00182968	0.000638807	0.00586921	0.069107	0.121632	0.0494958	0.17536	0.576068
l	0.00157655	0.00024935	0.00781786	0.0162545	0.154097	0.173459	0.146804	0.499741
ε	0.0094312	0.00225614	0.0187629	0.0666068	0.205854	0.270906	0.111063	0.31512
</S>	0.00843584	0.00179566	0.0127977	0.0131265	0.0626996	0.111588	0.181569	0.607987
