 	je	m'	en	vais	couper	du	bois	de	chauffe	au	champ	</S>
n	0.951676	0.0196091	0.0201377	0.00213451	0.00104205	0.00134297	0.00126092	0.00090736	0.000703666	0.00107092	3.19519e-05	8.319e-05
g	0.893904	0.100052	0.00539151	0.000276922	3.55317e-05	8.65934e-05	4.56837e-05	3.56021e-05	3.06188e-05	2.0682e-05	0.000120626	1.0183e-06
á	0.661628	0.30657	0.0252563	0.00205647	6.53597e-05	0.000308431	0.000251429	0.000239177	7.61027e-05	5.97209e-05	0.0034809	8.31516e-06
í	0.144983	0.246801	0.288996	0.0517435	0.0065283	0.0296889	0.024176	0.0298721	0.00936684	0.0262101	0.0036406	0.137994
m	0.0072695	0.0108244	0.546854	0.380929	0.0352677	0.0049744	0.00577624	0.00324093	0.0015329	0.000660772	3.34903e-05	0.00263666
o	0.000550359	0.0462063	0.539843	0.40201	0.00270125	0.00367268	0.00194962	0.00136751	0.000260667	0.000827917	4.157e-06	0.000606123
d	0.000729506	0.000839722	0.180437	0.714834	0.0950242	0.00279503	0.00205651	0.000889749	0.00140197	0.000216652	1.37033e-05	0.0007629
z	0.000131538	0.000333762	0.210487	0.720766	0.0575998	0.00519463	0.00313147	0.000872781	0.000928459	9.86495e-05	7.95067e-07	0.000455893
w	0.0670592	0.0268236	0.149898	0.74585	0.00565406	0.00259008	0.00107192	0.000356344	0.000451877	0.000132761	1.22294e-05	0.000100207
á	0.00940746	0.00688922	0.0976819	0.594923	0.0417411	0.111826	0.0530997	0.0316742	0.00814392	0.0156905	7.87655e-06	0.028915
o	0.00183459	0.0164337	0.0814882	0.184925	0.186138	0.271916	0.112367	0.0615994	0.0426354	0.0239958	0.00175291	0.0149137
t	3.42819e-05	0.000186735	0.0111483	0.0788917	0.764991	0.0715522	0.052233	0.00852001	0.00873563	0.000699626	0.000191493	0.00281573
έ	4.32225e-06	1.75289e-05	0.00346146	0.00783888	0.901067	0.0406967	0.032845	0.00463085	0.00736663	0.000128266	0.000162155	0.00178142
b	0.000345426	0.00283449	0.0293497	0.0101971	0.397112	0.302178	0.118115	0.0555617	0.0537163	0.00296388	0.00089507	0.0267312
h	0.0101436	0.010968	0.0261473	0.0339794	0.436835	0.0739133	0.0798604	0.0896073	0.077896	0.0941783	0.00286472	0.0636064
έ	0.00105342	0.00175109	0.00340479	0.00501027	0.10187	0.120339	0.126291	0.147465	0.115858	0.216734	0.0367081	0.123516
k	0.000149432	0.000901811	0.000584251	0.000496396	0.00570284	0.137883	0.2178	0.258225	0.218297	0.117986	0.00441083	0.0375626
ó	0.000527381	0.000509479	0.000401948	0.000810279	0.0105191	0.0483219	0.251037	0.268598	0.34926	0.0357615	0.00899373	0.0252596
n	2.28473e-05	0.000113126	0.0010324	0.000815029	0.0234922	0.114948	0.290631	0.238369	0.309486	0.00861358	0.00127418	0.0112017
y	9.96779e-05	7.46966e-05	0.00156797	0.00112825	0.00542838	0.0979682	0.273816	0.267031	0.264393	0.034546	0.00548441	0.0484626
i	2.80481e-05	2.22154e-05	0.000177566	0.000666699	0.0112592	0.0843164	0.227751	0.183352	0.307514	0.0315312	0.0163344	0.137047
s	0.000107292	0.000265273	0.0026878	0.000878128	0.00235112	0.0723587	0.153592	0.322201	0.184499	0.157973	0.0112015	0.0918849
á	0.0001331	0.000118773	0.000428555	0.000412347	0.00151401	0.0159324	0.0458097	0.123034	0.166382	0.230474	0.0149222	0.400839
n	0.000488674	0.000660883	0.00110911	0.000352969	0.000545452	0.00535161	0.00743846	0.0254814	0.0913855	0.227711	0.604371	0.0351039
g	0.000632503	0.00107805	5.83939e-05	1.77901e-05	1.30391e-05	0.00111376	0.00204981	0.00803918	0.0072883	0.0242442	0.945435	0.0100297
o	0.000325872	0.000428086	1.12025e-05	2.52269e-06	2.29896e-06	8.90186e-05	0.000126635	0.000378655	0.000608756	0.000719449	0.996379	0.000928866
n	1.40201e-05	4.85294e-05	3.65826e-05	3.41917e-05	2.25364e-05	0.00145706	0.00322949	0.00842643	0.029304	0.00637615	0.92791	0.0231408
d	0.000232236	0.000160887	0.000926539	0.00143541	0.00155192	0.0218714	0.0177019	0.0291731	0.0438742	0.063193	0.0155917	0.804288
a	0.000348683	0.00015272	0.000386248	0.00030138	0.000417632	0.00493327	0.00674945	0.0146213	0.0494958	0.0334289	0.198752	0.690413
</S>	0.000414054	0.00037798	0.00152044	0.000370549	0.000451574	0.0187214	0.0223607	0.0596214	0.044119	0.146167	0.0617702	0.644106
