 	ce	long	fagot	de	bois	que	nyasoni	a	apporté	contient	de	grosses	fourmis	rouges	</S>
o	0.913838	0.0463322	0.0132854	0.00752869	0.00806238	0.00462403	0.00243273	0.00138769	0.000566946	0.000203734	0.000273856	0.000644734	0.000746603	6.04535e-05	1.22963e-05
l	0.139229	0.827605	0.0123274	0.000892954	0.0024146	0.000867514	0.00619021	0.00156105	0.000601395	0.000597438	0.000944376	0.000654287	0.0016865	0.0017213	0.00270671
a	0.0245858	0.938351	0.011458	0.00191277	0.00841786	0.000890414	0.00874926	0.000899782	0.000737922	0.000953609	0.000732564	0.000375657	0.000880334	0.00049205	0.000563232
b	0.0783069	0.778536	0.0342417	0.00955285	0.0127355	0.0055214	0.0308292	0.00977434	0.00952802	0.00470066	0.00476939	0.00213069	0.0042562	0.00262928	0.0124875
h	0.278955	0.291433	0.0456411	0.0381085	0.0693649	0.0275217	0.0346707	0.031409	0.019715	0.0231155	0.0145202	0.0246274	0.0310137	0.0168237	0.0530811
a	0.554221	0.101197	0.0585859	0.0251562	0.0179581	0.0305177	0.0104597	0.0303713	0.0337842	0.00894934	0.0152389	0.00921699	0.0178442	0.0106679	0.0758316
a	0.646946	0.131154	0.0367403	0.0231614	0.00756073	0.0298776	0.00412624	0.0238467	0.0210388	0.0187234	0.0102635	0.00981853	0.0129514	0.000812774	0.0229783
m	0.45462	0.091424	0.270568	0.0266003	0.0087656	0.0101038	0.00801551	0.0233612	0.0173451	0.0230407	0.0115168	0.00998673	0.0142531	0.00240895	0.0279902
á	0.186282	0.0141345	0.213396	0.303954	0.0125731	0.0496727	0.00376093	0.0353526	0.043066	0.0242147	0.0264051	0.0153811	0.0163135	0.000686388	0.0548077
l	0.120149	0.0177448	0.540711	0.123175	0.0425494	0.0192476	0.0121533	0.0191019	0.0192434	0.0150958	0.0152936	0.0137618	0.0157787	0.00196968	0.0240249
e	0.0399132	0.0115387	0.550585	0.137229	0.0131102	0.0321174	0.0293776	0.0363195	0.0196055	0.0114266	0.0178776	0.0154155	0.0215195	0.00114711	0.0628178
k	0.0487692	0.0105912	0.575467	0.146838	0.0352506	0.0230131	0.0100508	0.0203707	0.0174858	0.012915	0.0169541	0.0106473	0.0172227	0.00583512	0.0485901
ó	0.0134521	0.0129991	0.764689	0.0584716	0.106815	0.00402343	0.00400852	0.00612891	0.00452295	0.00434873	0.00337522	0.00260939	0.00233069	0.00474099	0.00748425
n	0.006796	0.0192318	0.658065	0.137283	0.0772868	0.00942482	0.00604005	0.0108725	0.0100231	0.016735	0.0100192	0.00703206	0.00868413	0.00232841	0.0201776
y	0.0512971	0.030595	0.66956	0.114736	0.0405531	0.0132235	0.00505474	0.00934441	0.00574808	0.00376708	0.00523728	0.00663935	0.00392921	0.00136266	0.0389526
i	0.00411489	0.00289431	0.542673	0.238678	0.0478428	0.0150929	0.00352064	0.00726453	0.00431724	0.00303004	0.0101972	0.0172063	0.00566345	0.00642428	0.0910807
m	0.0212722	0.00256475	0.231362	0.481385	0.0864616	0.0845687	0.0122714	0.023638	0.0120008	0.010055	0.00503124	0.00945636	0.00719817	0.000472734	0.0122621
