 	je	l'	ai	attendu	un	bout	de	temps	</S>
n	0.864925	0.0923682	0.0131702	0.00699246	0.00758804	0.00360937	0.00860567	0.00158441	0.00115641
g	0.95755	0.0382016	0.00158879	0.00207633	0.000331252	0.000116194	7.05746e-05	3.36248e-05	3.13812e-05
á	0.794068	0.14556	0.0342815	0.0246248	0.000426027	0.000277555	0.000186085	0.000494484	8.18652e-05
í	0.0625804	0.26939	0.174756	0.0622435	0.0188429	0.021077	0.0372374	0.0494684	0.304404
k	0.00881788	0.0829615	0.709886	0.175416	0.00488803	0.00354049	0.00166352	0.00425354	0.00857305
o	0.000947714	0.0540465	0.69904	0.0711724	0.0272169	0.0131401	0.00736989	0.0611016	0.0659644
n	0.00102188	0.0145528	0.459748	0.447337	0.0331515	0.00508091	0.00359082	0.0231819	0.0123355
g	0.0333367	0.0986006	0.354806	0.219477	0.145313	0.0239911	0.0122854	0.0225854	0.0896053
i	0.023762	0.09924	0.176848	0.340449	0.189946	0.028247	0.0244402	0.0452769	0.0717905
i	0.00893591	0.0885419	0.0640154	0.108067	0.541224	0.104316	0.0451342	0.0103572	0.0294082
w	0.00208585	0.0160027	0.0396614	0.187553	0.388258	0.135944	0.0515137	0.0617121	0.11727
a	0.0013654	0.00999868	0.0832917	0.156282	0.414722	0.124306	0.0713711	0.0526815	0.0859812
o	0.00100235	0.0322196	0.0639447	0.124973	0.465661	0.129828	0.0585637	0.0257262	0.0980819
t	2.19741e-05	0.000791563	0.00633847	0.0570573	0.438745	0.174444	0.064179	0.10581	0.152613
í	9.90817e-05	0.00172563	0.0269142	0.0408816	0.171101	0.0811572	0.0416255	0.201976	0.434519
i	0.000189279	0.00432274	0.0301023	0.0530144	0.133065	0.195413	0.0666174	0.111259	0.406017
s	7.8332e-05	0.00173694	0.00740328	0.0161022	0.146306	0.246694	0.27053	0.17292	0.138229
í	0.000255465	0.000614462	0.00418543	0.0302152	0.106911	0.146334	0.0716744	0.217701	0.422109
</S>	0.00286615	0.00417909	0.00311442	0.0116938	0.0333929	0.114478	0.258916	0.253417	0.317943
