 	ce	malade	est	avide	de	chair	</S>
o	0.465596	0.430154	0.0777981	0.00288117	0.0223721	0.000555778	0.000643087
k	0.0794148	0.855281	0.0356295	0.0124446	0.00206524	0.00903106	0.00613403
ω	0.0188506	0.900118	0.0142967	0.0453356	0.00331438	0.0123327	0.00575181
n	0.00850076	0.962247	0.011099	0.00713613	0.00361115	0.00521912	0.00218633
í	0.155666	0.738169	0.0434488	0.0254323	0.00206336	0.00257858	0.0326416
m	0.43164	0.0530755	0.319613	0.0597859	0.0553101	0.00730673	0.073268
ú	0.631429	0.0241068	0.205287	0.0221084	0.0761542	0.00082809	0.0400866
ó	0.302736	0.0408707	0.358334	0.210944	0.0278619	0.00615011	0.053103
d	0.0844301	0.0351659	0.238718	0.47422	0.0817801	0.040652	0.0450338
i	0.0738813	0.00193552	0.0400342	0.420258	0.0458815	0.144535	0.273475
l	0.0920161	0.00153588	0.0451621	0.596887	0.075391	0.111174	0.0778333
a	0.0131898	0.0055589	0.185588	0.130756	0.153334	0.0609476	0.450625
y	0.027023	0.0137122	0.06767	0.25708	0.17175	0.253099	0.209666
u	0.0268175	0.00220247	0.012609	0.377704	0.0638012	0.409036	0.107829
l	0.0285273	0.000262033	0.0123403	0.474437	0.0526704	0.382658	0.0491055
u	0.0181023	0.00352338	0.139698	0.149882	0.456869	0.0895004	0.142425
</S>	0.0141564	0.00316006	0.0749312	0.0737895	0.287758	0.103166	0.443039
