 	il	y	a	plusieurs	manières	de	baiser	chacun	fait	ce	qu'	il	veut	</S>
i	0.0361697	0.0746439	0.0585234	0.0810063	0.290511	0.428794	0.0167091	0.00227559	0.00432391	0.00227841	0.00276222	0.00178975	6.26716e-05	0.00014972
k	0.000287032	0.012399	0.0105821	0.0246468	0.125064	0.165944	0.610298	0.0313122	0.00616542	0.00330429	0.00100158	0.000286888	0.00840654	0.000301556
w	0.000105541	0.00746386	0.000661285	0.00439003	0.037722	0.0307389	0.887785	0.0128675	0.00638007	0.00438286	0.00184677	0.000502404	0.00469915	0.000455076
é	0.000667433	0.00801876	0.00443058	0.0203371	0.104475	0.10887	0.691383	0.018766	0.00760335	0.00758975	0.015836	0.00298429	0.00584521	0.00319337
é	0.00074198	0.00419474	0.00187229	0.00719775	0.0561985	0.0601521	0.845727	0.0019776	0.00183397	0.00225022	0.00160516	0.000589822	0.00141266	0.0142466
l	0.0408392	0.0459628	0.0787401	0.0737178	0.277765	0.390192	0.0339517	0.01548	0.0116711	0.00741177	0.00708284	0.0067751	0.000494798	0.00991587
í	0.0511978	0.0172664	0.0530729	0.0674768	0.113283	0.153469	0.11022	0.0365235	0.0461385	0.0443394	0.0582036	0.0612352	0.0116038	0.175969
b	0.076602	0.0109881	0.140623	0.110848	0.160078	0.326115	0.0340909	0.0407285	0.0177885	0.0133736	0.0204861	0.0234469	0.00336374	0.0214668
a	0.0261894	0.00951354	0.0446091	0.0502463	0.0792395	0.113627	0.135395	0.0965948	0.0932156	0.0674557	0.0617215	0.101425	0.0133609	0.107406
y	0.0157455	0.00708896	0.0455666	0.0672364	0.140317	0.350135	0.0723508	0.134582	0.0395606	0.0305452	0.0388248	0.0320305	0.00268062	0.0233353
ú	0.0016505	0.00153847	0.0116384	0.0254318	0.0532664	0.125864	0.111207	0.487425	0.0531325	0.0551408	0.0335861	0.0143834	0.018422	0.00731365
r	0.000950058	0.000193683	0.0347723	0.103408	0.0932247	0.163616	0.101078	0.242638	0.0950536	0.0999414	0.0404478	0.0103341	0.00636361	0.00797918
u	0.00162231	0.000466719	0.0184041	0.153017	0.13555	0.271048	0.0219589	0.291416	0.0345021	0.0421534	0.0209944	0.00405994	0.00109839	0.00370839
í	0.00494379	0.00292538	0.104911	0.109817	0.0333735	0.0495844	0.0050107	0.313636	0.159699	0.0968081	0.0601532	0.0393806	0.00212798	0.01763
d	0.00179318	0.0024239	0.0397851	0.033312	0.0138326	0.0347722	0.00919838	0.254662	0.293439	0.169874	0.0792379	0.0528529	0.00704258	0.0077739
í	0.000146603	0.000123401	0.0212516	0.0264315	0.00682942	0.0182254	0.00233587	0.152361	0.356014	0.220411	0.0541588	0.0413555	0.0112525	0.0891035
i	0.000851121	0.000422313	0.0597283	0.156243	0.0592874	0.132388	0.0033941	0.0392236	0.159476	0.203923	0.117791	0.0337437	0.0143619	0.0191666
y	0.00146348	0.00257195	0.008472	0.0148699	0.0100667	0.0135281	0.0105581	0.101797	0.211204	0.24077	0.158376	0.1049	0.0808581	0.0405644
í	6.17065e-05	0.000454488	0.00399946	0.0173473	0.00941376	0.0234829	0.00344424	0.153869	0.179194	0.251085	0.15048	0.0786734	0.081246	0.0472485
í	0.000166076	8.5324e-05	0.00242699	0.00722688	0.00408354	0.0106729	0.00270287	0.0620098	0.131864	0.188494	0.167282	0.131032	0.124028	0.167927
