 	ma	femme	m'	a	fait	goûter	les	feuilles	de	manioc	qu'	elle	a	préparées	</S>
m	0.818844	0.121744	0.00947262	0.00835572	0.009534	0.00212402	0.006915	0.00773676	0.00509912	0.00115495	0.00356727	0.00434532	0.000835409	2.72421e-05	0.000245209
w	0.0266973	0.969114	0.00284066	0.000266271	0.00053084	0.0002215	0.000139245	2.8262e-05	3.5634e-05	1.71792e-06	2.35769e-06	2.19978e-05	3.21425e-05	1.01556e-05	5.77441e-05
á	0.0474929	0.921305	0.00981781	0.00308221	0.00777361	0.0075351	0.00140117	0.000354027	0.000510253	0.000109044	3.10844e-05	0.000268897	5.75023e-05	0.000214631	4.6429e-05
s	0.651062	0.236584	0.0455653	0.00804759	0.00612495	0.00034545	0.00679682	0.00267107	0.00335112	0.000397051	0.00486655	0.0183165	0.00487315	0.00188884	0.00910935
í	0.357974	0.146915	0.0698938	0.0648419	0.058885	0.022581	0.00591522	0.00585721	0.00963457	0.00119994	0.00419583	0.024074	0.0084675	0.155043	0.0645228
á	0.452551	0.0467844	0.0733275	0.115417	0.0788251	0.00567962	0.015718	0.0219239	0.0248986	0.0052122	0.033381	0.0235735	0.0348186	0.00425263	0.0636372
m	0.020546	0.0138713	0.0588423	0.138534	0.363436	0.333324	0.0082761	0.011919	0.00496911	0.00321064	0.00242186	0.00245347	0.00814444	0.0132676	0.0167844
a	0.00375446	0.00533388	0.0281383	0.0948974	0.225574	0.603183	0.0132806	0.00446275	0.00408673	0.00209532	0.000259497	0.000841768	0.00153226	0.00939177	0.00316785
m	0.0114284	0.00111034	0.00556637	0.0370915	0.164524	0.747529	0.00557124	0.00311362	0.00187159	0.00258161	0.000407096	0.000560853	0.000941701	0.0109856	0.00671644
b	0.0187448	0.0153187	0.0320206	0.00903147	0.0506999	0.860749	0.00614009	0.000464856	0.000957299	0.000310864	2.12669e-05	6.66987e-05	0.000291889	0.00502818	0.000154681
i	0.00252579	0.00145362	0.0047511	0.0604988	0.517714	0.344827	0.0363011	0.0066632	0.0114724	0.00247454	0.000398116	0.001378	0.00107743	0.0043842	0.0040812
s	0.00522438	0.00157022	0.0205552	0.148904	0.377247	0.227103	0.0877341	0.0223431	0.0241463	0.0189852	0.0044525	0.00616684	0.00396612	0.0100952	0.0415067
i	0.206603	0.0128755	0.0545714	0.10724	0.241711	0.252313	0.0501355	0.0110705	0.0237717	0.00134476	0.00163538	0.00268094	0.00318877	0.00641153	0.0244466
n	0.0249427	0.00115561	0.284543	0.255538	0.109784	0.00698255	0.166293	0.0717441	0.0313394	0.00646019	0.0133819	0.00834373	0.013222	0.00117894	0.00509052
g	0.248904	0.00128889	0.455094	0.0741282	0.0629302	0.00852258	0.0456547	0.0321471	0.0250211	0.00227853	0.00508211	0.00699459	0.00351704	0.00810289	0.0203334
á	0.0984272	0.0210458	0.612357	0.0642178	0.0728281	0.0373821	0.0358327	0.0135066	0.0119356	0.00222307	0.000928448	0.00167643	0.00389267	0.0185362	0.00521063
a	0.00236724	0.000285402	0.0170512	0.0596502	0.0521626	0.00717004	0.355771	0.210302	0.164674	0.0571509	0.0365553	0.0154606	0.0163473	0.0011111	0.00394105
y	0.00181188	0.00030448	0.00109673	0.0184039	0.0477388	0.141313	0.159992	0.298396	0.120427	0.166025	0.0101143	0.0025225	0.0133254	0.0135629	0.00496623
a	0.0239111	0.00128093	0.0128539	0.0823459	0.0854704	0.186168	0.106789	0.209873	0.116635	0.0207219	0.00513737	0.00346312	0.044805	0.0761372	0.0244086
a	0.00470707	0.000386775	0.00370472	0.0366264	0.0281239	0.0823482	0.192634	0.216752	0.240028	0.0391397	0.0113342	0.00592716	0.0341451	0.054835	0.0493075
m	0.000913057	1.27988e-05	0.00450627	0.0112921	0.00523053	0.000411606	0.0580243	0.260345	0.171218	0.0282553	0.257995	0.0651549	0.116122	0.00315279	0.0173664
