 	elle	a	mis	une	amulette	sur	le	cou	de	son	bébé	pour	qu'	il	grandisse	bien	</S>
w	0.851504	0.12924	0.0125104	0.00128246	0.000887479	0.00131268	0.000564885	0.0011671	0.000743861	0.000498953	8.62836e-05	9.36686e-05	6.70866e-05	1.10018e-05	8.51186e-06	1.63664e-05	5.47979e-06
a	0.703796	0.232945	0.0109332	0.0288944	0.00212082	0.00604003	0.00595708	0.00416819	0.00157807	0.00229338	0.000555019	0.000254778	0.000187324	5.65797e-05	0.00010739	0.000107829	5.56945e-06
á	0.188253	0.551925	0.115945	0.117317	0.00329945	0.00526627	0.00601995	0.00260042	0.0019485	0.00271045	0.00283975	0.000629569	0.000439967	0.000216631	0.000301808	0.000121114	0.00016579
k	0.0205316	0.17727	0.627229	0.0550745	0.0732346	0.00403246	0.00429125	0.00142094	0.00285627	0.00542931	0.00415079	0.0049069	0.00422167	0.00436146	0.00133694	0.000998138	0.00865444
a	0.001936	0.0340622	0.682038	0.0811928	0.129733	0.00526444	0.00814346	0.00313035	0.00674012	0.00867467	0.00276148	0.00790392	0.00581196	0.00526028	0.00257024	0.000807341	0.01397
n	0.00108871	0.0208568	0.729923	0.0513866	0.185657	0.00209562	0.00179941	0.00124672	0.000436375	0.000249397	0.000269909	0.00040732	0.000219881	0.000834383	0.000468372	0.000167859	0.00289267
i	0.0292305	0.0660019	0.440885	0.243688	0.112231	0.0158602	0.0113286	0.00826878	0.00864063	0.00770363	0.00266936	0.00901431	0.00906054	0.010782	0.00428198	0.00317654	0.0171767
m	0.242109	0.106176	0.0467602	0.328337	0.0342938	0.0393668	0.0163224	0.0136097	0.018554	0.0136336	0.0109617	0.0153835	0.0165062	0.013272	0.0128848	0.010039	0.0617902
w	0.131628	0.12897	0.0304157	0.141809	0.0389317	0.180233	0.123781	0.0189964	0.0374357	0.0268646	0.102362	0.0165509	0.00550721	0.00275175	0.00793295	0.000716909	0.00511366
á	0.0258328	0.0346399	0.0547068	0.0904054	0.165614	0.0901798	0.121028	0.0580732	0.0918969	0.0567252	0.112004	0.0259334	0.0142743	0.0085164	0.0419789	0.00280917	0.00538143
n	0.312577	0.0824977	0.0292639	0.127153	0.0079477	0.0407935	0.0327239	0.0184635	0.0431331	0.0278173	0.0918651	0.0352712	0.0252052	0.0190221	0.0579791	0.0102021	0.0380852
a	0.0913823	0.0368842	0.0147968	0.181062	0.0646484	0.0396112	0.0816078	0.0500911	0.0559227	0.0782305	0.136536	0.0230522	0.0155979	0.0162519	0.0455696	0.00418714	0.0645675
ω	0.00771653	0.0182426	0.0477917	0.365997	0.0644222	0.262892	0.0606525	0.0450882	0.0221107	0.0186699	0.0156728	0.0149208	0.0117929	0.0136842	0.00633731	0.00884773	0.0151613
b	0.000367661	0.00164593	0.00735812	0.0493376	0.776356	0.0940081	0.0445968	0.0124804	0.00372617	0.00162616	0.00135632	0.00188468	0.00080834	0.00163836	0.000719554	0.000609653	0.00147978
έ	0.00013958	0.00180564	0.0250236	0.0317432	0.739417	0.0669561	0.0528938	0.0200094	0.0118671	0.00284778	0.00181731	0.0139829	0.00519934	0.0082835	0.00774724	0.00544915	0.0048171
l	7.71603e-05	0.000290441	0.00595477	0.0195309	0.465307	0.0679537	0.0534439	0.0497986	0.0152833	0.00428684	0.00416831	0.0251312	0.0163243	0.0471862	0.0555393	0.0197767	0.149947
