 	accroche	le	sac	sur	cette	pointe	</S>
b	0.876321	0.113947	0.00445485	0.00228815	0.00226324	0.00063819	8.71497e-05
h	0.693301	0.247809	0.0025718	0.0139785	0.0414385	0.000545759	0.000355231
á	0.957	0.040513	0.000523322	0.000575112	0.000581145	0.000311159	0.000496055
r	0.653449	0.23553	0.0164429	0.0107933	0.0117076	0.00833246	0.0637449
í	0.251438	0.637784	0.00823609	0.0511019	0.0081318	0.00100748	0.0423005
s	0.0225532	0.471824	0.15186	0.178648	0.0903588	0.0097791	0.0749776
á	0.0190712	0.398072	0.0654461	0.326986	0.0509524	0.00263774	0.136835
p	0.012476	0.137505	0.632037	0.111872	0.0542687	0.0339224	0.0179194
ε	0.00572046	0.022404	0.94751	0.00741993	0.00382007	0.0120365	0.00108863
n	0.0131885	0.0311859	0.900227	0.0245307	0.0122653	0.00827045	0.0103324
g	0.0228627	0.18366	0.60541	0.142078	0.0294513	0.00339821	0.01314
ε	0.0195752	0.0816681	0.846884	0.0313081	0.00778501	0.00747223	0.00530742
ó	0.000705797	0.0384275	0.0645965	0.648578	0.189892	0.01688	0.0409203
t	0.00462754	0.0148966	0.0090999	0.499365	0.305897	0.0865871	0.079527
s	0.0056146	0.0186429	0.0407722	0.220473	0.185435	0.397548	0.131514
έ	0.0213391	0.0317652	0.0546375	0.202254	0.14611	0.444859	0.0990349
l	0.00112426	0.014497	0.0239802	0.210352	0.178231	0.0909754	0.48084
έ	0.0013759	0.00989245	0.0450814	0.324178	0.218745	0.0845898	0.316138
w	0.000526654	0.00575417	0.00789033	0.199581	0.349947	0.110356	0.325946
ú	0.00794692	0.0352567	0.0210197	0.182161	0.222584	0.447679	0.083353
u	0.000789739	0.00133866	0.0163729	0.131454	0.187109	0.246968	0.415968
</S>	0.00102505	0.00482986	0.00886089	0.120976	0.250313	0.117288	0.496707
