 	le	chef	du	village	a	convoqué	l'	assemblée	des	anciens	</S>
o	0.902603	0.0433417	0.0105642	0.0394834	0.00258011	0.00012338	0.000234562	0.00070436	0.000332336	2.67475e-05	6.42566e-06
k	0.0119333	0.965841	0.000483351	0.02115	0.000154695	4.56948e-05	7.31329e-05	3.90934e-05	3.04842e-05	0.000144574	0.000104809
o	0.000825644	0.998256	5.08517e-05	0.00050547	3.5815e-05	1.24863e-05	7.3877e-05	1.51434e-05	1.96156e-05	0.000125906	7.88918e-05
n	0.000292142	0.997039	0.000211866	0.00153847	5.24146e-05	5.80494e-05	0.000195873	4.33499e-05	6.3253e-05	0.000362357	0.000143464
d	0.0549295	0.821818	0.00337596	0.0996878	0.0013421	0.000461199	0.00392237	0.00262152	0.000615241	0.00396848	0.00725748
z	0.0468912	0.825269	0.00284954	0.119837	0.000750242	0.000310798	0.000566082	0.00177732	7.63777e-05	0.000178099	0.00149443
i	0.0205066	0.796825	0.00409976	0.159175	0.000478383	0.000272962	0.000708102	0.0107051	0.00013847	0.000315261	0.00677488
y	0.0475778	0.00634814	0.851276	0.0385948	0.0437008	0.00268563	0.00253354	0.00205101	0.00256821	0.000204177	0.00246004
a	0.461527	0.00634372	0.216045	0.0822017	0.151981	0.00854048	0.0124655	0.00309001	0.0193731	0.0138458	0.0245872
p	0.0342386	0.000644754	0.045247	0.870256	0.0454735	0.000220373	0.000632715	0.000338529	0.00144641	0.000969155	0.000532506
o	0.00231394	0.00287445	0.00492965	0.967187	0.0186439	0.000259654	0.00126652	0.000994029	0.000134056	0.00051529	0.000881416
o	0.00698038	0.00549468	0.00769853	0.956642	0.0196627	0.000556113	0.0010717	0.000552102	0.000112007	0.00010208	0.00112792
á	0.0189528	0.000198781	0.126242	0.0127467	0.77449	0.0269407	0.02006	0.00572798	0.0113589	0.000545125	0.00273732
m	0.00664709	0.000706691	0.0085495	0.00104927	0.0757605	0.761955	0.105084	0.0190336	0.0110913	0.00313373	0.00698948
i	0.00355012	2.08011e-05	0.000585189	3.2517e-05	0.0248773	0.866499	0.0637659	0.0190713	0.013752	0.00259784	0.00524803
b	0.00108078	0.00105541	0.000708148	0.000993876	0.0141122	0.868901	0.0666538	0.027419	0.00523461	0.00326727	0.0105741
é	0.000623093	0.000301228	0.000353248	0.000102856	0.0036758	0.83969	0.0651225	0.0714216	0.00948016	0.0019852	0.00724417
á	0.000598846	0.00144446	0.00557245	0.00441498	0.0338579	0.334489	0.307375	0.180529	0.0257085	0.0156823	0.0903273
a	0.00324299	0.000177547	0.0116907	0.00215022	0.0592236	0.121003	0.278364	0.259811	0.20997	0.0295686	0.0247981
t	0.00239065	0.000498573	0.00139217	0.000475858	0.00327845	0.26111	0.292624	0.244247	0.0853433	0.0675951	0.0410453
w	0.000261745	0.000422171	0.00092607	0.000807808	0.00365515	0.079097	0.389184	0.350505	0.0227864	0.0722437	0.0801108
ε	0.000161424	0.000243254	0.00170612	0.000137706	0.00318336	0.0250755	0.275349	0.413764	0.0460802	0.0525765	0.181723
r	0.000731768	0.000108232	0.00412033	0.000490785	0.0114374	0.0146366	0.225386	0.422021	0.0986383	0.0261893	0.19624
ε	0.00653946	0.000955995	0.00603825	0.00070201	0.01725	0.00816503	0.214834	0.571456	0.0612921	0.051969	0.0607981
e	0.00120346	2.67545e-05	0.00478098	0.000303736	0.0175544	0.00554666	0.131365	0.104899	0.584691	0.0701196	0.0795094
y	0.00217215	0.00090103	0.0033067	0.000895791	0.00218573	0.00582283	0.112443	0.148936	0.207571	0.414903	0.100863
ú	0.000685937	0.00018093	0.00289216	0.00012805	0.00285467	0.00584639	0.0859118	0.0256722	0.277821	0.520476	0.0775303
m	0.000479737	5.13423e-05	0.000182945	5.33931e-05	0.000620887	0.00119938	0.0643841	0.0229167	0.0980127	0.621368	0.190731
b	0.000377055	1.38294e-05	0.000478959	1.90586e-05	0.00297773	0.00196608	0.0766442	0.0290463	0.161608	0.542338	0.184532
u	0.0107553	2.58927e-05	0.000544457	1.7596e-05	0.000987243	0.0011515	0.044515	0.0649788	0.0478993	0.727837	0.101288
</S>	0.00104183	0.000119691	0.00169564	0.000215168	0.0011594	0.000271278	0.034263	0.0462979	0.181093	0.219113	0.514731
