 	le	guérisseur	l'	a	massé	avec	la	plante	otuunyu	</S>
n	0.544013	0.412761	0.0227867	0.0124135	0.0012941	0.00184327	0.00349383	0.00104016	0.000111106	0.000243295
g	0.355939	0.641659	0.00140521	0.000629019	2.64676e-05	9.19265e-05	5.94035e-05	4.0984e-05	0.000145756	2.65784e-06
a	0.0261325	0.973214	0.000234389	0.000254	7.23792e-05	2.82444e-05	4.07703e-05	1.14659e-05	1.08241e-05	1.05211e-06
n	0.544136	0.39654	0.016273	0.0117159	0.00798561	0.00269133	0.00692785	0.0015073	0.000974224	0.0112488
g	0.528126	0.395672	0.0377176	0.0202471	0.00339426	0.00166369	0.00212142	0.000800542	0.000163886	0.0100929
a	0.18444	0.626917	0.0942406	0.0486808	0.0154231	0.00282475	0.00620739	0.00134385	0.00129062	0.0186322
á	0.0326089	0.00411951	0.496239	0.342832	0.0793086	0.0250301	0.00721957	0.0043667	0.000174674	0.00810102
k	0.00145916	0.000616937	0.0467476	0.155389	0.554489	0.123386	0.0722679	0.0316177	0.00434724	0.00968007
ώ	0.000495997	0.00024497	0.023553	0.160937	0.504866	0.110762	0.124066	0.0677961	0.0019149	0.00536409
i	0.00594153	0.00139214	0.0541632	0.113765	0.332132	0.211049	0.14866	0.0964708	0.01337	0.023057
w	0.00545288	0.00132762	0.108166	0.108203	0.0157558	0.333265	0.20152	0.150659	0.0209179	0.0547336
a	0.00613694	0.00176905	0.0570787	0.122422	0.0113349	0.124273	0.168607	0.237166	0.21539	0.0558231
m	0.00436848	0.00143782	0.0711427	0.0277599	0.00383172	0.133837	0.138788	0.217557	0.0790257	0.322252
ó	0.0101819	0.000348885	0.0157907	0.00986398	0.00284129	0.0821852	0.201901	0.182564	0.0122564	0.482066
t	0.0198314	0.00150208	0.0179565	0.0123164	0.00451239	0.0618742	0.0803752	0.174066	0.4976	0.129966
ú	0.000230455	4.42601e-05	0.00345422	0.00640407	0.00600971	0.0268789	0.0652539	0.319781	0.512953	0.0589904
u	0.000640816	1.35335e-05	0.00126258	0.00175661	0.000799593	0.00896352	0.0396425	0.118637	0.713418	0.114866
n	0.000332947	6.48398e-07	0.00427411	0.0035147	0.000371844	0.0193584	0.0324915	0.136885	0.211496	0.591274
y	0.00912082	5.63343e-05	0.0119762	0.00403965	0.000114414	0.00656276	0.0800237	0.0780168	0.449844	0.360246
ú	0.00215367	8.71284e-06	0.000520122	0.000196428	1.46105e-05	0.000361391	0.00418272	0.012041	0.899601	0.0809205
</S>	0.000516419	3.11682e-06	0.00139569	0.000667035	0.000107615	0.00457644	0.0184585	0.0397604	0.356476	0.578039
