 	la	hauteur	de	cette	maison	me	fait	peur	</S>
i	0.655257	0.210273	0.0979237	0.0115691	0.00890802	0.00498884	0.0101373	0.000681517	0.000260843
k	0.00956481	0.98866	0.000910017	9.24049e-05	0.000216238	3.72493e-05	0.000325425	6.20693e-05	0.000131767
ó	0.0052338	0.977273	0.0117545	0.00166553	0.00129589	0.000140343	0.00121114	0.00038872	0.0010371
n	0.00280975	0.989532	0.00507834	0.000426794	0.000121673	4.08105e-05	0.000527618	0.000136618	0.00132674
d	0.0697031	0.912656	0.00439219	0.00327103	0.00105953	0.000755193	0.00119282	0.00150951	0.00546034
z	0.0476177	0.921709	0.00568296	0.00311492	0.00269114	0.000673435	0.000358282	0.000166562	0.0179858
á	0.140912	0.788779	0.0200156	0.00910243	0.0048591	0.00278759	0.000771662	0.00149679	0.0312755
l	0.235177	0.117693	0.515331	0.0696373	0.0355726	0.0036661	0.00809716	0.000859104	0.0139663
á	0.182243	0.0572251	0.0864003	0.118055	0.119711	0.0597236	0.0236235	0.00669368	0.346325
n	0.211109	0.0308884	0.0811495	0.281602	0.318542	0.0261121	0.0189455	0.0102718	0.0213794
d	0.0108374	0.00381961	0.0296943	0.162653	0.569602	0.191208	0.00865586	0.00645397	0.0170768
é	0.00116301	0.0105796	0.00680108	0.131829	0.750255	0.0834416	0.00573116	0.00231396	0.00788625
e	0.0321714	0.0649794	0.155389	0.248744	0.163548	0.140129	0.109991	0.0357231	0.0493256
y	0.0352629	0.00468367	0.150483	0.161414	0.10529	0.261594	0.232595	0.00991558	0.0387623
é	0.0420953	0.00237239	0.0739226	0.273433	0.192908	0.198765	0.143569	0.0170819	0.055853
l	0.0137445	0.00120266	0.0443742	0.195006	0.144604	0.283241	0.274361	0.0194743	0.0239916
í	0.00858064	0.00313182	0.0177643	0.102251	0.185204	0.22477	0.150415	0.00606358	0.301819
i	0.0101447	0.00109708	0.0407708	0.234342	0.0436522	0.1949	0.317056	0.092293	0.0657437
p	0.00526377	0.0110206	0.00525896	0.0118851	0.0246034	0.0370553	0.344933	0.0399407	0.52004
έ	0.00205444	0.0338206	0.00530911	0.00954344	0.00572453	0.00934323	0.556097	0.0118093	0.366298
n	0.0331873	0.0230634	0.0581524	0.106343	0.0436809	0.0694853	0.354807	0.0595255	0.251754
g	0.028534	0.0104099	0.0262068	0.104476	0.120435	0.407873	0.165313	0.0926998	0.0440524
á	0.0127879	0.00875085	0.0169497	0.128099	0.160019	0.410931	0.0668363	0.148681	0.0469452
a	0.00469736	0.0117236	0.0176377	0.0341314	0.00405897	0.0302083	0.16118	0.358667	0.377696
m	0.00988297	0.00648862	0.0444098	0.0228591	0.00666627	0.043022	0.26449	0.336361	0.265821
w	0.00574892	0.00250426	0.0677266	0.0391793	0.00112481	0.00378391	0.0651277	0.497917	0.316888
a	0.00150732	0.000678914	0.00566592	0.0155344	0.00390352	0.00157675	0.00904217	0.941656	0.0204347
</S>	0.0026152	0.00168894	0.00212284	0.0195184	0.00454107	0.00482403	0.0533826	0.0444962	0.866811
