 	adosse-toi	à	l'	arbre	</S>
k	0.544833	0.40657	0.02776	0.019724	0.00111378
a	0.932197	0.0592316	0.0026274	0.00544704	0.000496948
n	0.485869	0.419383	0.0249298	0.00271187	0.0671059
á	0.400806	0.393296	0.0676137	0.00818495	0.130099
ω	0.347566	0.487754	0.0810671	0.0170853	0.0665271
k	0.12057	0.463045	0.271059	0.0741104	0.0712154
ω	0.122714	0.085387	0.0754309	0.686095	0.0303724
r	0.307576	0.0652193	0.0310949	0.56552	0.0305902
ω	0.583785	0.293111	0.055196	0.0484547	0.0194531
m	0.0248363	0.101469	0.427435	0.285568	0.160691
ó	0.0117885	0.173696	0.358822	0.124817	0.330877
i	0.008055	0.030893	0.280975	0.381771	0.298305
b	0.012079	0.0350781	0.1819	0.553788	0.217155
v	0.00433511	0.0200864	0.100549	0.832567	0.0424626
ú	0.000657622	0.00300729	0.0118564	0.971713	0.0127659
a	0.0169653	0.0214309	0.215612	0.527884	0.218108
</S>	0.000934133	0.0241957	0.263816	0.265513	0.445541
