 	il	luit	court	après	</S>
w	0.991816	0.00391287	0.00316373	0.000853579	0.00025341
a	0.981002	0.00409344	0.0128959	0.00152264	0.000485968
l	0.617493	0.302178	0.0324484	0.00766912	0.0402106
á	0.254073	0.105419	0.0811463	0.0404365	0.518926
a	0.234585	0.211649	0.162717	0.11253	0.27852
l	0.00933248	0.947519	0.027975	0.00272128	0.0124519
ω	0.0468	0.943662	0.00444913	0.000384711	0.00470391
n	0.0018447	0.988912	0.00596645	0.00193792	0.00133872
d	0.065524	0.69221	0.202565	0.0124059	0.0272951
ώ	0.189139	0.586349	0.138506	0.00985906	0.0761469
ώ	0.0158981	0.0666247	0.736015	0.1528	0.0286615
w	0.0142047	0.0860802	0.691142	0.181251	0.027322
a	0.0720077	0.0295399	0.760742	0.0389282	0.0987821
ώ	0.00850017	0.0193786	0.805821	0.0376895	0.128611
n	0.00287438	0.0559039	0.621418	0.219182	0.100622
g	0.00125123	0.0107154	0.0137546	0.876748	0.0975309
ω	5.52402e-05	0.00276164	0.00430332	0.96937	0.02351
n	5.83774e-05	0.0213649	0.00473577	0.822346	0.151495
g	0.00203155	0.0352986	0.0494742	0.487057	0.426139
ω	0.00150851	0.00882569	0.00472937	0.69619	0.288747
</S>	0.000357749	0.00475365	0.0578172	0.0217594	0.915312
