 	le	sac	de	papa	est	ouvert	</S>
p	0.392074	0.318618	0.11396	0.161011	0.0134983	0.000185907	0.000653262
ε	0.12671	0.427543	0.0272864	0.413132	0.00371643	0.00153236	8.01573e-05
n	0.0457012	0.229237	0.147977	0.475358	0.0508378	0.0117064	0.0391832
g	0.145861	0.603389	0.149171	0.0778318	0.00729819	0.00300399	0.0134456
ε	0.124183	0.807399	0.0376581	0.0286335	0.000427687	0.000306803	0.00139202
y	0.0690388	0.0595635	0.531481	0.302757	0.026715	0.00100865	0.00943618
á	0.141472	0.118107	0.484598	0.164337	0.0577925	0.00212008	0.031573
d	0.0491596	0.0182494	0.402518	0.486354	0.0319521	0.00771501	0.00405232
a	0.0132922	0.0266087	0.0317668	0.859464	0.0311214	0.0114141	0.0263332
a	0.00583414	0.00339601	0.0862761	0.711238	0.0845127	0.0204512	0.0882923
d	0.00502244	0.00350315	0.130992	0.0292919	0.776756	0.00926299	0.0451718
á	0.0124907	0.0181175	0.0560895	0.234966	0.50983	0.0157844	0.152722
é	0.00449163	0.00123187	0.0256136	0.0134983	0.567833	0.260465	0.126867
d	0.00602353	0.00280319	0.00554377	0.00451999	0.184859	0.708435	0.0878149
i	0.00625125	0.000835586	0.00441215	0.00917236	0.242554	0.20534	0.531435
e	0.00953123	0.00134798	0.00777935	0.00392888	0.350884	0.278687	0.347842
k	0.00548479	0.00275471	0.002877	0.00336812	0.0631963	0.455615	0.466704
ú	0.00460026	0.00273106	0.00167293	0.00951287	0.0525678	0.554205	0.37471
m	0.00157116	0.000602535	0.00150063	0.00276436	0.00935612	0.202849	0.781356
á	0.0100895	0.00321518	0.0186747	0.00359111	0.220418	0.322464	0.421548
k	0.00857692	0.00333892	0.0204816	0.0151793	0.097633	0.342928	0.511863
u	0.0180321	0.0164004	0.0519533	0.0592022	0.192039	0.475844	0.186529
m	0.000859986	0.000611198	0.00338492	0.00178373	0.0141135	0.188891	0.790356
a	0.0189066	0.00844177	0.0722712	0.0072123	0.197277	0.37694	0.318951
</S>	0.0042364	0.000589822	0.00986295	0.00189868	0.0744695	0.208586	0.700356
