 	la	femme	que	tu	as	prise	en	mariage	est	de	quelle	famille	</S>
m	0.855816	0.0648548	0.0185471	0.00763899	0.0151533	0.00371047	0.0137689	0.00741485	0.00282655	0.00382992	0.00260028	0.00339988	0.000438571
w	0.0152486	0.973965	0.00295105	0.000328059	0.00228311	0.00130981	0.0010124	0.000677768	0.000165622	0.000657974	0.000246627	2.50463e-05	0.00112932
á	0.00919926	0.989788	0.000293812	6.68006e-05	0.000220497	0.000294549	0.000101896	1.11544e-05	1.87605e-06	8.75849e-06	1.80056e-06	3.5269e-06	8.19729e-06
s	0.688627	0.281479	0.00919621	0.00199018	0.0110398	0.00147275	0.00199423	0.000821537	0.0001665	0.000320029	0.000156389	4.2911e-05	0.00269388
í	0.323682	0.216064	0.140318	0.0978711	0.09122	0.0218567	0.0123956	0.0109964	0.00224207	0.0121359	0.00341349	0.000708493	0.0670967
y	0.410535	0.0203273	0.260012	0.130716	0.0827706	0.00592803	0.016823	0.0121362	0.0100442	0.013875	0.0199754	0.0021534	0.0147038
e	0.456219	0.116139	0.300554	0.0658241	0.0178839	0.0167727	0.00869942	0.00754919	0.000958665	0.00209822	0.000925116	0.000441266	0.00593472
é	0.321088	0.0170034	0.512472	0.0655319	0.033527	0.0132253	0.00960077	0.00825827	0.00188938	0.00254546	0.0018218	0.000321177	0.012715
k	0.118926	0.0755659	0.143509	0.0616606	0.0264776	0.321895	0.0367144	0.0134032	0.0313724	0.0245507	0.0411923	0.0274754	0.077257
o	0.0155496	0.000801847	0.0518974	0.00832644	0.00119977	0.640271	0.143681	0.0261694	0.0527965	0.011961	0.00730722	0.0077805	0.0322592
b	0.0160341	0.000610125	0.0938109	0.00924918	0.0014796	0.434931	0.224694	0.0444746	0.0799063	0.0238897	0.0185295	0.0128662	0.0395247
h	0.0651345	7.84975e-05	0.0546421	0.0817954	0.0483485	0.124981	0.187177	0.132413	0.101774	0.0480898	0.0270662	0.059602	0.068899
í	0.046042	0.000670743	0.144228	0.0309274	0.010396	0.0392367	0.103594	0.14403	0.0698239	0.0247346	0.0204664	0.027624	0.338226
n	0.00594287	0.000340193	0.0417791	0.212046	0.473883	0.0463121	0.109238	0.0704022	0.0165309	0.00665206	0.00581006	0.00121562	0.00984877
ω	0.00515468	0.000153806	0.00831883	0.701142	0.258777	0.00246084	0.00573864	0.00421109	0.00141874	0.00297302	0.00092347	0.000638107	0.00808949
a	0.00122329	0.000281088	0.0747831	0.102871	0.100762	0.118371	0.21914	0.242169	0.0543863	0.0416204	0.0162794	0.00161671	0.0264966
d	0.00967983	0.000310957	0.0112945	0.0130039	0.013397	0.204085	0.174713	0.10513	0.179663	0.064056	0.13572	0.0716096	0.0173381
i	0.00442419	0.000112989	0.00535306	0.00622891	0.00923031	0.0884716	0.0832214	0.0286896	0.114474	0.119112	0.271672	0.0364627	0.232546
s	0.00270109	4.0373e-05	0.00524098	0.00178606	0.00163412	0.0177829	0.0748536	0.0441873	0.137595	0.137531	0.417869	0.112745	0.0460335
í	0.00757896	0.00121423	0.00427458	0.00910594	0.0195962	0.049079	0.0507781	0.0291652	0.0839312	0.190504	0.196928	0.0898851	0.26796
k	0.00826088	3.96311e-05	0.00338965	0.012207	0.0312154	0.0100315	0.0353818	0.0363186	0.0893652	0.134018	0.207532	0.312362	0.119878
ó	0.000325993	7.55286e-06	0.000323372	0.000336812	0.000597363	0.00134573	0.0032161	0.00518187	0.0269961	0.0271058	0.0257667	0.877688	0.0311086
r	4.13146e-05	1.97616e-05	0.00109999	0.00153376	0.000603013	0.014853	0.0173093	0.0244872	0.0886265	0.0607416	0.0598421	0.630665	0.100178
a	0.00019923	5.20315e-05	0.00252764	0.00133856	0.000639189	0.00985117	0.0457151	0.0892191	0.123117	0.181162	0.0559811	0.313877	0.17632
l	0.00128556	4.91772e-05	0.00326975	0.00299907	0.00841816	0.00266852	0.0175736	0.0393208	0.0483209	0.13506	0.0975502	0.153981	0.489503
á	0.00118628	5.35029e-05	0.00371641	0.0051239	0.00352704	0.00941649	0.00932384	0.0169686	0.0331555	0.187884	0.11047	0.266334	0.35284
n	0.0091045	7.74132e-05	0.00767257	0.0224196	0.0521541	0.00604341	0.0164825	0.0185193	0.0165254	0.103959	0.158537	0.350439	0.238066
d	0.0234278	0.000775753	0.00936195	0.174672	0.109918	0.00247462	0.00688423	0.0104466	0.0102232	0.177475	0.0630561	0.104087	0.307197
a	0.0042751	0.00174183	0.00349405	0.0611709	0.0405201	0.00212625	0.00435992	0.00864367	0.0129119	0.114373	0.0555643	0.156163	0.534656
</S>	2.74451e-05	2.03321e-05	0.000555036	0.000632527	0.000347388	0.00154817	0.00420275	0.0129099	0.0146177	0.103616	0.0227578	0.0888221	0.749943
