 	mon	enfant	qui	était	très	faible	est	devenu	fort	</S>
m	0.440044	0.468681	0.0292484	0.000997878	0.0124056	0.025046	0.0131916	0.00834071	0.00191513	0.000129651
w	0.0193165	0.80089	0.0615161	0.00946652	0.0377143	0.0418077	0.0110855	0.00445639	0.000862167	0.0128845
á	0.000713167	0.988219	0.0025119	0.00054549	0.000402583	0.00747482	8.58137e-05	1.81153e-05	2.16256e-05	7.0464e-06
n	0.714418	0.265027	0.0049507	0.000831016	0.00275095	0.00777979	0.00143239	0.000167704	0.000117529	0.00252467
a	0.416008	0.310394	0.0357356	0.0457568	0.0246464	0.0833756	0.0298097	0.000581767	0.00241828	0.0512733
y	0.313898	0.112378	0.296129	0.0932119	0.0463387	0.00981143	0.0522761	0.0418339	0.00998066	0.0241425
a	0.415279	0.0448078	0.197429	0.0360747	0.0672803	0.0541486	0.121005	0.0168274	0.0138032	0.0333441
n	0.698475	0.0739189	0.153753	0.0213561	0.0126141	0.0120255	0.0149938	0.00169134	0.00166037	0.00951223
g	0.988873	0.00199845	0.00579221	0.00038628	0.0011208	0.00102527	0.000325933	0.000108798	2.69016e-05	0.000342737
á	0.557831	0.10642	0.141869	0.0197731	0.0368915	0.113936	0.00487024	0.000391533	0.00185662	0.0161616
y	0.0515688	0.0168728	0.726145	0.0724385	0.0760898	0.00983178	0.0198641	0.0150981	0.00273134	0.00935936
a	0.328418	0.0264358	0.334223	0.198833	0.0270415	0.0399945	0.0278776	0.00229781	0.00344366	0.0114358
a	0.452592	0.00562779	0.254685	0.0998423	0.0804791	0.0339789	0.0366382	0.00195545	0.00237957	0.0318221
d	0.0318813	0.00664482	0.156127	0.525285	0.127025	0.0280099	0.0198683	0.0107765	0.00957191	0.0848107
z	0.00743567	0.00024598	0.0356981	0.877598	0.0164591	0.0027616	0.00645011	0.00399389	0.00297514	0.046382
á	0.0604172	0.00275032	0.0438811	0.716983	0.0576995	0.076919	0.0226767	0.000487918	0.00206301	0.0161224
l	0.0296301	0.000854612	0.0697076	0.242606	0.304363	0.0606067	0.112092	0.0883126	0.0212915	0.0705365
o	0.009698	0.000805024	0.0944286	0.12143	0.228856	0.0699398	0.0908836	0.0220554	0.0191104	0.342793
n	0.00345017	0.000211371	0.0280494	0.0642764	0.241011	0.463575	0.0708067	0.0108065	0.0856505	0.0321622
g	0.00654837	0.000167827	0.0158715	0.0136929	0.24722	0.665513	0.0226431	0.00135614	0.00136353	0.0256236
w	0.0021425	0.000564245	0.0139835	0.00498968	0.078232	0.882608	0.0100688	0.000600039	0.00163555	0.00517562
ε	4.15215e-05	0.000111737	0.0025643	0.00504714	0.0798893	0.838741	0.0195127	0.000293234	0.00371708	0.0500823
n	0.000234613	2.47832e-05	0.0119629	0.0124745	0.2326	0.422657	0.10915	0.0172945	0.0350277	0.158574
d	0.000509322	3.70235e-05	0.00538591	0.0119018	0.297155	0.506148	0.110212	0.00883962	0.00737796	0.0524341
z	0.000467531	1.6276e-05	0.00210158	0.00666012	0.15813	0.749203	0.0322027	0.000979816	0.00893875	0.0412998
ε	0.0025224	1.15025e-05	0.00260032	0.00822941	0.0951643	0.783826	0.0389078	0.00122794	0.00514903	0.0623614
á	0.00107483	4.23752e-05	0.0112048	0.00499092	0.108849	0.0557256	0.583641	0.19684	0.00773381	0.0298968
m	0.00516034	0.000364637	0.0161242	0.0353868	0.0118487	0.00294657	0.0738515	0.664188	0.159267	0.0308626
i	0.000705623	0.000652086	0.0130403	0.0384024	0.0629009	0.0202275	0.184284	0.26509	0.128416	0.286282
b	4.27514e-05	7.73359e-05	0.00164611	0.0197121	0.00618533	0.00665962	0.0194024	0.112758	0.700437	0.133079
h	1.84982e-06	0.000142588	0.00135482	0.00605452	0.00679046	0.000936175	0.00796408	0.14793	0.792352	0.0364737
á	2.04656e-06	2.59097e-05	0.000714875	0.00818204	0.0142051	0.00923879	0.00852332	0.0554261	0.817757	0.0859249
m	1.10303e-05	2.26535e-05	0.000407487	0.00394469	0.0121793	0.0243613	0.0440121	0.0451234	0.561035	0.308903
a	0.000743717	0.000127244	0.00126015	0.00225435	0.0676332	0.0815819	0.226486	0.0550037	0.126714	0.438195
</S>	0.000719345	6.28502e-05	0.00217293	0.00232156	0.0307487	0.0210762	0.152	0.060602	0.0886423	0.641654
