 	j'	ai	attrapé	le	petit	poisson	ikula	avec	l'	hameçon	</S>
n	0.921687	0.0457558	0.00227945	0.00400213	0.0059494	0.00965457	0.00728093	0.001903	0.00117084	0.000297092	1.92391e-05
g	0.865261	0.126756	0.000306472	0.00264025	0.00206962	0.00144353	0.000172426	0.000623424	0.000675213	4.00846e-05	1.21279e-05
á	0.673572	0.314809	0.00364396	0.0036499	0.00275638	0.000358242	8.68521e-05	0.000146329	0.000696794	0.000223342	5.74669e-05
í	0.0321285	0.273136	0.122791	0.168767	0.0944058	0.0455412	0.00233911	0.00947207	0.0188052	0.0152513	0.217363
p	0.00205003	0.0297569	0.877145	0.0607903	0.0213191	0.00330272	0.00139722	0.000871836	0.000736323	0.00114167	0.00148922
i	8.08576e-05	0.00249322	0.787958	0.149867	0.0413144	0.00212536	0.00701989	0.000970997	0.000419253	0.00176474	0.0059862
i	0.00064809	0.0390068	0.330793	0.373712	0.182886	0.0480297	0.0173003	0.0039356	0.00219609	0.000459124	0.00103388
i	0.0034416	0.0351629	0.0133815	0.122776	0.233873	0.445419	0.0536949	0.0551022	0.024191	0.00346462	0.00949354
k	4.71603e-05	0.000721282	0.00467727	0.114364	0.420837	0.140459	0.207522	0.0549834	0.0179293	0.0131059	0.0253545
ú	1.26622e-06	1.8737e-05	0.000643617	0.0157764	0.0302117	0.00231837	0.939922	0.00369422	0.000569585	0.00614229	0.000701466
l	0.000887259	0.00244827	0.0105687	0.230267	0.540482	0.062552	0.113672	0.0296692	0.00644266	0.00121732	0.00179458
á	0.00114944	0.00236437	0.000761142	0.110859	0.226674	0.326274	0.178892	0.111039	0.0211427	0.00117689	0.0196679
m	8.50561e-05	0.00191571	0.00119446	0.0272437	0.0356861	0.292363	0.0261884	0.249498	0.262914	0.0469594	0.055953
í	0.000350721	0.000178351	0.000330182	0.0045445	0.011701	0.0182275	0.000369556	0.150209	0.178639	0.0561135	0.579337
l	7.66262e-05	0.000458906	0.000155532	0.00120301	0.00657541	0.0196734	0.0165214	0.101677	0.107311	0.692424	0.0539232
ώ	0.000208338	0.000596773	0.000451083	0.00177431	0.00324578	0.010368	0.000594477	0.0329217	0.126559	0.621251	0.202029
b	2.07423e-05	0.0001799	0.000272526	0.00510419	0.00642732	0.0105695	0.00435495	0.0317857	0.0704821	0.821856	0.0489469
h	6.20619e-05	0.000297161	0.000273124	0.00232257	0.00389293	0.0550129	0.0444863	0.213982	0.112827	0.443341	0.123504
ω	4.56308e-06	1.54452e-05	4.84837e-05	0.00347494	0.00599774	0.0121194	0.0620068	0.116279	0.0841163	0.637018	0.0789196
</S>	6.47039e-05	5.82149e-05	1.33221e-05	0.00235683	0.00354495	0.00567258	0.00981577	0.0938446	0.324418	0.0767834	0.483428
