 	comment	appelle-t-on	cette	maladie	</S>
b	0.591975	0.375795	0.0168462	0.0133974	0.0019857
á	0.20413	0.675125	0.0694392	0.045285	0.00602062
a	0.324414	0.518902	0.0394752	0.0234576	0.0937512
b	0.209754	0.589382	0.0747559	0.0121608	0.113948
é	0.0487429	0.710507	0.0715856	0.0506463	0.118518
á	0.081443	0.302687	0.13873	0.0455055	0.431634
n	0.1643	0.228182	0.47229	0.0561787	0.0790495
g	0.402509	0.215323	0.246669	0.0254876	0.110011
a	0.414287	0.218891	0.285729	0.0297269	0.0513653
a	0.122308	0.0766339	0.527847	0.114698	0.158513
y	0.0329401	0.0529359	0.538674	0.268027	0.107423
é	0.0229354	0.0163848	0.488544	0.144989	0.327147
n	0.00596253	0.0107532	0.255236	0.311417	0.416631
d	0.0200898	0.0325138	0.512878	0.123724	0.310795
e	0.0141801	0.0113473	0.18782	0.169703	0.616949
</S>	0.014684	0.0218754	0.253177	0.201454	0.50881
