 	qui	a	cuit	mes	safous	</S>
o	0.653936	0.251485	0.0562492	0.0137176	0.0223624	0.00224974
k	0.0530024	0.348444	0.40574	0.0207216	0.111666	0.0604258
á	0.0299291	0.192138	0.449628	0.0410352	0.0918818	0.195388
n	0.002349	0.218507	0.523665	0.0105959	0.0445921	0.200291
g	0.203361	0.172609	0.279252	0.146429	0.0643573	0.133991
i	0.599054	0.170654	0.0732583	0.0314455	0.0210752	0.104513
s	0.0754448	0.0435286	0.0545884	0.5051	0.25648	0.0648578
á	0.00141584	0.00165982	0.0357561	0.182664	0.68397	0.0945337
á	0.0413771	0.00469265	0.00461837	0.271676	0.655315	0.0223201
y	0.00101286	0.00218559	0.0196975	0.165198	0.659009	0.152897
á	0.00138833	0.000486996	0.0159025	0.333253	0.507293	0.141676
n	0.00228318	0.00131955	0.0142282	0.489401	0.332071	0.160697
g	0.000737854	0.000256365	0.00283466	0.328155	0.576892	0.0911242
á	0.0105653	0.00378855	0.0139174	0.294264	0.179681	0.497784
á	0.0113584	0.00968411	0.0173271	0.179766	0.229238	0.552626
d	0.00227345	0.00968874	0.0362617	0.0764814	0.29975	0.575544
z	0.000744283	0.00149495	0.0187781	0.134759	0.0819461	0.762278
e	0.00204117	0.00286323	0.0311094	0.332189	0.129116	0.502681
n	0.0200195	0.00685619	0.0488296	0.455281	0.0543739	0.414639
d	0.00076734	0.0012964	0.00865586	0.369624	0.256725	0.362931
a	0.00180704	0.000540142	0.0027378	0.177451	0.212561	0.604902
</S>	0.000374548	0.000561374	0.0033029	0.05107	0.0454948	0.899196
