 	lui	aussi	est	malade	</S>
w	0.675329	0.265103	0.0509033	0.00659977	0.00206503
a	0.790163	0.155422	0.0409497	0.0114168	0.00204813
b	0.240795	0.570217	0.157059	0.00323651	0.0286931
h	0.15309	0.658344	0.0788049	0.0523517	0.0574091
í	0.0491176	0.448273	0.0423055	0.0547871	0.405517
a	0.244537	0.213768	0.464883	0.0425982	0.0342127
d	0.0497078	0.0982277	0.750052	0.0398166	0.0621959
i	0.0242654	0.081606	0.190959	0.01075	0.692419
n	0.0176578	0.0393897	0.374665	0.110298	0.45799
d	0.241611	0.0361316	0.144973	0.0867097	0.490575
z	0.0315515	0.0945841	0.254211	0.276183	0.34347
ó	0.0554081	0.0821928	0.0316092	0.28354	0.54725
r	0.00937114	0.0775854	0.028508	0.175817	0.708718
o	0.0276907	0.053942	0.0248356	0.151337	0.742194
l	0.0881435	0.0417903	0.11738	0.0669491	0.685737
a	0.037852	0.0258361	0.167059	0.139047	0.630206
b	0.0902677	0.0236568	0.371816	0.128978	0.385282
v	0.130308	0.086551	0.363654	0.2544	0.165087
u	0.00753564	0.0347839	0.0383788	0.847781	0.0715205
a	0.00142247	0.0198747	0.0546964	0.314113	0.609894
</S>	0.00870865	0.0181343	0.125155	0.057839	0.790163
