 	il	a	bien	avancé	son	travail	</S>
w	0.862454	0.103576	0.0293472	0.00194852	0.00193799	0.000492864	0.000243432
a	0.756388	0.198155	0.0212097	0.00189711	0.0180081	0.00419712	0.000144336
á	0.256366	0.552528	0.105128	0.0167109	0.0540745	0.00725303	0.00793933
m	0.0569105	0.307658	0.259087	0.220019	0.0546904	0.0299287	0.0717062
i	0.0133697	0.223931	0.566191	0.102478	0.0176294	0.0121897	0.0642109
s	0.00786543	0.0435854	0.293816	0.620384	0.00982769	0.00950082	0.0150205
í	0.00228092	0.0381591	0.113026	0.775219	0.0248611	0.0174117	0.0290425
á	0.0144893	0.112639	0.256202	0.197771	0.0536635	0.0532084	0.312027
ω	0.0481959	0.120615	0.431861	0.159711	0.201401	0.0284924	0.00972412
b	0.00510638	0.0124388	0.058648	0.81136	0.0390092	0.0689586	0.00447885
á	0.0067828	0.0183819	0.348863	0.509775	0.0219571	0.0732319	0.0210086
á	0.011827	0.0379346	0.206668	0.329871	0.0750715	0.114372	0.224256
n	0.0112189	0.0334206	0.0823809	0.266546	0.410776	0.13049	0.0651668
d	0.0235355	0.0278281	0.0225954	0.151809	0.251418	0.158202	0.364611
á	0.00423493	0.00850253	0.0116051	0.0944948	0.295397	0.333625	0.252141
ω	0.00552107	0.00781432	0.0477767	0.123082	0.440467	0.194062	0.181277
s	0.000300468	0.00165021	0.00719977	0.134061	0.224466	0.61079	0.0215321
á	0.000288512	0.00338356	0.00525463	0.11154	0.442393	0.389951	0.047189
l	0.000732291	0.00113489	0.00448823	0.03586	0.315645	0.406774	0.235365
á	0.00101083	0.00124046	0.00612472	0.0290031	0.241349	0.615053	0.106219
o	0.00563264	0.00429719	0.0153954	0.0268923	0.456215	0.336318	0.15525
y	0.000382065	0.00312855	0.0124428	0.0796051	0.258388	0.474536	0.171518
í	0.00034861	0.00322044	0.0077336	0.0754777	0.458629	0.227919	0.226671
í	0.000583704	0.0017496	0.00600143	0.0231496	0.397944	0.16224	0.408332
l	0.00288954	0.00748514	0.0297381	0.019391	0.322061	0.188014	0.430422
á	0.00421355	0.00375146	0.0195	0.0515862	0.302124	0.32743	0.291395
a	0.0319822	0.0236676	0.0411231	0.00634134	0.369672	0.317623	0.209591
b	0.00153241	0.0101831	0.03849	0.108653	0.351251	0.312735	0.177156
h	0.00218003	0.0230549	0.170241	0.0472226	0.299719	0.265295	0.192288
e	0.000891893	0.00265923	0.0763103	0.0342171	0.367052	0.240608	0.278262
r	0.00256223	0.00255336	0.0183834	0.0128786	0.271864	0.0754169	0.616342
á	0.00126988	0.000857967	0.00307918	0.0108539	0.0671307	0.0981438	0.818665
ω	0.0275489	0.0163675	0.0416219	0.0259127	0.327443	0.139484	0.421623
d	0.000904484	0.00802255	0.0312615	0.08143	0.381183	0.0785812	0.418617
z	0.000297065	0.00319951	0.00786696	0.0844129	0.181293	0.105394	0.617536
w	0.00275973	0.0102445	0.00606905	0.0494096	0.29874	0.124064	0.508713
á	0.0123792	0.00669354	0.019094	0.0325528	0.489975	0.0451448	0.394161
ω	0.00430973	0.00290497	0.0104409	0.0147508	0.158339	0.115201	0.694053
y	0.000934654	0.00958769	0.0501139	0.129486	0.263256	0.0636559	0.482966
w	0.000475423	0.00184689	0.00238707	0.0424147	0.182518	0.0769744	0.693384
ω	0.00294442	0.00233093	0.00505591	0.0452678	0.579443	0.103522	0.261435
</S>	0.000102575	0.000141018	0.00122363	0.00856126	0.0448094	0.0430651	0.902097
