 	la	manière	dont	il	a	explosé	le	pneu	m'	a	bouché	les	oreilles	</S>
e	0.0497946	0.262232	0.638423	0.0419746	0.00308609	0.000374086	0.00101211	0.000544226	0.000954643	0.000216127	0.000300831	0.000159602	7.50098e-05	0.000853344
l	0.00240006	0.00660736	0.0299742	0.0278115	0.0565435	0.697298	0.0267485	0.0350001	0.00118758	0.00359929	0.0880802	0.00791336	0.0135832	0.00325327
o	0.00314014	0.00398767	0.0114183	0.0351053	0.112288	0.668371	0.0658612	0.0107613	0.00396123	0.00433561	0.0685667	0.00224535	0.000824269	0.00913407
n	0.00149485	0.00127519	0.00352249	0.00293181	0.0530272	0.873692	0.021731	0.00803503	0.000124338	0.000681986	0.0315918	0.000432799	0.000479902	0.000979331
d	0.0166801	0.0184701	0.0044346	0.00597899	0.0375292	0.78854	0.0204443	0.00662658	0.000555123	0.00232772	0.0537715	0.002947	0.00478489	0.03691
z	0.0440206	0.0105226	0.00914528	0.0156059	0.0345986	0.555497	0.0218674	0.0103241	0.00138245	0.00392987	0.164862	0.00374296	0.0105298	0.113972
í	0.0690064	0.062635	0.0322966	0.0271019	0.0227619	0.169388	0.0520129	0.0170767	0.00422797	0.00898387	0.131063	0.0274859	0.0526967	0.323263
s	0.0231693	0.125568	0.172154	0.0350918	0.144329	0.146835	0.0906552	0.0102607	0.00313319	0.0271393	0.0369095	0.0410972	0.0172527	0.126405
í	0.00985682	0.0252688	0.0151272	0.010077	0.0553352	0.21912	0.11662	0.00127895	0.00617605	0.0239092	0.0634922	0.111384	0.0468076	0.295547
l	0.011733	0.0700756	0.126024	0.0570594	0.126313	0.158592	0.0669857	0.0633037	0.0101237	0.0482249	0.0310434	0.0527105	0.0640189	0.113792
í	0.00781966	0.0249028	0.0773105	0.0341269	0.029607	0.0552907	0.021442	0.00234887	0.0149977	0.0215986	0.0283937	0.0269875	0.0109207	0.644253
y	0.0049056	0.0973507	0.412035	0.157072	0.125864	0.0317494	0.0465221	0.00581488	0.0237998	0.0270526	0.00785547	0.0213022	0.00435228	0.0343243
é	0.0368207	0.0854715	0.409895	0.0963258	0.0978963	0.0925514	0.0485047	0.00266929	0.0257089	0.0142763	0.0128838	0.0125441	0.00533519	0.0591175
é	0.0376894	0.0811658	0.352814	0.100478	0.143874	0.0806093	0.0348314	0.00776763	0.0125243	0.0170235	0.0123173	0.0105629	0.00371351	0.104629
l	0.00248406	0.00139747	0.00257871	0.0163434	0.119991	0.764358	0.0273547	0.0207666	0.000948887	0.00402999	0.0197659	0.00328833	0.00414682	0.012546
ó	0.000715903	0.000503835	0.000998815	0.014141	0.232966	0.700585	0.0221642	0.00108008	0.00170427	0.00238009	0.0155191	0.000967049	0.00036957	0.00590452
n	0.000611456	0.000569175	0.00428042	0.0130166	0.105649	0.767305	0.0460033	0.0142434	0.00119597	0.00335683	0.0204542	0.00209323	0.00147508	0.0197467
d	0.00282922	0.00366118	0.0129556	0.0529126	0.174065	0.576572	0.0790612	0.0197666	0.00626319	0.0109165	0.019194	0.0132744	0.00541845	0.0231102
z	0.00870302	0.013072	0.0370056	0.0469744	0.108141	0.580109	0.0611936	0.0249883	0.00582406	0.00980376	0.0246777	0.00749367	0.00727018	0.0647436
í	0.0484241	0.0522872	0.151435	0.0670944	0.0676866	0.339695	0.0790367	0.0416969	0.00799111	0.0114722	0.0198016	0.0127005	0.0111182	0.0895596
s	0.00120594	0.00270698	0.0370905	0.280276	0.170727	0.0277481	0.238216	0.0241534	0.131121	0.0501688	0.00591259	0.0172798	0.00300956	0.0103846
í	0.0629507	0.0229137	0.0320438	0.131406	0.119496	0.201914	0.310289	0.0130589	0.0586931	0.0109615	0.00732108	0.00891961	0.00370026	0.0163314
w	0.0109747	0.0110109	0.0295251	0.22083	0.0668991	0.00650579	0.304977	0.0175469	0.270771	0.0440159	0.00322689	0.0102165	0.000633334	0.00286777
a	0.00245734	0.00514508	0.011381	0.263806	0.113983	0.0268809	0.225726	0.0373395	0.184972	0.0639503	0.00666654	0.0318638	0.0096478	0.0161808
e	0.00110069	0.0022733	0.00207775	0.0692101	0.0858653	0.020643	0.49972	0.0705774	0.107939	0.063922	0.00815804	0.0353081	0.00602991	0.0271752
k	0.00174607	0.00377283	0.00179711	0.0128739	0.0712154	0.315768	0.247772	0.169829	0.00806466	0.0324185	0.041215	0.0141039	0.0142889	0.0651344
o	3.19839e-05	0.00013489	5.12579e-05	0.000976734	0.00933276	0.162701	0.179665	0.584776	0.00128425	0.0108894	0.0307282	0.00317142	0.0097788	0.00647869
o	0.000233566	0.000119862	0.000112306	0.000624821	0.00913572	0.198821	0.151757	0.616133	0.000450242	0.00225609	0.0118673	0.00129504	0.00123522	0.00595843
y	0.00121139	0.00113922	0.00122866	0.00270304	0.0154062	0.00670382	0.807609	0.0502804	0.027784	0.0557292	0.0158791	0.0073338	0.00145674	0.00553554
á	0.0580039	0.0507268	0.0229784	0.00594597	0.0190443	0.0398796	0.53459	0.125218	0.0461694	0.0353277	0.0208984	0.013236	0.00918616	0.0187957
o	0.00250165	0.00937153	0.00538757	0.0071002	0.00400897	0.000736386	0.175247	0.192709	0.464447	0.112618	0.0125954	0.00784799	0.00378613	0.0016432
t	0.000303362	0.000421169	0.000378782	0.000956254	0.0078422	0.0673029	0.208274	0.407543	0.00886502	0.0319043	0.249213	0.0035171	0.00910928	0.00437005
ω	3.07067e-05	6.65952e-05	3.97061e-05	0.000108558	0.00114891	0.0232452	0.0409242	0.832718	0.000405123	0.00604283	0.0778098	0.000933156	0.00872726	0.00779949
m	8.0984e-05	9.67756e-05	0.000151232	0.0010652	0.00540717	0.00733384	0.104103	0.703278	0.00900925	0.0286371	0.0877572	0.00574622	0.00859012	0.0387433
b	0.0161032	0.00305097	0.000201086	0.000841989	0.00208796	0.0114087	0.275159	0.102622	0.00492712	0.0303037	0.0677152	0.0851072	0.10073	0.299742
í	0.0121986	0.0159122	0.000486619	0.00116732	0.00513986	0.0283705	0.23524	0.126221	0.00929143	0.0643022	0.126512	0.0400197	0.0653523	0.269786
l	0.00211801	0.00110818	0.00130491	0.00288671	0.00271528	0.000744516	0.0856574	0.0782696	0.21355	0.261881	0.102814	0.0643132	0.0319736	0.150664
i	0.00925058	0.00443292	0.00289272	0.00378956	0.00401321	0.00495254	0.0842114	0.0458805	0.204756	0.108112	0.175152	0.0577776	0.0216478	0.273131
é	0.00107893	0.00275555	0.00200833	0.00200196	0.00160549	0.000105123	0.0398412	0.0152594	0.486006	0.231874	0.0423011	0.106211	0.0181232	0.0508297
k	0.00017861	0.00118465	0.000670291	0.00756697	0.0347936	0.0164697	0.0741544	0.00682188	0.0206908	0.180099	0.241891	0.19834	0.130415	0.0867241
í	1.04144e-05	5.36082e-05	3.44404e-05	0.000355981	0.00184524	0.00134968	0.0224964	0.033817	0.00420785	0.0805146	0.51181	0.09615	0.115747	0.131608
n	2.25889e-05	0.000174164	0.000109229	0.000383067	0.000756127	0.00118448	0.0128771	0.0532514	0.0183558	0.0860847	0.339179	0.0598827	0.158179	0.269561
d	0.000854294	0.00022721	0.000262617	0.00042801	0.000577438	0.000538375	0.0137947	0.0278638	0.0980463	0.133464	0.349689	0.130427	0.0744341	0.169393
i	0.00871658	0.00608943	0.00654723	0.00392053	0.00454874	0.00545708	0.0807467	0.0228519	0.18299	0.114898	0.224708	0.0782567	0.0326013	0.227667
s	0.000298645	5.85622e-05	0.000187581	0.000496953	0.000452857	0.000107002	0.0227618	0.0246522	0.0740752	0.0633022	0.0330816	0.308974	0.265232	0.206319
i	0.00204473	0.00153042	0.00141806	0.00095755	0.00149308	0.00242016	0.0466478	0.0124326	0.0496526	0.0531279	0.130262	0.114839	0.284582	0.298592
n	0.00157529	0.00370788	0.00551514	0.00233223	0.00072435	4.40733e-05	0.0123853	0.00231969	0.210011	0.0760637	0.011091	0.384017	0.0773103	0.212903
g	0.00705766	0.00830304	0.0120731	0.00436619	0.000552105	8.3091e-05	0.0116687	0.0010036	0.69086	0.0231102	0.0359658	0.105676	0.0403382	0.0589422
á	0.000867639	0.00159262	0.00706772	0.00378778	0.0010299	0.000330756	0.00904993	0.000433886	0.793071	0.0197533	0.0195357	0.0452869	0.01112	0.087073
a	0.000138117	0.000188792	8.29851e-05	0.000476609	0.000428143	6.31416e-05	0.00615383	0.00197487	0.0202638	0.0401783	0.0205575	0.395227	0.124034	0.390233
t	0.000226157	0.000741976	0.000367667	0.000521512	0.00285332	0.00422284	0.0287209	0.00657283	0.0023062	0.0165306	0.06866	0.285602	0.400125	0.182548
ú	1.91787e-05	0.00011575	9.92183e-05	0.00020398	0.000537023	0.000560966	0.00714913	0.0338173	0.00105599	0.0153041	0.0505123	0.070174	0.620252	0.200199
e	0.00138989	0.000705523	0.000331931	0.000125902	0.000345881	0.00109351	0.0109738	0.0128175	0.000862037	0.005832	0.114766	0.0480293	0.341133	0.461595
</S>	0.00708965	0.000971888	0.000279383	0.000177773	0.000455256	0.000237488	0.00909161	0.00111994	0.00365397	0.0195295	0.0431705	0.284375	0.222826	0.407022
