 	le	serpent	a	avalé	le	crapaud	il	doit	le	vomir	</S>
n	0.572469	0.382704	0.0268089	0.00159033	0.00301911	0.00210225	0.00800359	0.00091404	0.0023088	1.56587e-05	6.40366e-05
z	0.50046	0.491128	0.00514663	3.40312e-05	0.0012006	3.46088e-05	0.00022705	0.000120856	0.00139117	0.000172856	8.42897e-05
ώ	0.115075	0.811226	0.0301674	0.00283109	0.0117195	0.00404807	0.00349365	0.0128269	0.00338323	0.00132493	0.00390384
á	0.111645	0.796484	0.0666116	0.00141811	0.00175661	0.00116053	0.00141297	0.00163907	0.00205229	0.00167823	0.0141409
m	0.0448201	0.085759	0.706343	0.0376594	0.0347839	0.0065829	0.00738036	0.00744379	0.00678976	0.00674461	0.055693
i	0.0403255	0.023462	0.173587	0.50702	0.183158	0.00275192	0.0102911	0.00441719	0.00662092	0.0065048	0.0418612
m	0.0315626	0.0329187	0.0823933	0.622378	0.139189	0.0276328	0.00261208	0.00872797	0.00235315	0.00802901	0.0422034
i	0.00995225	0.0144425	0.0750802	0.670794	0.0934508	0.0621106	0.005876	0.0091671	0.00662103	0.0164596	0.0360459
á	0.00271746	0.00197551	0.0327874	0.752707	0.159516	0.0100036	0.00270754	0.00316252	0.00146128	0.00117743	0.0317835
e	0.0142247	0.00661147	0.0795291	0.0469437	0.572967	0.0588048	0.141777	0.021915	0.0318326	0.00631413	0.0190806
p	0.00273496	0.00300321	0.0111278	0.086492	0.24336	0.501567	0.020615	0.0772662	0.00539325	0.0251652	0.0232749
o	0.000114168	0.000219048	0.000947362	0.0104479	0.0141421	0.941583	0.00569698	0.0213661	0.000353606	0.000924676	0.00420512
p	0.000153518	0.000320784	0.000856131	0.00395328	0.00653789	0.977503	0.00432968	0.00324862	0.000326871	0.000296577	0.00247381
o	0.000449237	0.000726744	0.00128065	0.00181158	0.0145977	0.907463	0.0463131	0.017992	0.00107065	0.000385345	0.00790973
r	0.00321581	0.00213198	0.0156264	0.00686928	0.0694451	0.0777091	0.682292	0.0840099	0.0361125	0.00537152	0.0172166
o	0.0224653	0.0298148	0.00437666	0.00431301	0.0568856	0.485138	0.192331	0.107552	0.0135834	0.00440972	0.0791314
w	0.00744096	0.00391647	0.0210783	0.00138004	0.0649365	0.0131368	0.650813	0.0809697	0.109357	0.0177105	0.0292615
a	0.0242435	0.0107444	0.0159004	0.0183376	0.076164	0.0134452	0.268647	0.334042	0.169208	0.022466	0.0468007
k	0.00251856	0.00104053	0.00772778	0.00113449	0.0142535	0.0088001	0.443756	0.216773	0.19182	0.0570963	0.0550801
ω	0.00156518	0.000839313	0.000860018	0.00106148	0.00511765	0.104614	0.114907	0.694031	0.0369323	0.006044	0.0340287
m	0.000168386	0.000189695	0.000627519	0.00229853	0.0125199	0.313475	0.0358497	0.419511	0.0569229	0.0652078	0.0932298
i	0.0107089	0.00336119	0.00308306	0.00115368	0.0205705	0.0490216	0.361147	0.206322	0.192919	0.0101899	0.141523
a	0.00638196	0.00122263	0.0111326	0.00210583	0.0175892	0.0030474	0.0318502	0.166311	0.410187	0.0778511	0.272321
l	0.00242416	0.00203474	0.016185	0.0174442	0.0221534	0.00119265	0.0107176	0.120914	0.219845	0.388468	0.198621
ú	0.000921115	0.000419704	0.00240982	0.00542288	0.00707981	0.000681599	0.00246588	0.0841368	0.0888228	0.449831	0.357808
ú	0.000112511	4.66711e-05	0.000561302	0.00019992	0.0170765	0.000954758	0.0069974	0.0486535	0.297483	0.13933	0.488584
y	0.00202956	0.00023916	0.00214992	0.000569909	0.0188834	0.00146409	0.018884	0.0615874	0.232328	0.103062	0.558802
í	0.00496504	0.00489924	0.0148149	0.00173594	0.0348909	0.00647062	0.01931	0.0294938	0.308533	0.404523	0.170363
a	0.00304726	0.000425391	0.00380192	0.000406707	0.00718419	0.00452495	0.0364695	0.0567604	0.42303	0.170072	0.294277
</S>	0.00117183	0.000304528	0.00271905	0.00437838	0.0148211	0.00347022	0.0046077	0.0390657	0.101261	0.303703	0.524498
