 	qui	est-ce	qui	chante	là	</S>
m	0.548212	0.380478	0.0529088	0.00376155	0.0121743	0.00246566
o	0.204108	0.135604	0.104366	0.133932	0.0599579	0.362032
r	0.158143	0.737541	0.0788184	0.0138742	0.00642968	0.00519412
o	0.331712	0.481022	0.0496634	0.0246997	0.0144587	0.0984436
y	0.330203	0.363695	0.211247	0.0456148	0.0064018	0.042838
e	0.496136	0.289829	0.127965	0.0562258	0.0170416	0.012803
e	0.326521	0.0561685	0.155078	0.316626	0.087084	0.0585216
y	0.00753989	0.0190433	0.137315	0.654023	0.0859075	0.0961713
é	0.000824612	0.00147923	0.0181911	0.954974	0.00754643	0.0169843
m	0.00446921	0.00746693	0.0942689	0.624121	0.106933	0.162741
b	0.00651569	0.0135709	0.136577	0.286609	0.374946	0.181782
a	0.013059	0.0136436	0.0913679	0.0235899	0.188155	0.670185
w	0.00878346	0.00283209	0.025937	0.0233499	0.57837	0.360728
ó	0.00771842	0.00350868	0.0416057	0.0293564	0.63981	0.278001
n	0.00923862	0.00481275	0.034368	0.0554551	0.339271	0.556854
d	0.00638175	0.00473273	0.0114876	0.0406673	0.353974	0.582757
a	0.00257009	0.00245934	0.00433608	0.0320354	0.0958741	0.862725
</S>	0.00181175	0.00308192	0.0197872	0.0706208	0.153601	0.751097
