 	mon	genou	s'	est	enflé	</S>
n	0.21571	0.733403	0.03872	0.00367889	0.000231646	0.00825578
g	0.814601	0.180704	0.00393389	0.000310632	7.92579e-06	0.000442246
í	0.730045	0.265559	0.00253254	0.00117402	0.000160704	0.000528322
n	0.0623843	0.872366	0.049659	0.00592796	0.000243432	0.00941892
g	0.370936	0.390275	0.0536278	0.00811344	0.000889144	0.176158
ώ	0.416815	0.526934	0.0189083	0.00167593	0.00173102	0.0339359
r	0.289356	0.412922	0.22517	0.0231893	0.0016064	0.0477564
ω	0.184752	0.265355	0.234477	0.0240084	0.0103158	0.281092
í	0.107568	0.11916	0.667471	0.0609895	0.00482477	0.0399871
m	0.019329	0.00831481	0.373631	0.523487	0.0398208	0.0354169
o	0.00741398	0.0438109	0.234384	0.567041	0.0260819	0.121268
f	0.00105127	0.00115773	0.0216666	0.409939	0.522848	0.0433372
ú	0.00034865	0.00205404	0.0098193	0.183034	0.743856	0.0608883
ú	0.000173586	0.000858012	0.00123833	0.0132244	0.922761	0.0617449
s	0.00527732	0.00506731	0.0888504	0.0638711	0.153001	0.683933
a	0.0958674	0.0286355	0.161891	0.072497	0.0373044	0.603804
</S>	0.0264147	0.00694049	0.183837	0.0765272	0.0437548	0.662525
