 	je	déplume	le	poulet	avant	de	le	dépecer	</S>
n	0.97211	0.0108424	0.0113922	0.00208207	0.00138636	0.000993406	0.000952155	0.000231194	9.8784e-06
g	0.997396	0.000171755	0.00216934	1.47198e-05	2.75429e-05	9.40003e-05	9.36631e-05	2.91044e-05	3.91241e-06
á	0.985324	0.00739839	0.00522166	0.00037967	0.000171369	0.000639266	0.000499924	0.000316146	4.97786e-05
l	0.431714	0.18264	0.148164	0.0342357	0.00635791	0.0323476	0.0825753	0.0119221	0.070044
í	0.5091	0.0718673	0.0767429	0.00711633	0.00708416	0.0924923	0.0630571	0.00667051	0.16587
i	0.0588135	0.210211	0.244038	0.018366	0.00986522	0.0952095	0.140602	0.015892	0.207004
f	0.00100682	0.975144	0.00996661	0.00337018	0.00609791	0.00169065	0.00110846	0.000173817	0.00144164
u	1.32503e-05	0.986982	0.00259974	0.00199463	0.00803939	0.000129411	8.07192e-05	2.35751e-05	0.000136954
u	0.00367909	0.942373	0.0370725	0.00903998	0.000912172	0.00139333	0.00251224	0.000640576	0.00237741
g	0.00130107	0.194565	0.5495	0.0819186	0.00648162	0.0433254	0.0404072	0.00515806	0.0773424
h	0.00626648	0.0409887	0.768529	0.0565779	0.0130984	0.0434248	0.0248113	0.00244251	0.0438613
á	0.0042459	0.0211351	0.736101	0.0691809	0.00954673	0.021506	0.0260976	0.00868614	0.103501
t	0.011761	0.00519046	0.683227	0.231715	0.0213264	0.0168737	0.0173237	0.0013782	0.0112049
s	0.000483467	0.0122398	0.0453633	0.851026	0.0102064	0.00684697	0.00784887	0.049988	0.0159969
ó	2.47958e-05	0.00763997	0.0452425	0.858134	0.0484511	0.00752754	0.00748319	0.013391	0.0121058
s	0.000614117	0.0138653	0.132147	0.722953	0.0937242	0.00546941	0.00730613	0.0119012	0.0120193
ó	1.78913e-05	0.0105689	0.0671698	0.779277	0.0415226	0.00531757	0.00691319	0.0234017	0.0658117
o	0.00125712	0.0146641	0.208527	0.337644	0.236875	0.114501	0.0286574	0.00546343	0.0524111
b	0.000433477	0.0141053	0.0260609	0.336919	0.488213	0.0952954	0.0221581	0.00526287	0.0115525
o	0.000113106	0.000972643	0.0225132	0.101536	0.696467	0.113483	0.0304205	0.0106007	0.0238937
s	9.3878e-06	0.00465998	0.00485951	0.173517	0.78852	0.0146111	0.003545	0.00276217	0.0075156
ó	8.60433e-05	0.00540713	0.00971906	0.423423	0.413575	0.0554545	0.0250158	0.0339671	0.0333523
b	0.000354426	0.00195547	0.0284449	0.0452455	0.301594	0.483786	0.0736547	0.00418919	0.0607756
í	0.00143991	0.0012929	0.0326786	0.0209555	0.104946	0.359224	0.1716	0.0437182	0.264145
k	0.00844693	9.01911e-05	0.0066347	0.0197999	0.0537364	0.411797	0.252026	0.0511738	0.196295
y	0.000280066	0.000994656	0.00533281	0.0449577	0.0505568	0.226612	0.104543	0.509606	0.0571164
έ	3.40176e-05	0.000404603	0.00214348	0.0274858	0.0348512	0.152354	0.172808	0.571142	0.0387772
s	2.04104e-05	0.00070908	0.00290519	0.0390429	0.10184	0.277511	0.14309	0.371892	0.0629892
ε	8.09303e-05	0.00639701	0.0025487	0.0219299	0.00784761	0.155171	0.166681	0.412886	0.226458
l	5.82326e-05	0.000573927	0.00347148	0.00914698	0.00833971	0.280801	0.438102	0.0776338	0.181872
á	0.000202396	0.0015882	0.0266096	0.00661935	0.00335264	0.301413	0.274491	0.0725268	0.313198
w	0.00120618	0.00162492	0.00947909	0.0325483	0.00985831	0.169898	0.315292	0.281144	0.17895
a	0.0062273	0.000505174	0.013372	0.00682683	0.0134145	0.334824	0.382036	0.058885	0.18391
</S>	0.000176888	0.000277395	0.00119892	0.00366626	0.000759852	0.152777	0.293336	0.131466	0.416341
