 	reste	auprès	de	la	maison	</S>
d	0.93072	0.0553099	0.00669145	0.00687985	0.000205284	0.000193946
z	0.830992	0.00870241	0.0128828	0.0352869	0.0415702	0.0705655
e	0.989364	0.00206133	0.00154578	0.000706621	0.00197651	0.00434559
e	0.940227	0.0114124	0.00561731	0.0048068	0.00199224	0.0359442
m	0.199508	0.506398	0.10743	0.0120468	0.00208977	0.172528
á	0.136468	0.335278	0.354491	0.0593474	0.00121184	0.113204
p	0.126597	0.497374	0.153019	0.0935243	0.0516174	0.0778682
ε	0.041467	0.704058	0.167562	0.0508727	0.0097345	0.0263057
l	0.123136	0.372584	0.230775	0.101753	0.0159604	0.155793
έ	0.0270102	0.533174	0.225929	0.068202	0.0178902	0.127794
έ	0.0100482	0.113082	0.403244	0.409192	0.0282074	0.0362257
l	0.0105154	0.0914053	0.35058	0.343702	0.0831062	0.120691
a	0.00308841	0.0243586	0.385395	0.26333	0.111085	0.212743
n	0.00324626	0.0382017	0.355985	0.386063	0.132376	0.0841279
d	0.00147908	0.00410367	0.128233	0.222512	0.601672	0.0419998
é	0.000445946	0.000954116	0.0476586	0.126645	0.727937	0.0963594
e	0.000744828	0.0100869	0.217453	0.316477	0.197824	0.257414
</S>	0.00304938	0.0211483	0.170483	0.422127	0.189201	0.193991
