 	la	tornade	d'	hier	a	emporté	beaucoup	de	toits	dans	notre	village	</S>
e	0.740277	0.186008	0.0604081	0.0043123	0.00176937	0.00117584	0.00191007	0.00187032	0.000267819	0.000132965	0.00157776	0.00028021	9.3959e-06
n	0.236928	0.713745	0.0208085	0.0151429	0.00358964	0.00213695	0.00170959	0.00054558	0.00069187	0.00240106	0.000497425	0.00104614	0.000757404
d	0.087417	0.69245	0.114934	0.0186719	0.0145569	0.00731174	0.00890908	0.0193064	0.026111	0.00566799	0.00180823	0.000320123	0.00253552
w	0.0811008	0.887986	0.0159173	0.00351662	0.00160503	0.0025197	0.000837045	0.00146162	0.00268977	0.000533006	0.000191858	0.000150239	0.00149129
ε	0.106294	0.854156	0.0263898	0.00264119	0.00173772	0.00107297	0.00192583	0.00355972	0.000869925	0.000530918	9.56548e-05	0.000145846	0.00058014
n	0.0894301	0.374581	0.415092	0.0254021	0.01332	0.020056	0.00789525	0.0168293	0.00825066	0.00664086	0.00112718	0.000287312	0.0210879
d	0.103264	0.521942	0.121644	0.0289474	0.0136156	0.0135855	0.0249174	0.0159768	0.0131753	0.0363432	0.0101677	0.00435458	0.0920663
w	0.1389	0.715283	0.0934799	0.00544851	0.00274032	0.00537307	0.00427278	0.0127261	0.00341548	0.00435341	0.00636813	0.000323711	0.00731588
ε	0.0674342	0.146572	0.454506	0.0433987	0.0337683	0.0187433	0.0523274	0.0732289	0.0125788	0.0265107	0.0337588	0.00219864	0.0349745
y	0.0365409	0.0242975	0.518745	0.257819	0.103925	0.0145094	0.00957049	0.00603764	0.00545298	0.0089388	0.00373335	0.00113268	0.00929724
é	0.405301	0.115849	0.18499	0.174371	0.049742	0.0111827	0.0108927	0.0182248	0.00517388	0.00826046	0.0057165	0.00290243	0.00739462
é	0.0711329	0.0228815	0.197878	0.304962	0.184909	0.0563948	0.0337979	0.0414461	0.0227461	0.0143732	0.0260697	0.00479014	0.0186188
k	0.0157363	0.0106814	0.0475419	0.273719	0.460713	0.112144	0.0105556	0.00328431	0.0240893	0.0168162	0.000860277	0.00438629	0.019472
y	0.0020756	0.00217674	0.0202789	0.585123	0.171057	0.170591	0.0263476	0.0044837	0.00410831	0.0048008	0.000305712	0.00136776	0.00728304
e	0.00594207	0.00984319	0.0346215	0.226417	0.246749	0.387178	0.0478455	0.00848979	0.00997338	0.0100868	0.000391164	0.00261203	0.00985046
e	0.00235657	0.00454268	0.045129	0.235986	0.357154	0.243958	0.0419806	0.00910862	0.00551205	0.0109882	0.00420929	0.00625565	0.032819
