 	je	vous	ai	absenté	hier	</S>
n	0.744186	0.15883	0.0616526	0.0286631	0.00304321	0.0036246
g	0.964357	0.0305652	0.00321413	0.00166399	0.000149509	5.03087e-05
á	0.909785	0.0529169	0.0244461	0.0114617	0.00126301	0.0001274
í	0.0512214	0.429838	0.210481	0.0685833	0.0708759	0.169
k	0.0325298	0.0726862	0.519859	0.319311	0.017939	0.0376751
i	0.000597649	0.0518783	0.316115	0.59182	0.0177933	0.0217955
i	5.44627e-05	0.00318208	0.111397	0.865748	0.0118687	0.00775042
s	0.00760655	0.180515	0.345515	0.354224	0.0767193	0.0354204
i	0.000804228	0.0139509	0.235549	0.471839	0.20863	0.0692258
n	0.0198024	0.477708	0.0991141	0.0857032	0.248166	0.0695068
ω	0.092934	0.503529	0.203492	0.0933727	0.0687677	0.0379044
l	0.00309802	0.0690429	0.190092	0.0933781	0.420737	0.223652
a	0.000973181	0.0116169	0.120282	0.113812	0.260555	0.492761
p	0.00422401	0.058557	0.0576181	0.0460928	0.666679	0.166829
ó	0.00103112	0.0115587	0.0410817	0.0493481	0.721672	0.175308
a	0.000534642	0.00558532	0.0439072	0.151124	0.634225	0.164625
</S>	0.000196495	0.00572251	0.0559368	0.139887	0.297636	0.500621
