 	on	m'	a	beaucoup	effrayé	sur	la	route	d'	ekyembe	</S>
n	0.765381	0.175552	0.0372611	0.0132477	0.00247207	0.00134598	0.00183853	0.00160059	0.000951703	0.000235865	0.00011307
g	0.208048	0.762889	0.017094	0.011167	0.000327476	0.000148281	7.82702e-05	2.08984e-06	5.62496e-05	0.000179588	1.03687e-05
á	0.103719	0.788325	0.0639956	0.0316319	0.00532549	0.00317615	0.00132785	0.000131586	0.000531444	0.00175297	8.29585e-05
í	0.145048	0.196279	0.298948	0.0813217	0.00295129	0.0305004	0.0362945	0.00239555	0.0606764	0.0126889	0.132896
y	0.0285226	0.081759	0.144604	0.116921	0.531052	0.0526561	0.0170527	0.00898245	0.00553923	0.00326348	0.00964656
u	0.0178116	0.0951038	0.201768	0.208346	0.443308	0.0149294	0.00406403	0.000637295	0.000942268	0.00231178	0.0107773
r	0.0582069	0.141486	0.282773	0.309953	0.141584	0.0296559	0.00711351	0.000133403	0.00466138	0.00459674	0.0198358
u	0.0690468	0.131129	0.300422	0.381136	0.0410277	0.02584	0.0206595	0.000555516	0.00873415	0.00635487	0.015095
i	0.0594535	0.339052	0.244345	0.287453	0.00740125	0.0340606	0.0114792	0.00110277	0.00520565	0.00112594	0.00932145
p	0.00901371	0.0641281	0.175077	0.225272	0.0231912	0.339222	0.0791632	0.0491648	0.01132	0.0146801	0.00976827
a	0.0016957	0.00660184	0.061628	0.0719235	0.00903519	0.360413	0.0975898	0.355906	0.0124184	0.0136684	0.00912019
m	0.0011571	0.00736306	0.0405536	0.0703906	0.00417628	0.454807	0.180928	0.208178	0.01306	0.00536275	0.0140237
b	0.00730512	0.0110996	0.0713067	0.105783	0.00218002	0.377187	0.180348	0.027812	0.115572	0.0205238	0.080882
í	0.0131323	0.00836405	0.0737774	0.121485	0.0105039	0.316523	0.184364	0.0140186	0.0873039	0.0355387	0.13499
s	0.00561228	0.0142093	0.0773475	0.117484	0.000314394	0.235388	0.310839	0.103802	0.0633663	0.00881576	0.0628202
a	0.00377997	0.0189868	0.043528	0.201611	0.00236722	0.135735	0.190141	0.0152249	0.0806419	0.0416135	0.26637
ó	0.00418753	0.0119949	0.0472683	0.28415	0.000930859	0.061998	0.230917	0.128342	0.092709	0.0313611	0.10614
k	0.00143002	0.00330975	0.0199506	0.118107	0.00412541	0.062324	0.14852	0.418022	0.123111	0.0758941	0.0252065
ó	8.02254e-05	2.63333e-05	0.000653734	0.00192546	6.70293e-05	0.0134489	0.0279338	0.882005	0.0157042	0.043112	0.0150436
ó	3.5628e-05	4.80982e-05	0.000780792	0.00551004	0.000114291	0.0161804	0.0369241	0.880463	0.0164952	0.0240594	0.0193885
y	0.00132304	0.00165862	0.00660377	0.0369985	0.000299731	0.0180678	0.0610619	0.0629392	0.465929	0.128112	0.217006
e	0.0037196	0.00710779	0.0196026	0.0720425	0.000626231	0.0308734	0.0508246	0.0202721	0.190738	0.257424	0.346769
k	0.00382734	0.0157053	0.0217955	0.0670205	0.000576679	0.00388962	0.0172588	0.0124447	0.152438	0.553122	0.151921
y	0.000378742	0.000523935	0.00100579	0.00318902	2.06397e-05	0.00237932	0.0109107	0.103111	0.0304082	0.838956	0.00911695
e	6.45052e-05	2.84411e-05	7.3278e-05	0.000362832	8.30783e-06	0.0010498	0.00580923	0.0997051	0.017266	0.853763	0.0218697
m	3.67141e-05	4.6197e-05	0.000137865	0.000363133	7.49724e-06	0.00541284	0.0199738	0.0515679	0.120274	0.644927	0.157253
b	0.00091629	0.000388959	0.000289072	0.000757913	1.74501e-05	0.00225767	0.00768744	0.00247297	0.122756	0.644266	0.21819
é	0.00112087	0.000231642	0.000348703	0.000658407	8.76722e-05	0.00444569	0.00737472	0.00201943	0.0596847	0.773816	0.150212
</S>	7.22792e-05	7.8518e-05	0.000774772	0.000917286	2.25127e-05	0.00930745	0.0229584	0.0143553	0.210313	0.216744	0.524457
