 	l'	arbre	dur	obhimbi	ruine	la	hache	</S>
o	0.477369	0.492918	0.020669	0.00362255	0.00400283	0.0012015	0.000188782	2.85225e-05
b	0.109249	0.581154	0.275787	0.00540689	0.0192553	0.00374353	0.00260911	0.00279488
h	0.0208429	0.343583	0.590343	0.0167449	0.0087234	0.00370825	0.0147761	0.00127881
í	0.00189186	0.114639	0.806954	0.0334307	0.0342744	0.00374238	0.0039574	0.00111012
m	0.0379772	0.209866	0.705388	0.0134309	0.00953754	0.0056122	0.0117923	0.00639656
b	0.217616	0.404559	0.303975	0.0509687	0.00677112	0.00702065	0.000928289	0.00816216
í	0.162146	0.197107	0.449554	0.108519	0.0335941	0.00593532	0.0016572	0.0414877
m	0.233287	0.106	0.216251	0.276284	0.0642251	0.0641277	0.00700393	0.0328214
ó	0.397161	0.0336758	0.0505465	0.233307	0.024176	0.0984518	0.0416252	0.121056
o	0.225318	0.0323687	0.149415	0.166229	0.265661	0.0575586	0.0308005	0.0726491
k	0.00392449	0.0307606	0.0447199	0.284159	0.579594	0.0387524	0.0135198	0.00456887
y	0.000908855	0.0194044	0.0662351	0.330301	0.472613	0.0331082	0.0321952	0.0452342
é	0.000926759	0.0102052	0.112372	0.25718	0.590836	0.0063572	0.00857461	0.0135485
n	0.00173834	0.00802619	0.0914015	0.322017	0.219603	0.0619299	0.130611	0.164673
á	0.00338333	0.00696867	0.0668131	0.167351	0.339075	0.123073	0.113211	0.180124
m	0.00470483	0.00230814	0.0108096	0.0537741	0.0552382	0.505578	0.263945	0.103642
é	0.00693437	0.00282185	0.00205591	0.00779672	0.01108	0.231329	0.427789	0.310193
m	0.00241107	0.00586085	0.0072149	0.0217472	0.0269976	0.193774	0.583789	0.158205
b	0.00118552	0.00105299	0.00166733	0.0036865	0.0043412	0.0473823	0.738945	0.201739
é	0.000177244	0.00186328	0.0113304	0.0288239	0.12079	0.110994	0.64669	0.0793319
</S>	0.00047951	0.00185275	0.00745015	0.0223387	0.0420995	0.10562	0.474676	0.345483
