 	mvunzu	était	un	sage	dans	le	village	ongonza	</S>
m	0.795473	0.0436059	0.134229	0.00259529	0.0125442	0.0100139	0.000669564	0.000756719	0.000113106
v	0.852239	0.0620595	0.0417687	0.00124502	0.0199214	0.00984195	0.000645898	0.00315354	0.00912505
u	0.748724	0.245088	0.00474496	0.000896345	9.4396e-05	0.000116318	2.78088e-05	0.000184645	0.000123802
n	0.705038	0.266436	0.0144246	0.000310501	0.000373356	0.000346349	0.000117208	0.00626919	0.00668466
d	0.255667	0.564255	0.0762756	0.00459237	0.0122112	0.00833386	0.00159613	0.0289886	0.0480799
z	0.333435	0.426099	0.16323	0.0483627	0.00909339	0.00598968	0.00158372	0.00634557	0.00586093
ú	0.303522	0.0893091	0.352503	0.10353	0.0383341	0.0302207	0.00353267	0.0355652	0.0434833
á	0.00415751	0.0801955	0.661231	0.0670026	0.106211	0.0648649	0.00412278	0.00188566	0.0103293
d	0.0318279	0.111449	0.314617	0.0760208	0.189642	0.174419	0.0406909	0.0103677	0.0509659
z	0.0021228	0.157259	0.103163	0.00886518	0.160962	0.105233	0.0178797	0.00563739	0.438878
á	0.03559	0.280478	0.0915836	0.111995	0.118146	0.115775	0.14478	0.036852	0.0648002
t	0.000325963	0.00402004	0.152989	0.114869	0.302796	0.264753	0.0549046	0.010628	0.0947135
w	0.000809706	0.00110811	0.0146094	0.792861	0.0435647	0.0251169	0.102573	0.012911	0.00644689
ε	0.000842696	0.000972379	0.0356699	0.70008	0.092982	0.0900003	0.0142743	0.017801	0.0473774
r	0.000691916	0.000348594	0.0565754	0.154244	0.214775	0.31677	0.0325352	0.0773558	0.146705
ε	0.00719578	0.000530087	0.111764	0.102326	0.154615	0.252375	0.057092	0.200923	0.113178
s	0.00069028	0.00174606	0.0724191	0.00968524	0.256115	0.428332	0.0556869	0.0550605	0.120266
o	0.0010611	0.00669874	0.0212033	0.0074238	0.0555741	0.0796882	0.187574	0.509029	0.131748
n	0.000995892	0.00137565	0.00232076	0.000410939	0.0061601	0.0170991	0.0601609	0.867671	0.0438051
g	0.000581601	0.00115168	0.000884626	5.99749e-05	0.00140767	0.0031485	0.00843213	0.959181	0.0251528
ó	0.000295978	0.000145648	0.000185746	0.000129922	0.00102686	0.00183504	0.00768364	0.974626	0.014071
n	4.56431e-05	9.01171e-05	0.000370615	0.000207416	0.00170718	0.00347934	0.033024	0.858267	0.102809
d	0.00157752	0.000288421	0.00182812	0.00157125	0.00913263	0.0199614	0.115316	0.615638	0.234686
z	0.00263089	0.000121972	0.000419723	0.000806373	0.00248917	0.00370201	0.0465051	0.645797	0.297528
a	0.00148908	8.40792e-05	0.00357576	0.0104171	0.0184356	0.0183787	0.037461	0.688956	0.221202
</S>	0.00025175	0.000197602	0.00543128	0.000871953	0.0219062	0.0336184	0.0146629	0.105921	0.817139
