 	le	ciel	se	brouille	</S>
i	0.94845	0.0254416	0.0257974	4.88419e-05	0.000261888
k	0.0548972	0.938624	0.00549114	0.00073311	0.000254999
o	0.0117243	0.985855	0.000895081	0.00099591	0.000529419
ó	0.0211026	0.972137	0.00452376	0.00127078	0.000965568
í	0.529076	0.0780899	0.314503	0.00186396	0.0764675
b	0.207869	0.0630554	0.562886	0.063341	0.102849
h	0.0554716	0.0958456	0.643932	0.0476851	0.157066
í	0.111099	0.149918	0.44871	0.108587	0.181686
o	0.00867621	0.0211814	0.163006	0.309143	0.497993
t	0.00200466	0.00658582	0.0899041	0.771888	0.129617
s	0.000240987	0.00143266	0.00360681	0.959094	0.0356257
a	0.00226524	0.00987364	0.0314134	0.923394	0.0330537
</S>	0.00424891	0.00122467	0.0389383	0.294689	0.660899
