 	il	est	blessant	sans	s'	en	rendre	compte	</S>
w	0.339732	0.25175	0.0523323	0.159684	0.0758723	0.0858817	0.0287641	0.00182187	0.00416165
a	0.485816	0.153434	0.00501082	0.169552	0.112092	0.0423866	0.0308536	0.000397695	0.000456519
l	0.081124	0.425711	0.168917	0.144516	0.0432907	0.0512395	0.0506796	0.00332264	0.0311993
á	0.0674389	0.162109	0.0563889	0.142853	0.092904	0.0847848	0.117361	0.0102707	0.265889
a	0.204826	0.156253	0.0895206	0.198222	0.106722	0.0518136	0.0546665	0.00878237	0.129194
k	0.0137663	0.0977081	0.741029	0.0262695	0.0417914	0.0241775	0.0149746	0.0196033	0.0206806
ώ	0.0437641	0.183707	0.339726	0.0821785	0.150131	0.106944	0.0467758	0.01106	0.0357129
s	0.00947908	0.095148	0.314099	0.132714	0.176562	0.153388	0.0574478	0.0131914	0.0479701
í	0.0256063	0.0692354	0.221646	0.250143	0.128365	0.139602	0.086271	0.0130385	0.0660918
l	0.00848724	0.0480148	0.0298345	0.235046	0.230726	0.291194	0.0970027	0.0151573	0.0445375
ώ	0.015329	0.0341071	0.0278808	0.237277	0.284522	0.143523	0.0746687	0.00328969	0.179403
b	0.00932856	0.0265349	0.0565583	0.355243	0.303693	0.139259	0.0559589	0.0245977	0.0288276
a	0.00719197	0.0186831	0.00654608	0.112763	0.485662	0.254541	0.0838041	0.0158934	0.0149144
r	0.00788983	0.0248115	0.00872758	0.0467151	0.280767	0.352157	0.117536	0.026816	0.13458
e	0.0350855	0.0398344	0.0219586	0.134328	0.343745	0.209777	0.0972336	0.0095285	0.108508
i	0.0298934	0.0583369	0.0240832	0.123428	0.136074	0.301423	0.243933	0.0405828	0.0422444
t	0.0137374	0.0247813	0.0292873	0.064988	0.0354056	0.0842939	0.255432	0.336884	0.155191
é	0.0026336	0.0176877	0.0324059	0.0534691	0.0404164	0.135809	0.256558	0.393289	0.0677318
m	0.00138132	0.00564863	0.0130219	0.0134186	0.0261491	0.0964721	0.123993	0.537916	0.181999
a	0.00693649	0.0142152	0.00224888	0.235778	0.0561732	0.136416	0.370704	0.0696029	0.107925
a	0.00475043	0.00952507	0.00583307	0.0815453	0.0348936	0.10257	0.237185	0.216976	0.306722
d	0.00358859	0.0305551	0.0567473	0.0318244	0.0310707	0.0674404	0.169636	0.339563	0.269574
í	0.00209217	0.0137138	0.0126299	0.0334546	0.0135166	0.0271549	0.0731107	0.177401	0.646926
o	0.00276168	0.00525283	0.00242465	0.064618	0.014877	0.0488914	0.173881	0.302961	0.384332
y	0.000383969	0.011711	0.0494867	0.0427317	0.0330105	0.0720194	0.120219	0.468892	0.201546
é	0.00148804	0.01621	0.0520316	0.0371611	0.01954	0.0269526	0.145887	0.269762	0.430968
b	0.000325403	0.00119057	0.00229679	0.00683243	0.00265279	0.00661224	0.0520509	0.0706566	0.857382
h	0.00567329	0.0106547	0.0120472	0.0484461	0.0237415	0.1074	0.33994	0.101937	0.35016
a	0.00189915	0.00218265	0.0020125	0.0053468	0.00997816	0.0299494	0.0504741	0.111186	0.786971
k	0.00154476	0.0063964	0.00266258	0.0281597	0.023762	0.0508456	0.0832539	0.0947817	0.708593
a	0.00876773	0.0276268	0.0661548	0.0246835	0.0248212	0.0944696	0.101248	0.129846	0.522383
á	0.0017511	0.00300685	0.00950185	0.00190287	0.00282334	0.0103525	0.0111249	0.157578	0.801959
</S>	0.00403031	0.00972622	0.0119533	0.020107	0.0356596	0.0526599	0.0574523	0.0590922	0.749319
