 	l'	homme	qui	s'	adresse	à	ce	mort	est	son	père	</S>
m	0.597722	0.225078	0.0551334	0.0582561	0.00880607	0.0181984	0.00777989	0.00301139	0.00284865	0.0227153	0.000112162	0.000338748
o	0.271723	0.566408	0.082337	0.0265736	0.0172141	0.00643294	0.0074422	0.00209944	0.00468235	0.00180421	5.02744e-05	0.0132326
r	0.437297	0.301853	0.11088	0.0242875	0.0535901	0.00881116	0.0116802	0.00776308	0.0119407	0.000510892	0.000182174	0.0312046
o	0.551919	0.163579	0.216546	0.0148161	0.0106291	0.00693641	0.00987346	0.00705827	0.00689721	0.00563014	0.0033261	0.00278943
y	0.328685	0.0651923	0.353246	0.216353	0.013327	0.00527325	0.00243272	0.00186053	0.0026803	0.00239801	0.000182721	0.00836884
e	0.232915	0.0214946	0.5263	0.0404575	0.031383	0.0307856	0.0434104	0.0310093	0.0180372	0.010455	0.00423802	0.00951437
é	0.223087	0.0150339	0.341751	0.175289	0.0866999	0.0259033	0.0250567	0.0145893	0.013094	0.0368262	0.0176061	0.0250638
y	0.0266357	0.0216179	0.0639784	0.323929	0.420855	0.0426287	0.0175917	0.0257883	0.0243998	0.00217189	0.00435905	0.0260439
ε	0.0264183	0.0160455	0.16173	0.0981636	0.393055	0.0612703	0.0322813	0.0274473	0.0364076	0.0163349	0.00961541	0.12123
l	0.00751084	0.00900439	0.0832097	0.118208	0.15583	0.0619953	0.0555274	0.0423145	0.0839689	0.0615261	0.0010886	0.319816
έ	0.0150263	0.00592307	0.0471694	0.129343	0.174799	0.0866893	0.099011	0.0704842	0.0720254	0.218408	0.0103926	0.0707285
e	0.0251706	0.00407152	0.0734803	0.24019	0.189153	0.242267	0.0942015	0.0339043	0.0123795	0.0603622	0.00688923	0.0179307
b	0.00170384	0.00474773	0.00632765	0.0422937	0.347544	0.252258	0.151504	0.106145	0.0520483	0.00277046	0.00857143	0.0240871
e	0.00698543	0.0210162	0.00475741	0.0797018	0.205256	0.245469	0.190359	0.176744	0.0539596	0.00299855	0.00202422	0.0107291
m	0.00202595	0.00265181	0.0039649	0.0342985	0.299529	0.2912	0.138348	0.109155	0.040493	0.00251511	0.0012276	0.0745905
b	0.0246256	0.0087622	0.00891942	0.0107552	0.132246	0.252361	0.358539	0.171638	0.0130458	0.0141305	0.00147097	0.00350599
e	0.00527085	0.00409846	0.0160534	0.0361393	0.263788	0.226836	0.234649	0.167648	0.0260664	0.00534077	0.000647252	0.0134615
w	0.0020583	0.000939421	0.00623961	0.0206201	0.0409501	0.196105	0.241518	0.273344	0.139881	0.0260031	0.00563666	0.0467052
ó	0.00932343	0.00208607	0.0216926	0.041723	0.0691347	0.180967	0.300693	0.201276	0.0439617	0.0636389	0.0455648	0.0199393
a	0.00553438	0.000373935	0.00433545	0.0128384	0.0210391	0.118903	0.224588	0.227178	0.190475	0.0710435	0.074353	0.0493383
d	0.00275703	0.000825223	0.00511066	0.0184789	0.0126756	0.0344595	0.0662595	0.191221	0.45331	0.0864773	0.0469705	0.0814551
i	0.00343902	0.00119166	0.00449407	0.00490449	0.0040863	0.0135235	0.0291322	0.0856047	0.475046	0.10818	0.0134743	0.256924
t	0.00283937	0.000173358	0.00252691	0.00290547	0.00319142	0.0347805	0.0903157	0.165565	0.362435	0.182108	0.00263576	0.150523
á	0.000855429	0.000454877	0.00175327	0.00249102	0.00388813	0.0139199	0.0455989	0.178514	0.189439	0.0674728	0.396966	0.0986463
á	0.000155575	7.18619e-05	0.000194845	0.000799692	0.000697973	0.00456442	0.0096176	0.0384143	0.0593514	0.116677	0.670547	0.0989085
y	0.00103832	0.000384809	0.00213747	0.00712714	0.00662192	0.0145546	0.0263538	0.0575708	0.118736	0.452906	0.103756	0.208814
a	0.00330521	0.000529265	0.0182452	0.00968077	0.00652512	0.0172325	0.041098	0.0588233	0.214207	0.429256	0.0491117	0.151986
y	0.000511646	6.09075e-05	0.0012265	0.00134854	0.000711658	0.00420731	0.0154475	0.025343	0.0577584	0.742026	0.0815773	0.0697808
í	0.000413238	8.55593e-05	0.00449478	0.00119708	0.00330389	0.00563552	0.0275557	0.0467304	0.225285	0.229679	0.22152	0.234099
a	0.000947503	9.56778e-05	0.0011605	0.00178185	0.000573846	0.00501127	0.0128892	0.0267585	0.0663067	0.51379	0.130061	0.240624
</S>	0.000839901	0.000123	0.00131471	0.00390908	0.001646	0.005923	0.0124717	0.0264194	0.159814	0.250209	0.0115746	0.525755
