 	le	voleur	est	en	train	de	se	défendre	</S>
m	0.837324	0.135398	0.00547203	0.0026801	0.0172971	0.00102465	0.000671355	7.46939e-05	5.83163e-05
ú	0.0630253	0.93397	0.00112224	0.000640344	8.08335e-05	0.000718187	0.000196333	3.0656e-05	0.000215798
b	0.10843	0.885316	0.00305845	0.000966683	7.96814e-05	0.00103768	0.000208841	0.000274702	0.000628063
h	0.417493	0.160455	0.312454	0.043966	0.00374209	0.0263504	0.00723869	0.00434784	0.0239531
u	0.692949	0.184406	0.0724653	0.0102578	0.000841998	0.0251604	0.00247986	0.00254249	0.00889718
b	0.274819	0.0130355	0.453515	0.164629	0.00952475	0.0483453	0.0237247	0.00204589	0.0103606
ó	0.135904	0.00250719	0.232524	0.42143	0.115067	0.0462545	0.0319127	0.00119667	0.0132041
m	0.0925338	0.00143173	0.178008	0.379417	0.157773	0.0936274	0.0633161	0.00698122	0.0269115
ó	0.319719	0.0240571	0.179906	0.0702823	0.0112138	0.269125	0.0859333	0.0244643	0.0152988
o	0.682911	0.00531278	0.0784364	0.0199072	0.0124638	0.142915	0.0316027	0.0207866	0.00566423
p	0.0568836	0.0103209	0.0433259	0.00572772	0.00130794	0.535438	0.193894	0.082337	0.0707648
a	0.0128603	0.00558518	0.10795	0.0133241	0.00437707	0.297092	0.255263	0.13379	0.169757
á	0.0130058	0.000672488	0.143452	0.0652725	0.0307086	0.202259	0.283875	0.0827377	0.178017
n	0.0149029	0.00259866	0.0145398	0.0420246	0.00821742	0.0884395	0.26262	0.474412	0.092245
d	0.0726639	0.00426338	0.00666751	0.0575723	0.00173027	0.172701	0.147258	0.400284	0.13686
z	0.00788782	0.00152253	0.00292907	0.0142646	0.000926049	0.0263149	0.0351399	0.836016	0.0749996
ó	0.00403915	0.00764305	0.00319331	0.0137545	0.000682832	0.051854	0.025932	0.556742	0.336159
r	0.00501767	0.000345257	0.0499724	0.166897	0.0278215	0.058424	0.0394516	0.0891928	0.562878
o	0.0169212	0.0046304	0.0136497	0.0184226	0.00244158	0.129076	0.05111	0.228364	0.535384
</S>	0.0207325	0.00152785	0.0085769	0.00827395	0.000328567	0.0438826	0.0380718	0.0933901	0.785216
