 	edzunza	est	un	poisson	qu'	on	trouve	dans	le	ruisseau	vouma	pendant	la	grande	saison	des	pluies	</S>
e	0.794207	0.095373	0.0115266	0.0140952	0.0145966	0.0123978	0.00470328	0.0166928	0.00942461	0.0119442	0.00131247	0.0032717	0.00381369	0.00297472	0.000810598	0.00247507	0.000361327	1.92007e-05
d	0.89215	0.0715408	0.00674141	0.00146564	0.00105248	0.00350141	0.00135679	0.00406098	0.00340087	0.00414247	0.00206438	0.00124697	0.00220948	0.0016562	0.00101701	0.00133015	0.000478755	0.000583885
z	0.988046	0.00604868	0.00105234	0.000305265	7.06374e-05	0.000145848	0.000924703	0.000378814	0.000538727	0.000637239	0.000452135	6.55071e-05	0.000177286	0.000175401	0.000142802	7.04924e-05	8.59659e-05	0.00068201
u	0.994362	0.00351997	0.000417552	0.000243294	1.73131e-05	4.08464e-05	0.0001482	9.60927e-05	0.000113338	0.000192566	0.000502319	2.8841e-05	4.95853e-05	3.34538e-05	5.69204e-05	4.24885e-05	2.71409e-05	0.000107684
n	0.93269	0.0357965	0.00621239	0.0034736	0.000640265	0.000626965	0.00709475	0.00289294	0.00263946	0.00219627	0.00111337	0.000304728	0.000695241	0.000325414	0.000497279	0.000226705	0.000559815	0.00201408
d	0.822719	0.0618156	0.0161641	0.00973453	0.0041907	0.00384569	0.0116912	0.0096281	0.0131485	0.0102408	0.00416719	0.0046884	0.00569066	0.00335982	0.00519284	0.00299185	0.00140229	0.00932865
z	0.682867	0.151345	0.0358875	0.0235862	0.00407954	0.0037745	0.00638644	0.0041788	0.00559203	0.00235775	0.00604289	0.00348323	0.00287903	0.00190551	0.00409241	0.00144477	0.00112041	0.0589771
a	0.420481	0.240749	0.0769336	0.0282588	0.0260898	0.0308212	0.0202643	0.0127428	0.012612	0.00476611	0.00912856	0.0106487	0.00759705	0.00596703	0.0105427	0.00526174	0.00265844	0.0744769
é	0.0242091	0.545687	0.219254	0.082247	0.0490063	0.0231857	0.00543661	0.00970049	0.00525467	0.00545551	0.00247657	0.00425508	0.00363439	0.0027943	0.00401584	0.00883504	0.000500891	0.00405166
d	0.00988334	0.113909	0.428083	0.100405	0.0994937	0.0844309	0.0791617	0.0304431	0.0112858	0.00483383	0.00463013	0.00330682	0.00346689	0.00184342	0.00574379	0.0045411	0.00212504	0.012413
i	0.00339304	0.0450352	0.418504	0.188578	0.0468159	0.0582133	0.051268	0.0312917	0.014372	0.00468059	0.0106069	0.00725653	0.00987631	0.00489942	0.0139831	0.0068667	0.00141467	0.0829448
s	0.00228284	0.0521896	0.275929	0.164075	0.0951764	0.0856196	0.117154	0.075151	0.0377901	0.0267178	0.0080488	0.00694387	0.0115783	0.00745446	0.00740122	0.00726949	0.00258357	0.0166351
w	0.00175269	0.006461	0.197705	0.414771	0.0920347	0.0743151	0.10414	0.0294992	0.0128476	0.00823455	0.0213886	0.00587889	0.00536079	0.00214324	0.0056168	0.00198324	0.000938695	0.0149297
é	0.0023034	0.00151347	0.106228	0.554176	0.0560868	0.0398996	0.0743783	0.0317643	0.0168942	0.0185968	0.0524567	0.00857713	0.00949967	0.00473171	0.00740246	0.00402473	0.000965821	0.0105006
y	0.000734848	0.0125617	0.0639751	0.0851594	0.13477	0.185565	0.220581	0.0906826	0.0451051	0.0605383	0.0253439	0.0117821	0.0122773	0.00824873	0.00713125	0.00838514	0.00341046	0.0237472
a	0.00300785	0.0081102	0.0700629	0.105874	0.12605	0.124314	0.236411	0.023831	0.0348848	0.0424352	0.150699	0.0154843	0.015211	0.00895544	0.0103611	0.00526551	0.00453761	0.0145054
w	0.0017854	0.00167335	0.0131113	0.0795174	0.0727769	0.111795	0.192221	0.0549403	0.0658745	0.136741	0.181547	0.0195933	0.0184454	0.0170005	0.00911851	0.00734668	0.00506831	0.0114447
ó	0.000737482	0.00504155	0.0262949	0.0807053	0.218507	0.156532	0.0963125	0.0536871	0.060023	0.0569166	0.0954513	0.0546657	0.0284736	0.0193035	0.0223115	0.00898309	0.00872818	0.00732498
m	0.00011424	0.000761927	0.00381636	0.00591152	0.017565	0.031626	0.119424	0.0570923	0.129765	0.249806	0.194808	0.0333062	0.0432095	0.0297891	0.0286613	0.0131025	0.0189719	0.0222689
á	0.0044234	0.00198842	0.00304486	0.00568938	0.0110981	0.0292602	0.0987418	0.0547457	0.068906	0.108545	0.382538	0.0546864	0.0416388	0.0244006	0.040485	0.0187103	0.00490467	0.0461932
m	0.000314331	0.000703695	0.00179954	0.00353544	0.00917001	0.0329637	0.0524821	0.104121	0.13023	0.155281	0.193599	0.0865571	0.0894765	0.0702431	0.0307229	0.0198589	0.0121428	0.00679882
o	0.0015237	0.00237244	0.00265093	0.00189315	0.00214169	0.0139385	0.0322896	0.0425066	0.0737619	0.105408	0.463847	0.0477667	0.057344	0.0392601	0.0409909	0.0106752	0.0138532	0.0477764
n	0.00170689	0.000684473	0.00148956	0.00139604	0.00152875	0.00666465	0.0270047	0.0495159	0.122882	0.199569	0.199863	0.0408899	0.10881	0.0985889	0.0627154	0.0257141	0.0399723	0.0110045
d	0.00169749	0.0015344	0.0028638	0.00441507	0.00187953	0.00515754	0.0149572	0.022607	0.103182	0.179841	0.134076	0.0822961	0.136928	0.16805	0.0734876	0.0193535	0.0186803	0.0289941
i	0.00381373	0.000382506	0.00111659	0.00120476	0.000630112	0.00292353	0.0198736	0.0152996	0.0732135	0.0938833	0.219152	0.0627948	0.142212	0.131422	0.111056	0.0269441	0.017993	0.0760848
e	0.000160938	0.000232601	0.00135931	0.00420277	0.00430484	0.00877629	0.0192378	0.019475	0.0544447	0.0560011	0.142553	0.121788	0.145693	0.114705	0.130697	0.0539127	0.0297561	0.0927004
m	9.33139e-05	0.00137957	0.00162848	0.00124609	0.00525732	0.0140801	0.00853729	0.0395931	0.0573211	0.0430416	0.0334221	0.111577	0.120841	0.140698	0.149204	0.192866	0.031768	0.0474465
á	0.00056378	0.00405027	0.00611158	0.00420585	0.00677432	0.0220207	0.0255149	0.0506841	0.0534483	0.047482	0.160426	0.100524	0.0851833	0.0660239	0.0944642	0.0851681	0.0525877	0.134767
t	0.000172561	0.000453604	0.00136604	0.00158934	0.00306529	0.00767635	0.00442331	0.0216544	0.0247046	0.0229385	0.0532363	0.0852313	0.0894191	0.129767	0.089847	0.129642	0.303928	0.0308856
s	0.000187577	0.000946167	0.001476	0.0020416	0.00459743	0.0077025	0.0290413	0.0259069	0.0387423	0.0229712	0.0459035	0.0553141	0.0856726	0.0792057	0.118889	0.0661816	0.379962	0.0352586
o	1.71449e-05	6.24779e-05	0.000432357	0.0014284	0.00108965	0.00141561	0.00384204	0.0143722	0.0192639	0.0394013	0.0100257	0.0313197	0.061951	0.0684579	0.0787657	0.0539091	0.574351	0.039895
n	6.17776e-05	4.63103e-05	0.000225942	0.00092339	0.000714096	0.00164129	0.0199025	0.018839	0.0258121	0.0323514	0.0295888	0.0709625	0.0933744	0.0760101	0.135673	0.0829824	0.254947	0.155945
g	0.0005539	0.000204704	0.000845139	0.0016255	0.00109464	0.00170393	0.00545842	0.0110466	0.0254146	0.0127523	0.0529571	0.093387	0.0944626	0.101954	0.146396	0.107721	0.15171	0.190712
a	0.000258336	0.000476254	0.000590349	0.00161987	0.00165058	0.00181254	0.00337313	0.00575496	0.0506144	0.0594029	0.0432615	0.075879	0.110766	0.210364	0.121505	0.0526204	0.144784	0.115267
</S>	8.21095e-05	0.00128054	0.00138124	0.00144042	0.00222923	0.00488313	0.00165258	0.0114061	0.0135233	0.0105019	0.0142423	0.067491	0.051547	0.0622733	0.0831161	0.312914	0.057372	0.302664
