 	cueille	de	l'	oseille	dans	ce	champ	s'	il	te	plait	</S>
m	0.754088	0.0696925	0.0204201	0.00602402	0.00397537	0.00936224	0.0342723	0.0239384	0.0117997	0.0577625	0.00529113	0.00337384
ó	0.25823	0.422552	0.0592971	0.00102595	0.0072686	0.0167921	0.0107224	0.0121181	0.0494571	0.0928544	0.00927728	0.0604046
b	0.877519	0.0475838	0.0237022	0.00511454	0.00160199	0.00837959	0.00192064	0.00516517	0.00685219	0.00733263	0.00976425	0.00506386
h	0.396589	0.356867	0.0785241	0.0199839	0.0087866	0.00748039	0.000962703	0.0192375	0.0318538	0.00678732	0.0566013	0.0163263
ε	0.303595	0.342626	0.0876212	0.0371195	0.0275109	0.0138573	0.00487629	0.0101415	0.0182843	0.0147435	0.00821151	0.131414
s	0.319933	0.282551	0.313532	0.00666643	0.00854745	0.00868487	0.00552615	0.00844863	0.00589433	0.0109434	0.00535163	0.0239203
έ	0.0827936	0.531773	0.225413	0.00293763	0.0251646	0.039968	0.00944069	0.0134018	0.0145419	0.014269	0.00320976	0.0370873
a	0.00498983	0.2548	0.580621	0.0272609	0.0301723	0.00821271	0.00514815	0.0103864	0.00981963	0.00765361	0.00607761	0.054858
b	0.00928323	0.0345272	0.497042	0.247193	0.0900301	0.0164841	0.00324676	0.00780929	0.00784119	0.00605451	0.00270544	0.0777824
v	0.00140607	0.0238807	0.212342	0.372164	0.237854	0.0708786	0.00126478	0.0128523	0.0201596	0.00942005	0.00757315	0.0302055
i	0.000734989	0.0242417	0.174198	0.269277	0.334734	0.107831	0.0010145	0.0140988	0.0342584	0.0061861	0.00719451	0.0262315
á	0.00032893	0.0154032	0.146154	0.231102	0.254514	0.0793076	0.00384947	0.014346	0.0182329	0.00620447	0.00769908	0.222859
s	0.006312	0.0186274	0.079477	0.0303507	0.529685	0.169559	0.0837987	0.0201179	0.0138651	0.010633	0.00689005	0.0306844
á	0.00580343	0.014427	0.0595986	0.00413746	0.261516	0.199786	0.0548285	0.0653767	0.058811	0.028751	0.0244543	0.222511
k	0.000635068	0.00114638	0.00409601	0.00274796	0.0733904	0.170529	0.53732	0.105365	0.0372984	0.029717	0.0260052	0.0117495
ú	0.000877208	0.000327621	0.00436438	0.503704	0.082065	0.193047	0.0795421	0.044628	0.0211469	0.00914169	0.0381765	0.02298
b	0.0045661	0.00368855	0.0225519	0.22556	0.124561	0.160946	0.0275284	0.10573	0.0598388	0.0256393	0.116217	0.123173
h	0.00185955	0.000726085	0.0101655	0.0864153	0.066978	0.27994	0.088449	0.148645	0.089345	0.0760455	0.041223	0.110207
á	0.00470621	0.00461341	0.00972648	0.0131323	0.154058	0.279423	0.0288525	0.127596	0.113834	0.0679849	0.0521372	0.143937
y	0.000878197	0.00148723	0.0033467	0.00154304	0.0726137	0.13914	0.03239	0.20654	0.141727	0.127334	0.118868	0.154131
é	0.00774579	0.00939161	0.0270645	0.00023346	0.040365	0.201897	0.110941	0.164865	0.137176	0.0825648	0.140219	0.0775374
</S>	0.00165191	0.00104002	0.00355848	0.00044346	0.0184348	0.115531	0.112062	0.186572	0.123252	0.198412	0.17865	0.060392
