 	c'	est	une	très	belle	femme	</S>
é	0.456001	0.446468	0.0656113	0.0196224	0.01127	0.000362932	0.000664147
d	0.375334	0.410273	0.158509	0.044311	0.00371644	0.00670157	0.00115468
í	0.12177	0.413117	0.318609	0.0901595	0.0109746	0.0148829	0.0304868
ε	0.0681096	0.362114	0.282938	0.0957545	0.025629	0.0134276	0.152027
s	0.00289459	0.0575844	0.59958	0.27963	0.0154823	0.0189925	0.025836
w	0.000827081	0.0170743	0.216376	0.467434	0.00431122	0.191538	0.10244
ε	0.00525661	0.00789378	0.210368	0.378276	0.0529338	0.0973667	0.247905
n	0.00257163	0.00650107	0.0720811	0.278455	0.0360311	0.00530338	0.599057
g	0.0114431	0.036944	0.261279	0.360887	0.201387	0.0021803	0.125879
ε	0.0187062	0.0148122	0.0947226	0.327161	0.346539	0.00794063	0.190119
l	0.0126553	0.025618	0.253528	0.333633	0.265347	0.0150918	0.0941274
ε	0.0075168	0.0109798	0.213921	0.394162	0.209905	0.0440592	0.119457
y	0.00635539	0.00348816	0.071818	0.292174	0.36274	0.209871	0.0535546
á	0.0135882	0.00942283	0.0670907	0.294744	0.413388	0.077799	0.123968
o	0.00600383	0.00321332	0.0276008	0.0873695	0.706462	0.144598	0.0247527
y	0.00557471	0.0259469	0.105042	0.283213	0.114431	0.173896	0.291897
ú	0.00413161	0.00818576	0.0700522	0.127334	0.414194	0.29931	0.0767929
r	0.00159012	0.000799051	0.0509184	0.149276	0.4833	0.0168893	0.297227
u	0.00275179	0.00293525	0.0810372	0.283475	0.460805	0.00817807	0.160818
</S>	0.00259031	0.00250957	0.0608014	0.0699304	0.237782	0.0245004	0.601885
