 	okonza	a	dévoilé	la	personne	qui	a	volé	mes	bananes	plantains	</S>
o	0.969839	0.0121035	0.000330708	0.00344238	0.00669314	0.0033001	0.0017275	0.00164143	0.000519138	0.000122228	0.000263183	1.74995e-05
k	0.97075	0.0117095	0.000775075	0.000487045	0.0019047	0.00131089	0.00204293	0.00771743	0.00211201	0.000446984	0.000141617	0.000601781
o	0.988742	0.000742107	0.000467098	0.00145862	0.0007939	0.000654157	0.001083	0.0037181	0.000721253	0.000210302	0.000722189	0.000686736
n	0.960128	0.00145972	0.00138369	0.00248748	0.00276074	0.00265559	0.00433356	0.00966514	0.00446684	0.00141151	0.00115409	0.00809405
d	0.917409	0.0162725	0.00247931	0.00503539	0.00809579	0.00723911	0.012418	0.0145231	0.00809383	0.00190425	0.001016	0.00551394
z	0.853472	0.0581713	0.00407342	0.00458238	0.00591336	0.0100037	0.00875911	0.0145333	0.0029674	0.00155808	0.000524072	0.0354424
á	0.893945	0.0172378	0.00119012	0.00476896	0.00515307	0.00487956	0.00267201	0.00262373	0.00424426	0.00352768	0.00179153	0.0579665
á	0.0687422	0.860107	0.0224474	0.00673201	0.00699032	0.0119141	0.0098714	0.00171559	0.00142487	0.00269032	0.000774984	0.0065903
s	0.0259485	0.354793	0.391733	0.013951	0.00340964	0.00712049	0.0217734	0.0841579	0.00242799	0.00985083	0.00882526	0.0760089
a	0.00249576	0.0745583	0.75581	0.0262515	0.00473485	0.00973244	0.0205293	0.0572212	0.00900503	0.00355359	0.000834319	0.0352741
a	0.00582248	0.0926396	0.676204	0.0526536	0.0092997	0.0146547	0.0227356	0.0194623	0.0149437	0.00832005	0.00165682	0.0816074
l	0.00113032	0.108877	0.526224	0.163493	0.0358919	0.037274	0.043	0.0263859	0.020185	0.00736123	0.00246694	0.0277101
i	0.00163557	0.0334924	0.513025	0.0952206	0.0178508	0.0301398	0.0714412	0.0504462	0.0260746	0.0181558	0.00619293	0.136325
m	0.000674995	0.0329395	0.419753	0.270745	0.0714134	0.0587724	0.04037	0.0206092	0.0331993	0.0105584	0.00157241	0.0393929
o	0.00049876	0.0531934	0.213187	0.325096	0.190894	0.164984	0.027775	0.000979796	0.00614667	0.00361556	0.000223279	0.0134053
r	0.00608022	0.0197116	0.286575	0.267367	0.134188	0.126422	0.0340064	0.00541214	0.00912234	0.0256259	0.0204293	0.0650601
o	0.0027846	0.0199329	0.22078	0.355586	0.137152	0.153428	0.0289813	0.00317822	0.0510766	0.00427519	0.000531251	0.0222938
y	0.0002984	0.00593054	0.0705763	0.220469	0.224697	0.249489	0.127192	0.0131502	0.036424	0.0083742	0.00151144	0.0418879
e	0.00383939	0.00979922	0.07659	0.324243	0.204771	0.214806	0.0634368	0.0271502	0.0268436	0.00599397	0.00122692	0.0412998
e	0.00042666	0.0058172	0.0382023	0.207644	0.22213	0.259417	0.154488	0.0575164	0.0300977	0.00689185	0.00170718	0.0156624
y	0.00349076	0.00611377	0.0549379	0.0550129	0.0370505	0.0881053	0.14841	0.380223	0.0171285	0.0568761	0.0837246	0.0689267
í	5.16917e-05	0.000612482	0.0208138	0.0205313	0.00803683	0.0241181	0.0620143	0.84416	0.00436001	0.00282741	0.00143825	0.0110354
b	4.2884e-05	0.000315002	0.0126763	0.0207917	0.0122663	0.023464	0.0668473	0.772022	0.00925714	0.00332774	0.00220538	0.0767845
h	0.0001097	0.000337231	0.00702955	0.0333334	0.0157806	0.0242662	0.101675	0.67893	0.0359567	0.0483227	0.0205944	0.0336639
í	0.00211731	0.00131868	0.0209623	0.0959808	0.0181986	0.0285553	0.0434722	0.175461	0.0139812	0.0270383	0.0257223	0.547192
a	9.09213e-05	0.00148578	0.00222935	0.0236427	0.0578503	0.0988945	0.241496	0.0961282	0.278654	0.0880805	0.0373239	0.0741241
k	0.00030067	0.0026742	0.0145861	0.0155689	0.0182639	0.0302333	0.127482	0.181426	0.167675	0.252428	0.121336	0.0680262
ω	0.000921081	8.75824e-05	0.000677521	0.00360168	0.00349406	0.00362104	0.0116112	0.0351466	0.00728279	0.131195	0.698449	0.103912
m	0.000153317	7.05067e-05	0.000412712	0.00435075	0.0198928	0.023121	0.0301793	0.00719425	0.0351573	0.115257	0.658299	0.105913
á	0.000285694	0.000722521	0.00322923	0.0213636	0.0457285	0.0742914	0.0639922	0.00693805	0.0719759	0.106079	0.139031	0.466364
n	0.000192338	0.00143934	0.00366033	0.0203632	0.0604144	0.0464581	0.13048	0.0241779	0.281308	0.116646	0.0889715	0.225888
g	1.22619e-05	0.000656217	0.00453249	0.01609	0.0193627	0.0197316	0.0327828	0.00498776	0.842553	0.0304465	0.00335851	0.025486
á	5.20151e-05	0.00026377	0.000928398	0.00916476	0.0263968	0.0160495	0.0206331	0.00757322	0.85826	0.0284338	0.00560068	0.0266436
</S>	8.09713e-05	0.000287293	0.000818455	0.00615151	0.027892	0.0354933	0.071291	0.00624622	0.320496	0.196764	0.122631	0.211848
