 	elle	a	un	furoncle	au	vagin	</S>
w	0.920733	0.0453741	0.0217539	0.00681528	0.00476196	0.000457468	0.000104251
a	0.931012	0.0242209	0.0144535	0.00177963	0.0280086	0.000245098	0.000280224
a	0.248348	0.57567	0.160808	0.00260854	0.00644239	0.000881203	0.00524177
d	0.0791656	0.499071	0.301623	0.0433743	0.0157292	0.00524692	0.0557902
í	0.0395375	0.724085	0.167611	0.0242018	0.00216541	0.000822759	0.0415758
l	0.0134477	0.113261	0.253549	0.0925848	0.0609296	0.0510316	0.415196
i	0.121929	0.234782	0.347242	0.0899876	0.0335214	0.0175808	0.154958
p	0.0107379	0.053044	0.232383	0.627064	0.0157364	0.0319286	0.0291055
i	0.000969276	0.0194602	0.164022	0.77694	0.00297052	0.0240785	0.0115593
a	0.00188038	0.0329624	0.282308	0.648383	0.0126098	0.00843001	0.0134257
m	0.00306965	0.0188371	0.0981695	0.1128	0.689267	0.0422458	0.0356116
ó	0.00312474	0.00693726	0.0499314	0.220898	0.237375	0.0483922	0.433341
l	0.00249423	0.00374371	0.0212588	0.0633746	0.108486	0.772309	0.0283339
e	0.00225098	0.00786999	0.0190152	0.0309397	0.0683008	0.723173	0.14845
t	0.00036836	0.00218371	0.0130031	0.0168166	0.0607031	0.666834	0.240091
s	0.0122296	0.0110799	0.0368925	0.114846	0.0985908	0.502923	0.223438
a	0.000218765	0.00115641	0.0162612	0.0859381	0.0385241	0.751273	0.106628
n	4.89891e-05	0.000179717	0.00216639	0.00811964	0.0176181	0.4014	0.570467
g	0.00103847	0.00810788	0.024641	0.0287062	0.0558626	0.455932	0.425712
í	0.00107343	0.00337358	0.0132214	0.0118688	0.0256662	0.319365	0.625432
</S>	0.00495382	0.00425454	0.014167	0.0104485	0.0849792	0.0851655	0.796032
