 	votre	manière	de	tendre	le	filet	est	mauvaise	</S>
e	0.150453	0.352126	0.208853	0.117952	0.0850285	0.0715876	0.00874218	0.000582406	0.00467619
l	0.0085281	0.0400767	0.056264	0.255973	0.143812	0.33917	0.0406046	0.099283	0.0162896
a	0.0149585	0.0744498	0.0556229	0.192339	0.208945	0.279403	0.0158567	0.0225778	0.135848
m	0.0426041	0.117725	0.222748	0.2246	0.153527	0.0784033	0.0560078	0.0387872	0.0655982
b	0.055026	0.0881207	0.0958665	0.217115	0.154782	0.066012	0.0417344	0.0986404	0.182703
í	0.114129	0.0451886	0.0524163	0.137306	0.106056	0.073328	0.0138071	0.175031	0.282738
l	0.0839341	0.168605	0.250118	0.228776	0.147161	0.0146541	0.0390462	0.00717883	0.0605277
í	0.134072	0.0933138	0.0887233	0.132119	0.052983	0.0153925	0.0183505	0.011804	0.453243
y	0.158031	0.0700572	0.225448	0.291361	0.145774	0.0177416	0.0307968	0.00666972	0.0541202
á	0.0348769	0.386102	0.195944	0.155853	0.0539666	0.00456281	0.0276183	0.019214	0.121862
b	0.112457	0.0490742	0.213915	0.339052	0.159308	0.0165353	0.0238949	0.0201446	0.0656188
í	0.102163	0.00373475	0.153254	0.499767	0.162008	0.0414759	0.004535	0.0292781	0.00378359
n	0.272947	0.00613803	0.175204	0.337934	0.12007	0.0418496	0.00419101	0.0178897	0.023777
í	0.178014	0.0162457	0.117021	0.286966	0.105387	0.0130687	0.0104498	0.0141452	0.258702
y	0.0171654	0.0292592	0.203854	0.249066	0.373514	0.0338112	0.0639181	0.00959225	0.0198204
á	0.0616724	0.260499	0.114492	0.139167	0.226757	0.0442819	0.082771	0.0138356	0.0565235
o	0.0738654	0.0329012	0.0911894	0.125676	0.29552	0.128882	0.201272	0.0345173	0.0161772
k	0.00182289	0.00514922	0.013427	0.0340051	0.116329	0.703156	0.0621133	0.0540535	0.00994426
i	0.000165841	0.000297522	0.0020415	0.00603596	0.0261172	0.920736	0.0191015	0.00845176	0.0170526
a	7.14256e-05	0.000303061	0.00180913	0.00983023	0.058765	0.832598	0.0500267	0.0129703	0.033626
é	0.00100257	0.00546341	0.0155868	0.0186531	0.0757377	0.138173	0.593909	0.0651022	0.0863724
d	0.00370425	0.00879511	0.0157514	0.0148809	0.0443538	0.0847924	0.585812	0.173355	0.0685558
i	0.000753881	0.00338512	0.00137095	0.000665995	0.00439405	0.030354	0.20964	0.183745	0.565691
e	0.00148074	0.00485973	0.00275392	0.00290638	0.0255247	0.111512	0.40142	0.266044	0.183499
b	0.00354894	0.00226756	0.00434068	0.00543429	0.00865263	0.0267344	0.0737799	0.507733	0.367509
é	0.00430957	0.00296038	0.0165775	0.0159638	0.0274828	0.150457	0.0831116	0.587981	0.111156
</S>	0.00153331	0.000383065	0.00229976	0.00387348	0.00749403	0.0640969	0.0353765	0.370892	0.514051
