 	les	femmes	se	dandinent	</S>
a	0.862229	0.131442	0.0062488	1.68879e-05	6.30138e-05
y	0.0775579	0.903812	0.0138612	0.00360616	0.00116324
ú	0.212763	0.711995	0.0205715	0.0268686	0.0278019
r	0.272407	0.626681	0.0108797	0.0422618	0.04777
u	0.557702	0.41925	0.0114119	0.00369787	0.00793815
b	0.204321	0.0238059	0.711128	0.0204884	0.0402562
á	0.299515	0.0324792	0.628496	0.000586985	0.0389227
a	0.0776657	0.0275822	0.842632	0.0348801	0.0172403
d	0.00442986	0.00996923	0.321513	0.633966	0.0301214
e	0.000613231	0.0041555	0.014419	0.951178	0.0296346
n	0.0062913	0.00389727	0.0471779	0.892011	0.0506225
d	0.00875473	0.0106216	0.119354	0.52835	0.33292
í	0.00574491	0.00752037	0.0722572	0.463754	0.450724
s	0.0238833	0.004587	0.122659	0.315899	0.532972
á	0.0128529	0.00224949	0.0333239	0.309927	0.641647
n	0.0332149	0.00698795	0.0497282	0.66321	0.246859
d	0.0214915	0.0130147	0.00851312	0.497122	0.459859
z	0.00539947	0.00369912	0.0037655	0.599385	0.387751
ó	0.00112606	0.0128188	0.00541727	0.418025	0.562613
r	0.000867898	0.00371512	0.00646397	0.368323	0.62063
o	0.00135865	0.00219517	0.0112204	0.126024	0.859201
</S>	0.00289754	0.00330412	0.0308644	0.190083	0.772851
