 	le	criquet	s'	était	accroché	à	son	vêtement	</S>
o	0.70682	0.228603	0.0544171	0.000695509	0.00602291	0.00231807	0.00054926	0.000523096	5.14422e-05
n	0.0265994	0.944326	0.0173322	0.00502298	0.00144137	0.000560332	0.000790137	0.0026694	0.00125818
y	0.00497603	0.947689	0.0177076	0.00310858	0.012145	0.00520192	0.00155508	0.00534934	0.00226779
ε	0.0143211	0.978696	0.00378393	0.00124712	0.000736907	0.000458454	5.2627e-05	0.000484515	0.000219729
n	0.00828776	0.971272	0.00977353	0.00184664	0.00342694	0.00140618	0.000294651	0.00180245	0.00188973
y	0.0416684	0.91142	0.00432634	0.0020312	0.00493954	0.00231119	0.00102743	0.0224979	0.00977812
έ	0.0856453	0.435945	0.0461528	0.018721	0.0595011	0.0530892	0.0162327	0.0368015	0.247911
á	0.173207	0.0237849	0.681163	0.0687764	0.0177431	0.0128395	0.0101983	0.000278465	0.0120084
n	0.0301422	0.00820577	0.166456	0.502161	0.157323	0.0412241	0.0331268	0.0152604	0.0461007
a	0.114931	0.0330964	0.401517	0.329	0.0440984	0.0342126	0.0152707	0.00268237	0.0251906
b	0.0185878	0.0582511	0.105766	0.287072	0.373379	0.0888984	0.0257541	0.0130423	0.0292496
h	0.0622666	0.0117633	0.0448386	0.159869	0.529751	0.104666	0.0465707	0.00951107	0.0307643
í	0.0190613	0.010211	0.0341454	0.0488951	0.577062	0.0698965	0.0126293	0.0170244	0.211075
r	0.0240794	0.00142399	0.0994792	0.0282771	0.327965	0.362192	0.117602	0.010017	0.0289645
á	0.0536219	0.0330559	0.0745455	0.0508341	0.32301	0.29029	0.0676023	0.00314208	0.103898
w	0.00427159	0.00131137	0.0132467	0.0287153	0.213404	0.485243	0.207735	0.0291629	0.0169097
a	0.0357198	0.00702546	0.0329834	0.0107583	0.265167	0.339036	0.216616	0.00814662	0.0845477
m	0.0014997	0.000184269	0.00571998	0.00485346	0.0853238	0.465244	0.3656	0.0231842	0.0483904
ó	0.00238275	0.0019549	0.00357076	0.00526539	0.0132514	0.420779	0.222492	0.00457756	0.325726
k	0.00314551	0.00568611	0.00704632	0.00334059	0.0325377	0.252009	0.339711	0.270944	0.0855807
á	0.000626655	0.00251828	0.000858563	0.000221307	0.0709289	0.0731511	0.0216394	0.803981	0.0260746
n	0.000311761	7.98763e-05	0.000371823	0.00108155	0.0177567	0.0506815	0.0859598	0.774265	0.069492
d	0.000978304	0.00580662	0.000854227	0.000946432	0.0461038	0.115419	0.117066	0.628224	0.0846014
á	0.00217073	0.00264436	0.00280155	0.00148344	0.0408309	0.0845247	0.0402913	0.776601	0.0486515
</S>	0.0112594	0.000950508	0.0107824	0.00231312	0.00835813	0.119925	0.214275	0.170297	0.461839
