 	cet	enfant	est	en	train	de	provoquer	le	fou	</S>
m	0.824866	0.151783	0.00378546	0.00535071	0.00497907	0.00202763	0.00539355	0.00137765	0.000265708	0.000171424
w	0.0217978	0.975589	0.000743334	0.00129738	0.000163715	0.00010951	0.000126543	5.14457e-05	1.71292e-05	0.000104387
á	0.0133356	0.984391	0.000188159	0.000930163	0.000428823	5.00856e-05	0.000648031	5.24708e-06	6.24172e-06	1.69706e-05
n	0.253043	0.733283	0.00247867	0.00647631	0.00187155	0.000778643	0.000112497	0.000332361	3.60645e-05	0.00158792
a	0.247505	0.370655	0.113534	0.083862	0.00990725	0.02598	0.0119312	0.00523286	0.0012176	0.130175
w	0.759388	0.104512	0.0598177	0.0337512	0.00535628	0.0114164	0.000982107	0.0192189	0.000505156	0.00505183
ó	0.11554	0.00705712	0.218462	0.130709	0.234829	0.0941225	0.0177496	0.0850072	0.0258464	0.0706765
b	0.0611061	0.03092	0.406883	0.245373	0.0870768	0.0714661	0.00580294	0.0258068	0.00243984	0.0631261
ó	0.0619782	0.00798421	0.116295	0.374556	0.33507	0.0744397	0.0133076	0.00723635	0.00357626	0.00555661
l	0.0269025	0.0085722	0.18243	0.167327	0.35459	0.189783	0.0120518	0.0310109	0.0066762	0.0206563
á	0.0253134	0.00354124	0.190142	0.128691	0.0128884	0.228017	0.0214519	0.0980197	0.0090308	0.282904
a	0.0468823	0.015273	0.24334	0.151311	0.0581871	0.321869	0.0738236	0.0353765	0.00867957	0.0452573
t	0.0123938	0.0100648	0.112182	0.00659786	0.0036491	0.196968	0.614791	0.0165541	0.018685	0.00811443
ú	0.00248768	0.000749751	0.123532	0.00882312	0.00571113	0.119559	0.639142	0.0166063	0.0412802	0.0421078
m	0.021101	0.00187851	0.0394002	0.00690149	0.00522391	0.112533	0.675474	0.0423889	0.022253	0.0728467
ú	0.0127944	0.00129753	0.0581459	0.0186247	0.00874554	0.255239	0.388745	0.175991	0.00950032	0.0709166
n	0.00316403	0.000239109	0.0185533	0.027878	0.00115197	0.0871603	0.207555	0.485108	0.0912255	0.0779649
á	0.00771828	0.000234816	0.00260785	0.00974007	0.000200458	0.0651956	0.617724	0.249434	0.00251668	0.0446288
e	0.00263376	0.000289398	0.00521441	0.00486481	0.00187529	0.0434547	0.117431	0.725837	0.0687414	0.0296583
b	0.000379264	0.000215851	0.000747329	0.000117494	0.000247335	0.00311979	0.0255498	0.0717807	0.876194	0.0216486
h	0.00016437	2.73592e-05	0.000315892	0.000196678	0.000447031	0.000780038	0.000824274	0.00541037	0.990511	0.0013232
ó	4.97674e-05	8.08273e-06	0.000626717	0.00103436	0.00219833	0.00338419	0.0052928	0.00522412	0.971677	0.0105045
a	0.00113651	5.85172e-05	0.00602957	0.00503364	0.000877975	0.0209996	0.0469331	0.158113	0.45443	0.306388
</S>	0.00250482	7.03088e-05	0.00939453	0.0067366	0.000492333	0.0215939	0.00813375	0.291218	0.121394	0.538462
