 	c'	est	mon	frère	aîné	</S>
é	0.570014	0.330068	0.0680619	0.0225669	0.00622402	0.00306519
d	0.24813	0.541827	0.0492281	0.108622	0.0463959	0.00579742
i	0.100527	0.396569	0.116314	0.288837	0.0193561	0.0783971
ω	0.0441331	0.200451	0.263651	0.140136	0.0579573	0.293672
n	0.0237	0.113218	0.465353	0.293628	0.0669504	0.03715
y	0.0303457	0.0788363	0.440988	0.0759835	0.245194	0.128653
ε	0.0137715	0.0469879	0.542495	0.0370963	0.326367	0.0332823
b	0.0131193	0.056767	0.224526	0.0319102	0.534293	0.139385
h	0.16415	0.153251	0.145255	0.215607	0.062592	0.259145
í	0.0709218	0.0742393	0.101652	0.0693796	0.320906	0.362901
y	0.0335818	0.0228713	0.140782	0.347499	0.379531	0.0757347
a	0.0321047	0.0271458	0.419554	0.327619	0.071296	0.122281
n	0.0224071	0.00894281	0.204914	0.325178	0.404129	0.0344289
g	0.00300264	0.00345835	0.353126	0.110942	0.457526	0.0719457
á	0.00276831	0.00248356	0.226502	0.0662836	0.432158	0.269804
y	0.0143924	0.0123189	0.135824	0.293337	0.214493	0.329635
a	0.0508349	0.0632709	0.294218	0.295473	0.0835022	0.212702
b	0.0072903	0.0126006	0.112485	0.334451	0.17357	0.359603
o	0.0161196	0.0529477	0.117491	0.204395	0.447206	0.161841
s	0.00161511	0.0245641	0.143555	0.268122	0.242611	0.319532
ó	0.00277093	0.00845861	0.0113067	0.103395	0.372969	0.5011
</S>	0.0088257	0.0108644	0.0773295	0.152735	0.0583303	0.691915
