 	les	femmes	sont	en	train	de	couper	les	arbres	de	la	savane	comme	bois	de	chauffe	</S>
a	0.626355	0.320952	0.0187884	0.00783566	0.00395426	0.00452478	0.0010667	0.0020653	0.00282267	0.00224435	0.00243205	0.00243133	0.00193362	0.000957908	0.0011773	0.000449409	9.27467e-06
y	0.0493041	0.913915	0.0200861	0.00193007	0.00389661	0.000425069	0.00405736	0.000169478	6.49325e-05	0.000266852	0.000434267	0.00131722	0.000151776	0.000510419	0.000274745	0.00303737	0.000159029
ú	0.187448	0.789508	0.0108795	0.00245729	5.80835e-05	0.00157314	0.000432742	0.000690584	8.39219e-05	0.00102083	0.00123516	0.00136263	0.000274442	0.00105724	0.000908142	0.000386182	0.000624698
r	0.446948	0.533588	0.0065834	0.000522931	2.80247e-05	0.000529182	0.000206087	0.000654064	3.07813e-05	0.000876574	0.00304482	0.00275925	0.00054331	0.000571459	0.00144678	0.00056836	0.00109975
u	0.66228	0.285741	0.0213329	0.00390099	0.000185825	0.00272226	0.00394792	0.00200246	0.000319522	0.00275042	0.00458992	0.00335969	0.00179997	0.000855536	0.000682326	0.000800277	0.00272832
b	0.0791108	0.02412	0.277834	0.444143	0.0529676	0.0397515	0.00463304	0.012362	0.00343608	0.00799629	0.00451876	0.00256412	0.0094932	0.0036257	0.0100376	0.00111135	0.0222944
ó	0.0630444	0.00758553	0.213084	0.280191	0.0908608	0.135805	0.00380021	0.047626	0.00828637	0.0255335	0.017252	0.0157539	0.0158304	0.0108508	0.0310916	0.0132736	0.0201302
b	0.011507	0.0016673	0.182353	0.437657	0.206292	0.101977	0.0159112	0.0188156	0.00201871	0.00324886	0.00274873	0.00438346	0.00233544	0.00174401	0.0035853	0.00142711	0.00232861
á	0.494947	0.0292658	0.209515	0.0548566	0.0144452	0.120202	0.0057263	0.0261351	0.00752204	0.00732427	0.00549823	0.0057134	0.00555192	0.00267219	0.00591285	0.00279596	0.00191631
a	0.060645	0.00872344	0.357927	0.291318	0.0251484	0.174535	0.00945595	0.0161417	0.0082117	0.00824161	0.00669252	0.00563931	0.00818598	0.00383134	0.00807176	0.00240601	0.00482548
k	0.00309902	0.000883778	0.0110518	0.00839045	0.00687988	0.0781884	0.756622	0.0109158	0.0102984	0.0107456	0.0124272	0.00759757	0.00484413	0.00837671	0.00372179	0.00199721	0.0639597
y	0.000568342	0.00046555	0.00337151	0.00191997	0.00119703	0.0164997	0.948678	0.00476913	0.0033484	0.0038469	0.00291768	0.00162423	0.00173792	0.00133983	0.000637366	0.000266593	0.00681145
é	0.0013716	0.000811701	0.000803372	0.000422102	0.000292245	0.00205229	0.974561	0.00178074	0.00238233	0.00234278	0.00220301	0.00516703	0.000937672	0.00171023	0.000234463	0.000223236	0.00270375
n	0.00363095	0.00123999	0.0302497	0.0334573	0.0024399	0.0711236	0.503994	0.0677735	0.0985995	0.0624747	0.0544284	0.0221659	0.0181028	0.0114602	0.00703603	0.000852587	0.010971
á	0.0344373	0.00184959	0.0344711	0.0306013	0.00392986	0.158426	0.387183	0.130107	0.0757682	0.0326282	0.0164548	0.0126915	0.0284773	0.0170881	0.00837168	0.00153002	0.0259855
i	0.0123034	0.00210872	0.0193129	0.00994827	0.0010242	0.0787118	0.0150046	0.488172	0.181148	0.0986269	0.0438345	0.0130701	0.0191479	0.00366892	0.00570479	0.000799052	0.00741388
l	0.00636134	0.00635713	0.00417531	0.00165457	0.00072475	0.0176915	0.141074	0.070939	0.322816	0.111777	0.101464	0.164143	0.0200208	0.012614	0.00280222	0.00782815	0.00755643
ω	0.00358965	0.000519237	0.00177207	0.00130314	0.000452404	0.0100697	0.0399974	0.027491	0.270304	0.10067	0.111094	0.3356	0.0482762	0.0266397	0.00399693	0.00824313	0.00998074
l	0.000326901	0.00011892	0.000954006	0.00129677	0.000301888	0.00919191	0.0126939	0.0497458	0.152052	0.106789	0.100563	0.438835	0.0654941	0.0286104	0.00455749	0.0142955	0.0141738
ώ	0.000549188	0.000168552	0.00230616	0.0019666	0.000286237	0.00838652	0.0145359	0.0409221	0.101597	0.192432	0.182429	0.280588	0.0525109	0.062919	0.010081	0.00383813	0.0444846
m	0.000270105	2.78058e-05	0.000528647	0.000654052	4.39223e-05	0.00576422	0.00105127	0.0403531	0.0311621	0.15693	0.228212	0.298675	0.129981	0.0640002	0.0191988	0.00421029	0.0189375
í	0.00730484	0.00631141	0.00097443	0.000224021	2.09497e-05	0.00389909	0.00482096	0.0177184	0.00426196	0.0592897	0.147326	0.114405	0.138193	0.0251307	0.0512781	0.0023065	0.416535
t	0.00228443	0.000438135	0.00207259	0.000978137	9.20996e-05	0.00800437	0.00177278	0.0105214	0.0128398	0.0379889	0.0884338	0.225741	0.263066	0.143707	0.0383555	0.114732	0.0489724
έ	0.000381395	0.000322172	0.00353796	0.00200133	0.000478496	0.0052196	0.0317434	0.0049559	0.00794025	0.0666699	0.0928755	0.220015	0.130253	0.224674	0.0561744	0.116741	0.0360168
b	8.42235e-05	8.94424e-06	0.000106809	0.000378454	0.000327054	0.000633374	0.00178523	0.00417755	0.00576198	0.0323897	0.0418311	0.343683	0.141621	0.258042	0.0335665	0.0767656	0.0588377
h	0.000117641	5.08291e-06	8.77783e-05	0.000191563	0.000227076	0.000376852	0.00425924	0.00138766	0.0232897	0.0195888	0.0240583	0.120926	0.199196	0.314953	0.0610541	0.0693851	0.160897
ε	0.000174205	1.15326e-05	0.000226296	0.00101129	0.000279345	0.000671492	0.00298501	0.00594109	0.0281394	0.0234794	0.0386525	0.114462	0.272615	0.234408	0.082264	0.135394	0.0592856
l	0.0234487	0.000391941	0.00120047	0.00149891	2.86838e-05	0.00186807	0.000781557	0.0131185	0.00633466	0.024227	0.0486221	0.0192288	0.280972	0.125037	0.26974	0.0126467	0.170855
á	0.00555366	0.000419458	0.00247849	0.00252008	0.000107085	0.00905572	0.00431665	0.0204401	0.0033918	0.0406615	0.056168	0.0506392	0.084793	0.247616	0.184719	0.0495758	0.237545
k	0.00722148	0.00172541	0.00514997	0.00240133	0.000158545	0.00892382	0.000540398	0.0345494	0.000640447	0.00960338	0.013853	0.00691835	0.0258441	0.0446854	0.332506	0.429293	0.0759855
ó	0.000208184	0.000313954	0.0047128	0.00289638	0.000810232	0.00446677	0.00482629	0.00419132	0.00274909	0.0114678	0.0122819	0.0114118	0.0301232	0.0830146	0.101998	0.694998	0.0295296
n	8.17173e-05	4.42589e-05	0.000199383	0.000792423	0.000491478	0.000260789	0.00099696	0.000777544	0.00213581	0.00453486	0.0050484	0.0184245	0.014794	0.0353688	0.0116336	0.870157	0.0342581
y	0.00112665	0.000363302	0.000856265	0.00185176	0.000613426	0.00218301	0.00596663	0.00308154	0.00170279	0.00921953	0.0179105	0.0586358	0.0550207	0.116615	0.0611353	0.532279	0.131439
i	0.00112956	0.00043533	0.000500531	0.000379179	0.000111622	0.000547262	0.0245361	0.000874889	0.000901376	0.00835461	0.0133813	0.0379505	0.0410291	0.21935	0.0524226	0.428239	0.169858
</S>	0.00263109	0.000625034	0.00433544	0.00432529	0.000419921	0.00652808	0.00148768	0.0107949	0.00469681	0.0225479	0.0425032	0.0339423	0.0825389	0.128409	0.212283	0.162988	0.278943
