 	ils	se	sont	anuités	dans	la	forêt	ils	n'	ont	pas	pu	rentrer	</S>
b	0.621744	0.11855	0.0197346	0.00692884	0.0183781	0.0563444	0.0792213	0.0342941	0.00581784	0.0106637	0.0164292	0.00332879	0.00779416	0.000771411
á	0.813334	0.0663478	0.00499778	0.000993616	0.00165775	0.00663772	0.00587244	0.0837751	0.00132572	0.00342279	0.00519683	0.00195987	0.00421144	0.000267452
a	0.751506	0.0696761	0.00148697	0.0022173	0.000908725	0.000971692	0.000702849	0.165141	0.0011921	0.00201847	0.00143807	0.00124041	0.000904745	0.000595414
á	0.197915	0.387518	0.229884	0.0185668	0.00725874	0.00273633	0.001286	0.00611048	0.0163262	0.0365778	0.0264845	0.00730401	0.00371792	0.0583147
l	0.00340678	0.0459217	0.443283	0.391427	0.0391343	0.00921444	0.00307429	0.000670457	0.00839814	0.0166869	0.0164777	0.0119875	0.00255642	0.00776148
e	0.000846412	0.0291817	0.251923	0.530014	0.0716841	0.0210909	0.00546575	0.00141509	0.0155667	0.016605	0.0113941	0.00795001	0.000269821	0.0365939
e	0.000406613	0.0194423	0.150987	0.722354	0.0630161	0.00971128	0.00191447	8.86908e-05	0.00218271	0.00356186	0.00561375	0.00828891	0.000158035	0.0122748
s	0.00501665	0.0507925	0.185552	0.286328	0.268657	0.106334	0.042582	0.0034908	0.00664151	0.0102618	0.0109301	0.00694637	0.00338994	0.0130759
i	0.000321039	0.00959747	0.0446459	0.514827	0.213372	0.10523	0.0313929	0.00204346	0.0148935	0.00922591	0.00851592	0.0162041	0.000448093	0.0292823
k	0.00266721	0.0124164	0.0921074	0.121626	0.243266	0.246745	0.193288	0.0335514	0.0139459	0.00843676	0.00606924	0.00548605	0.00310287	0.0172916
ó	0.00151357	0.0025164	0.00286196	0.130237	0.0544563	0.278588	0.270374	0.0320706	0.0113009	0.00455664	0.00994558	0.0703018	0.097406	0.033871
l	0.000537266	0.0151218	0.0129196	0.26409	0.0495866	0.147675	0.289404	0.0131431	0.0391396	0.014617	0.0173273	0.0519873	0.0405761	0.0438759
í	0.000741775	0.0111838	0.0162231	0.045752	0.0794016	0.222609	0.308662	0.0172186	0.0351843	0.0247172	0.0312427	0.0524004	0.038878	0.115786
s	0.00166705	0.00591068	0.0323875	0.0218886	0.115503	0.133226	0.261917	0.12536	0.128946	0.0681069	0.0485903	0.0248492	0.00575037	0.0258975
á	0.000609706	0.0011656	0.00932738	0.0244734	0.128883	0.308505	0.220952	0.0285589	0.105858	0.0311717	0.0273923	0.0353219	0.00257059	0.0752107
k	0.00169663	0.00119637	0.00536477	0.00159353	0.029589	0.119958	0.291666	0.272102	0.204442	0.0256533	0.0125375	0.0194967	0.00728563	0.00741934
ώ	0.00173594	0.000967126	0.00126545	0.00163169	0.011554	0.121118	0.245371	0.219348	0.102153	0.0202093	0.0201573	0.0630085	0.180714	0.0107672
á	0.000556317	0.000374912	0.000505046	0.00100146	0.00326411	0.0223595	0.0945003	0.0795748	0.081274	0.0462378	0.0543672	0.11884	0.444396	0.0527484
k	0.000221942	0.00273731	0.0081938	0.00549437	0.0113912	0.012038	0.00736282	0.0128898	0.199174	0.279818	0.206948	0.153209	0.0369396	0.0635813
ω	4.34222e-05	0.000529761	0.00164889	0.00729132	0.00765657	0.014547	0.00767732	0.000733405	0.0567558	0.0985055	0.201225	0.343403	0.174172	0.085811
n	0.000132875	0.000777486	0.000922434	0.00342548	0.00489239	0.0203952	0.0334753	0.00895265	0.0699172	0.0945543	0.17567	0.231853	0.216219	0.138814
d	0.000135588	0.00121183	0.00386	0.00206345	0.00612959	0.0187849	0.018549	0.00922617	0.0712897	0.139894	0.240611	0.23999	0.10893	0.139324
i	0.000211137	0.000867309	0.00248917	0.00119088	0.00663003	0.0340027	0.0342209	0.0118311	0.0744212	0.107938	0.174673	0.323692	0.0893828	0.13845
o	0.000573864	0.00157386	0.00782827	0.00105177	0.0113576	0.0175743	0.0170386	0.0417396	0.10192	0.242333	0.204608	0.0922709	0.0682625	0.191868
b	0.000344007	0.00404953	0.0187048	0.0234535	0.0319318	0.0184459	0.00566242	0.00165738	0.0565476	0.113239	0.165125	0.151296	0.263183	0.146361
v	0.000199435	0.00387761	0.0058481	0.0286937	0.0100676	0.0188623	0.00284125	0.00305077	0.0285852	0.0851318	0.238677	0.139174	0.362092	0.0728988
ú	0.000129651	0.0008623	0.00169251	0.00735649	0.00355071	0.00544272	0.00284475	0.00193917	0.0100333	0.0272595	0.0581253	0.0521273	0.787711	0.0409247
l	0.00200549	0.000649966	0.000965049	0.00241966	0.0126155	0.0148291	0.00718999	0.00587114	0.0184297	0.0510299	0.204925	0.311949	0.212672	0.154448
á	7.72799e-05	0.000126646	0.00212951	0.00332002	0.0116483	0.033275	0.0205392	0.00258921	0.0215276	0.108791	0.240477	0.172535	0.142912	0.240052
p	0.00121338	0.00127255	0.00652847	0.0045301	0.027706	0.0579101	0.104291	0.0326373	0.0484026	0.102874	0.0890816	0.0513334	0.176537	0.295683
o	0.000460953	0.000453482	0.000563239	0.00124178	0.00302425	0.0139472	0.0138511	0.00882196	0.0349382	0.0366794	0.0349746	0.0669719	0.703491	0.0805812
o	0.00111843	0.000900756	0.00313321	0.0105055	0.00658196	0.0057695	0.00587113	0.00198224	0.0284617	0.0417787	0.0689532	0.207437	0.486766	0.130741
</S>	0.000291009	0.000640059	0.007756	0.0102468	0.0235065	0.0216897	0.0073188	0.000644304	0.0138735	0.0839412	0.229091	0.0818196	0.10688	0.412301
