 	otsenge	se	nourrit	des	bâtons	de	man	ioc	cuit	à	l'	étouffée	</S>
o	0.483446	0.475171	0.00816483	0.0126124	0.00484097	0.00756983	0.00305821	0.00242297	0.000638478	0.000644832	0.00135708	1.68659e-05	5.66616e-05
t	0.602317	0.286916	0.0986373	0.00292853	0.00109594	0.000499233	4.63047e-05	0.000402018	0.000701841	0.00115444	0.000720967	0.000522798	0.00405692
s	0.598046	0.187364	0.16536	0.0252026	0.0126524	0.000712528	0.00101562	0.00132855	0.00242874	0.00223739	0.000920245	0.00132762	0.00140506
έ	0.564679	0.328444	0.077763	0.0154387	0.00680236	0.000788465	0.000771892	0.000971471	0.0010901	0.00100596	0.000315764	0.000906219	0.00102306
n	0.694003	0.217516	0.0258651	0.0125322	0.00464551	0.0065399	0.000404651	0.000952201	0.00225696	0.00314986	0.0023958	0.000457248	0.029282
g	0.565945	0.116126	0.0414312	0.0244024	0.00906296	0.027375	0.00138809	0.00568726	0.0198706	0.0269767	0.0127905	0.00121803	0.147727
ε	0.51314	0.192641	0.0710599	0.0825247	0.00338308	0.0118188	0.000248293	0.00296584	0.00792735	0.016737	0.0247875	0.000727189	0.0720391
l	0.0472268	0.216226	0.377868	0.196808	0.011676	0.0474221	0.00793567	0.0137134	0.0073749	0.00844768	0.0169066	0.00111538	0.0472786
á	0.0127117	0.0600373	0.326382	0.0653441	0.00510224	0.0324217	0.012344	0.0417168	0.0350009	0.0295102	0.0197662	0.00263203	0.357031
a	0.0105437	0.15361	0.123386	0.56481	0.0395803	0.0558535	0.00308339	0.0108362	0.00440088	0.00563714	0.0183651	0.00372124	0.0061719
d	0.0192734	0.0461045	0.661083	0.105581	0.127202	0.00292584	0.0049033	0.00454528	0.00470237	0.00364206	0.000516609	0.00457309	0.0149474
z	0.00136211	0.00563685	0.806735	0.0637289	0.0419566	0.00136974	0.000622914	0.00376774	0.00712398	0.00922469	0.000619555	0.000353414	0.057499
á	0.00636672	0.0123809	0.699885	0.229685	0.0293921	0.00336767	0.000318618	0.00205338	0.00248322	0.00318693	0.000412542	9.9775e-05	0.0103685
á	0.000744286	0.00452053	0.0493501	0.146335	0.102295	0.145516	0.0416255	0.104183	0.0638161	0.0807606	0.0538478	0.00382958	0.203176
m	0.00677652	0.0242978	0.0946971	0.129306	0.121739	0.298419	0.0613959	0.103621	0.0301654	0.0262765	0.0513625	0.00628846	0.0456548
á	0.00117153	0.00520301	0.0222088	0.102026	0.612151	0.0997375	0.00381494	0.0133935	0.0277384	0.0275778	0.00994903	0.00442544	0.0706033
m	0.00594212	0.00856	0.0262716	0.11425	0.283866	0.176215	0.053937	0.156171	0.046163	0.0366285	0.0226012	0.0525128	0.0168817
b	0.000626939	0.00284324	0.0196979	0.141088	0.528691	0.113128	0.00657001	0.0138326	0.029682	0.0362898	0.0448547	0.0131374	0.0495587
á	0.000204165	0.00142375	0.00608113	0.146321	0.602161	0.10587	0.0205606	0.006268	0.0183269	0.0182331	0.00587447	0.0622042	0.00647173
b	0.00081926	0.00180366	0.00546971	0.024708	0.66683	0.11722	0.0394707	0.0146744	0.0263446	0.0200675	0.00438977	0.0101081	0.0680943
h	0.000203538	0.00114398	0.00229299	0.0100741	0.128722	0.0917923	0.640443	0.0373405	0.0454359	0.0187401	0.00208213	0.013057	0.00867289
á	0.00433567	0.00483955	0.0165667	0.0832868	0.28696	0.141257	0.133626	0.0226559	0.0560971	0.053284	0.00932779	0.0130204	0.174743
á	0.00127765	0.00172505	0.00583802	0.0102246	0.0194777	0.259411	0.044085	0.204984	0.1202	0.0859533	0.0845937	0.0152831	0.146948
</S>	0.0163633	0.0156863	0.116272	0.0181046	0.0128241	0.0302117	0.010481	0.12959	0.183026	0.180128	0.159713	0.0755493	0.0520514
