 	il	manque	quelqu'	un	pour	réchauffer	les	restes	d'	hier	</S>
e	0.937508	0.040159	0.00759895	0.00629029	0.0055155	0.000854523	0.000914301	0.000227853	0.000884295	3.00521e-05	1.72085e-05
k	0.0486763	0.920803	0.0116157	0.00693165	0.00207468	0.00413751	0.000582692	0.00347732	0.000374934	0.000258033	0.0010683
u	0.0407551	0.775585	0.0502091	0.055839	0.0208225	0.0423093	0.00307266	0.00572989	0.00252781	0.00102818	0.00212169
l	0.00439165	0.491639	0.0238105	0.0910126	0.043254	0.254221	0.00856131	0.0632725	0.00840951	0.00226151	0.00916596
ú	0.273805	0.279137	0.162695	0.0937468	0.0845405	0.0521641	0.013082	0.00976669	0.0189194	0.000428224	0.011715
y	0.199202	0.267215	0.300448	0.054292	0.0371307	0.00648578	0.0248993	0.00663059	0.0228649	0.00136153	0.0794709
o	0.160725	0.260166	0.262529	0.0908436	0.0516834	0.0304316	0.0368579	0.0268174	0.023895	0.00934679	0.0467051
k	0.39129	0.12294	0.245847	0.0935889	0.0502248	0.0261834	0.0142963	0.0116158	0.01349	0.00139955	0.029124
ω	0.0801524	0.207815	0.363842	0.163012	0.0511367	0.0800357	0.011792	0.0280726	0.00347198	0.00491028	0.00575948
ω	0.0195161	0.175494	0.531845	0.145681	0.0377434	0.0490368	0.011074	0.00346075	0.00914804	0.00256569	0.0144355
é	0.00759617	0.0237983	0.423787	0.355813	0.11049	0.013084	0.0194315	0.00284965	0.019153	0.000702972	0.023294
m	0.0046695	0.0411165	0.216007	0.396359	0.218363	0.0662817	0.0185309	0.0153158	0.00956253	0.00176819	0.0120266
i	0.00134076	0.00764918	0.0548019	0.312928	0.485099	0.0796592	0.0250059	0.00779645	0.00888097	0.000215157	0.0166236
k	0.000325801	0.0294686	0.0679498	0.424443	0.277402	0.173516	0.00588889	0.00515562	0.00222964	0.000446235	0.0131748
á	0.000169957	0.0297936	0.0913686	0.454662	0.201597	0.173562	0.00814276	0.0172157	0.00150937	0.00191188	0.0200671
m	0.00106571	0.0262243	0.106446	0.299839	0.246576	0.117033	0.0304778	0.0735297	0.010322	0.00472999	0.083757
b	0.00016522	0.0011017	0.0150461	0.144746	0.66396	0.119334	0.0280337	0.00690251	0.00577173	0.000107061	0.0148321
á	0.000499841	0.000982662	0.0269594	0.14115	0.567454	0.158726	0.0494719	0.00478563	0.0177715	0.000198915	0.0320006
o	0.00287813	0.00189563	0.0365206	0.0775553	0.588362	0.102298	0.130643	0.015789	0.0336855	0.000715653	0.0096575
k	0.000165711	0.00252834	0.00585394	0.0346172	0.224951	0.562014	0.0850991	0.0716693	0.00432484	0.0058155	0.00296109
u	8.41997e-05	0.00219422	0.00688288	0.0389793	0.152955	0.635581	0.0426309	0.097283	0.00290072	0.0154642	0.00504441
r	0.000223268	0.000598943	0.00351734	0.04258	0.079518	0.729632	0.0169196	0.0924092	0.00181903	0.00276776	0.0300149
u	0.000933943	0.000380391	0.0103571	0.0757131	0.141966	0.594013	0.0498499	0.0795723	0.0116192	0.00156978	0.0340249
r	0.000767478	0.000323029	0.00940618	0.0370353	0.174166	0.334918	0.300937	0.0481477	0.0592415	0.00383621	0.0312227
u	0.00220102	0.000776759	0.00524083	0.0253101	0.09729	0.593513	0.102362	0.0692245	0.0529082	0.00250433	0.0486696
</S>	0.000459962	0.000231357	0.00342925	0.00599106	0.047729	0.0535888	0.578414	0.0632666	0.202448	0.00428423	0.0401574
