 	le	vanier	est	en	train	de	brûler	les	fibres	de	liane	</S>
o	0.903398	0.0738879	0.00455646	0.00754495	0.00531142	0.00186117	0.000434149	0.00165485	0.00020807	0.00109352	2.64526e-05	2.34475e-05
t	0.247157	0.72832	0.0131417	0.00133638	0.000373327	0.00109494	0.00191893	0.000628781	0.00236479	0.000720772	0.00211019	0.000833157
ó	0.481102	0.310065	0.0446834	0.0536114	0.0106813	0.00866532	0.0436515	0.0046539	0.0157356	0.00382948	0.0201835	0.00313825
n	0.320531	0.626522	0.0106081	0.00965996	0.00557828	0.00187235	0.00446142	0.000815651	0.00174562	0.000920824	0.00240432	0.0148811
g	0.721285	0.240374	0.0106785	0.00811128	0.0024622	0.00159618	0.00151218	0.00118072	0.00257099	0.00066573	0.00381883	0.0057445
i	0.765921	0.17121	0.0243691	0.0140741	0.00836806	0.00378974	0.00230464	0.00107839	0.00103884	0.000604572	0.000414731	0.00682657
m	0.33597	0.357024	0.218393	0.0512164	0.0157396	0.00849908	0.00112213	0.00387613	0.000238273	0.00262073	0.000513804	0.00478662
í	0.213173	0.348488	0.261279	0.0828742	0.0140447	0.0315798	0.00339482	0.0149469	0.000263791	0.0136581	0.00118842	0.0151096
a	0.433541	0.0363066	0.279899	0.13931	0.0189737	0.0252323	0.008009	0.013403	0.00154305	0.00757348	0.00188908	0.03432
b	0.0096761	0.011246	0.545484	0.181274	0.119361	0.0481338	0.0544588	0.00355274	0.00152379	0.00222758	0.000403324	0.0226586
ó	0.00576115	0.00213967	0.385358	0.221229	0.28129	0.0416283	0.0344501	0.00964725	0.000822709	0.00356114	0.000398837	0.0137135
l	0.0292237	0.0116497	0.318232	0.307019	0.194901	0.0429545	0.0654952	0.00504794	0.00482832	0.00210584	0.000985933	0.0175573
á	0.0179447	0.00576329	0.220823	0.223968	0.0959125	0.24036	0.0655198	0.0500721	0.0157337	0.0163903	0.0043412	0.0431709
a	0.013209	0.00302052	0.0726812	0.066089	0.108779	0.547252	0.0841573	0.0638106	0.00659923	0.0215783	0.00501254	0.00781181
t	0.00124105	0.00649489	0.0653704	0.0194583	0.0243188	0.272075	0.517418	0.022655	0.0489568	0.00397645	0.00264481	0.0153909
u	0.000315503	0.00015673	0.0252556	0.0418208	0.00818353	0.134477	0.461206	0.0474994	0.241506	0.00515878	0.00207731	0.0323443
m	0.000434691	5.87865e-05	0.011516	0.0323659	0.0046693	0.137188	0.358429	0.0465492	0.335847	0.00560532	0.00187235	0.0654644
b	0.00299245	0.000121323	0.00637008	0.0164202	0.00354672	0.157543	0.204912	0.384137	0.107961	0.0790773	0.0170332	0.0198855
á	0.00656664	0.000492608	0.00969758	0.0524368	0.00976628	0.0998158	0.24666	0.254864	0.190758	0.0377497	0.0214548	0.0697382
i	0.000880013	0.000344219	0.0065224	0.00701508	0.00275903	0.167979	0.0394725	0.517689	0.045481	0.192489	0.00606216	0.0133068
t	0.000330288	0.000227581	0.0048193	0.00200464	0.000726348	0.0287	0.223807	0.0642501	0.599372	0.016717	0.0191679	0.0398778
e	5.225e-05	1.14252e-05	0.000287634	0.000437843	8.20194e-05	0.00119735	0.0177261	0.00347962	0.972682	0.000532442	0.000930765	0.00258029
t	0.000114935	3.48026e-05	0.00247213	0.00648609	0.000749625	0.0174689	0.131053	0.04146	0.734638	0.00817284	0.0105205	0.0468295
é	9.77822e-05	6.80642e-06	0.000146356	0.000336699	3.82094e-05	0.00153502	0.0043221	0.00935021	0.966595	0.00219738	0.000766006	0.0146088
m	0.000231247	0.000272663	0.00366019	0.00590418	0.0025346	0.0331787	0.0322874	0.185662	0.394579	0.152432	0.0170775	0.17218
a	0.0011601	0.000211202	0.00187791	0.00330608	0.000422703	0.0130944	0.0128711	0.283427	0.0615535	0.32596	0.157793	0.138324
</S>	0.00185571	0.000289041	0.00373581	0.00392729	0.00254985	0.00902858	0.00841337	0.143782	0.0449332	0.228724	0.268169	0.284593
