 	les	sangliers	dorment	dans	les	endroits	touffus	de	la	forêt	</S>
a	0.856125	0.0810494	0.0438978	0.00607468	0.00417461	0.00400321	0.00150325	0.00133183	0.00169161	0.000141832	7.33019e-06
t	0.0579285	0.881833	0.0487323	0.00100548	0.00155739	0.00402834	0.00124774	0.000772816	0.00153551	0.000992683	0.000366514
s	0.0288227	0.712913	0.163318	0.0140272	0.0179867	0.0225967	0.00881017	0.00458133	0.00313467	0.0136608	0.0101485
o	0.0144305	0.789596	0.117838	0.0363494	0.0116827	0.00810821	0.00496184	0.00436251	0.00197456	0.00489314	0.00580327
m	0.0543239	0.660888	0.229084	0.0113991	0.00832674	0.0146353	0.00214968	0.00280636	0.00521281	0.00804998	0.00312352
b	0.254684	0.297013	0.285304	0.0370315	0.036337	0.0231128	0.00481964	0.00855037	0.00341697	0.00204042	0.0476901
o	0.314826	0.307979	0.281937	0.0286807	0.0206157	0.0137203	0.00281462	0.00488865	0.00172075	0.000901947	0.0219154
b	0.323509	0.121745	0.354951	0.104895	0.0406525	0.0131408	0.00538476	0.0094956	0.00876932	0.00377164	0.0136856
á	0.438517	0.00490509	0.183521	0.147731	0.119716	0.0235296	0.0134178	0.017524	0.00782373	0.00765205	0.0356635
a	0.337926	0.0103398	0.181146	0.307162	0.0763864	0.0192439	0.0222388	0.0100484	0.0082867	0.00582692	0.0213951
b	0.0172861	0.00421028	0.242107	0.363289	0.141224	0.0990917	0.0552499	0.0266159	0.021716	0.00475765	0.024453
v	0.00825886	0.000296988	0.584999	0.177867	0.130169	0.0396691	0.0175418	0.013727	0.00633766	0.00306371	0.0180705
á	0.00473215	0.000372839	0.718272	0.126125	0.0978061	0.0166021	0.0145368	0.0111344	0.0055164	0.00236562	0.00253626
f	0.00276551	6.14798e-05	0.0310585	0.285593	0.207981	0.224826	0.0732638	0.0433186	0.0217351	0.0135067	0.0958907
u	0.00796006	0.000742048	0.0361326	0.130297	0.321667	0.165719	0.153348	0.0431206	0.011909	0.0661674	0.0629365
l	0.000116799	0.000149771	0.00287335	0.0462056	0.218591	0.364474	0.256118	0.0282651	0.00911431	0.0374022	0.0366905
ú	0.00984816	0.00357734	0.0104822	0.145294	0.276266	0.264924	0.118056	0.0667232	0.0348304	0.0264164	0.0435822
s	0.00803106	0.000910955	0.00581369	0.2226	0.164409	0.14203	0.111633	0.141165	0.145486	0.0260018	0.0319202
í	0.00471305	0.000361998	0.00247817	0.245504	0.212002	0.134496	0.0753205	0.0996404	0.107081	0.0504997	0.067903
k	0.00529643	0.000622124	0.00162198	0.076379	0.0570203	0.0764547	0.251677	0.113772	0.12268	0.23667	0.057806
u	0.000203677	0.00034833	0.00197032	0.00560284	0.0173481	0.0545596	0.341798	0.0525185	0.0218501	0.490936	0.0128653
n	0.000311511	0.000315028	0.000180048	0.00298752	0.0126515	0.0504948	0.237571	0.0440895	0.0239807	0.617239	0.0101796
d	0.000482638	0.000208028	0.000239958	0.00692784	0.0545912	0.119329	0.0336161	0.151586	0.135763	0.375627	0.121629
á	0.000730729	0.000301651	0.00121148	0.0160059	0.0523782	0.0562049	0.0216272	0.130574	0.123864	0.53542	0.0616819
</S>	0.00749485	0.000924268	0.000778646	0.00983458	0.0166014	0.0204471	0.0166559	0.13545	0.171222	0.160225	0.460367
