 	cette	manière	de	préparer	le	poulet	donne	de	l'	appetit	</S>
e	0.33494	0.274821	0.0875132	0.148814	0.0990424	0.0150212	0.0053998	0.00887044	0.0211808	0.000777809	0.00361947
l	0.00772843	0.00188435	0.0373547	0.693968	0.115489	0.0757455	0.00138465	0.0432133	0.00751062	0.0149968	0.000725361
á	0.00383161	0.00363626	0.0145631	0.273669	0.0178497	0.541794	0.0110707	0.0529328	0.0031838	0.038915	0.0385544
m	0.00286479	0.00618264	0.109632	0.398697	0.0838052	0.184668	0.0324045	0.0979915	0.0306239	0.0418322	0.0112974
b	0.0169089	0.000677107	0.047828	0.140209	0.136487	0.0979701	0.0610925	0.111917	0.0208818	0.0414853	0.324543
í	0.109541	0.0212545	0.081378	0.0614978	0.210452	0.0410764	0.0289582	0.148911	0.0299369	0.0124036	0.25459
l	0.132662	0.0375199	0.221334	0.0795343	0.149657	0.0443285	0.120764	0.0589181	0.073705	0.0108264	0.07075
í	0.0662331	0.0211593	0.129236	0.0533834	0.0868043	0.0141712	0.0773464	0.061732	0.0272354	0.0261775	0.436521
y	0.217938	0.0740606	0.276641	0.0499953	0.0722892	0.0379606	0.0928038	0.0506555	0.0722677	0.00930464	0.0460837
á	0.0551328	0.0132514	0.312984	0.107196	0.113757	0.0881658	0.0394853	0.0424318	0.027642	0.0451301	0.154824
t	0.0252452	0.0419665	0.228792	0.10132	0.159518	0.229716	0.054341	0.0442507	0.0286194	0.025998	0.0602333
s	0.00808462	0.00369958	0.0368496	0.107959	0.245863	0.422656	0.0771339	0.0451814	0.0100422	0.0220496	0.0204807
ó	0.00179465	0.000354294	0.0277078	0.0365367	0.0527965	0.661974	0.138334	0.0480534	0.00870709	0.00438191	0.0193594
s	0.00161434	0.000721184	0.059637	0.0575745	0.108324	0.627362	0.0920838	0.0260169	0.00827738	0.00380747	0.0145808
ó	0.0551309	0.00594863	0.0778278	0.0456397	0.193932	0.254962	0.174187	0.0754337	0.0225555	0.0202005	0.0741826
y	0.00823921	0.00456498	0.153619	0.12562	0.200904	0.0539652	0.25524	0.0807605	0.0871862	0.0131067	0.0167944
é	0.379263	0.0795897	0.119043	0.0385157	0.168423	0.0369244	0.0791563	0.0285446	0.0254248	0.0362797	0.0088358
y	0.120246	0.0662145	0.0863825	0.0289941	0.205857	0.0105791	0.191174	0.073542	0.124325	0.0709466	0.0217395
é	0.225484	0.0389786	0.123302	0.0405851	0.165031	0.0124037	0.0884474	0.0654947	0.0722426	0.149814	0.0182176
e	0.026042	0.00482825	0.0515021	0.0170314	0.102753	0.00426868	0.233104	0.151387	0.22209	0.134346	0.0526471
p	0.00291442	0.000544454	0.0142233	0.0181306	0.0191549	0.00268961	0.133016	0.229439	0.168652	0.361099	0.0501368
έ	0.00016501	5.39313e-05	0.00571921	0.00938256	0.0076964	0.0106895	0.0939686	0.307868	0.11069	0.31522	0.138547
b	0.0105807	0.00621358	0.052373	0.0463263	0.134952	0.0182395	0.166153	0.172651	0.14941	0.103078	0.140022
a	0.0445803	0.0237605	0.0553234	0.0459239	0.1619	0.0113454	0.148115	0.271336	0.141849	0.0361579	0.059708
r	0.00255506	0.00442796	0.0163029	0.00778412	0.0256319	0.00418016	0.112141	0.167776	0.191631	0.116676	0.350893
e	0.00857446	0.00129379	0.0083264	0.00251508	0.0239952	0.000580264	0.0260523	0.334421	0.295951	0.117788	0.180503
p	0.00225754	0.00162879	0.0298161	0.00989694	0.0301853	0.00103698	0.0573492	0.119182	0.412747	0.101405	0.234495
ó	0.00306057	0.00223277	0.0161261	0.0176317	0.0145792	0.0139905	0.12294	0.163943	0.215375	0.296168	0.133953
s	0.000163123	0.000106446	0.00133841	0.00184539	0.00176011	0.00250598	0.0442884	0.0710832	0.0579923	0.438769	0.380147
á	0.00267424	0.000170334	0.00275981	0.00492857	0.00365472	0.0147376	0.0612936	0.183315	0.154418	0.397425	0.174622
o	0.0210322	0.0213834	0.0226674	0.0163789	0.0178639	0.00402065	0.0368435	0.0488883	0.161428	0.198298	0.451196
d	0.00118717	0.000169032	0.0108952	0.0126108	0.00948093	0.00173695	0.0187143	0.0719816	0.224772	0.46509	0.183362
z	0.00109969	6.43109e-05	0.00819342	0.0117056	0.00826531	0.000815551	0.00930208	0.0695221	0.149697	0.539996	0.20134
á	0.00535422	0.000744975	0.0144098	0.010166	0.01974	0.00198693	0.0110425	0.0837276	0.105667	0.631015	0.116146
a	0.0140681	0.0077586	0.0130099	0.00543893	0.00710016	0.000593046	0.0158859	0.0476889	0.114981	0.0785272	0.694949
</S>	0.0155509	0.00268836	0.034255	0.0258807	0.0183516	0.00278738	0.0478476	0.074783	0.120519	0.102703	0.554633
