 	il	regarde	en	l'	air	</S>
w	0.74123	0.223593	0.00937447	0.0242972	0.00119196	0.000313652
a	0.926878	0.0531027	0.00369843	0.0158276	0.000414301	7.87168e-05
l	0.333864	0.543322	0.0641569	0.0485251	0.00140413	0.00872802
á	0.150869	0.351798	0.133434	0.0702278	0.00198991	0.291681
a	0.214843	0.486024	0.0814561	0.0964803	0.00446451	0.116732
t	0.0400056	0.449978	0.463042	0.0209052	0.0106622	0.0154062
á	0.0249012	0.0401325	0.841653	0.0388498	0.00362228	0.0508411
á	0.0118124	0.0683077	0.796333	0.0878417	0.00267297	0.0330322
i	0.0590314	0.0515996	0.415014	0.432772	0.0232767	0.018306
k	0.00706892	0.0238461	0.447417	0.281883	0.193222	0.046564
o	0.00204049	0.00978807	0.358408	0.0941042	0.497322	0.0383367
ó	0.000225382	0.00345256	0.187742	0.132547	0.652317	0.0237166
</S>	0.00154951	0.000924468	0.197738	0.292907	0.111919	0.394962
