 	ma	femme	poursuit	encore	ses	études	</S>
m	0.823815	0.142808	0.0157812	0.00560424	0.00819816	0.00283745	0.000955653
w	0.0355494	0.947301	0.0134394	0.00176158	0.0015809	0.000102059	0.000265976
á	0.143788	0.842965	0.0104786	0.000328445	0.00136805	0.000930726	0.000141044
s	0.865478	0.116319	0.00348108	0.000632548	0.00169799	0.00337555	0.0090166
í	0.352091	0.220735	0.12685	0.0758949	0.0374668	0.00843145	0.17853
y	0.432769	0.295287	0.0389603	0.0711566	0.0669478	0.00691758	0.0879616
a	0.518545	0.228475	0.0846827	0.0631478	0.0499106	0.00934988	0.0458896
n	0.932175	0.040891	0.0138176	0.00248486	0.00329474	0.000629979	0.00670653
g	0.809033	0.0553048	0.0679766	0.0127395	0.0420136	0.00116074	0.0117713
á	0.295506	0.272649	0.21831	0.0303035	0.0693136	0.0103312	0.103586
a	0.218045	0.0549397	0.42846	0.175738	0.0609439	0.00801076	0.0538635
s	0.00422648	0.00229065	0.389302	0.566215	0.0190489	0.00361562	0.0153015
á	0.029389	0.0384237	0.465611	0.4182	0.0270929	0.00119981	0.0200833
a	0.295458	0.00980776	0.283186	0.335768	0.029185	0.00618311	0.0404121
l	0.00477978	0.00134134	0.544106	0.36146	0.0750888	0.00448697	0.00873708
á	0.0349423	0.00117647	0.251785	0.262318	0.244473	0.0314832	0.173823
a	0.0778366	0.00548037	0.461575	0.139166	0.219749	0.0443073	0.0518853
l	0.00191466	0.00572445	0.233008	0.52095	0.15979	0.0619265	0.0166858
ω	0.000516319	0.000656491	0.226685	0.448661	0.0980256	0.168016	0.05744
n	0.000656136	0.000393338	0.0371775	0.116565	0.220598	0.537343	0.0872677
d	0.00425315	0.00110885	0.136975	0.339772	0.186346	0.207657	0.123889
ώ	0.0100278	0.00293798	0.121963	0.202178	0.278247	0.264454	0.120192
ώ	0.00266438	0.000198848	0.0115951	0.0403778	0.420986	0.348288	0.17589
l	0.00284069	0.000460353	0.0133122	0.129741	0.495045	0.192523	0.166077
e	0.00944539	0.000236183	0.0194548	0.194316	0.380576	0.125369	0.270603
k	0.000548014	0.00064193	0.02629	0.0736461	0.37276	0.241133	0.284981
ώ	0.000105572	1.49227e-05	0.00138131	0.00772059	0.0202312	0.88986	0.080686
ώ	0.000111483	3.193e-06	0.00080641	0.00177981	0.00997874	0.959848	0.0274719
l	0.00145111	0.000203782	0.0129637	0.0335084	0.247824	0.242835	0.461215
i	0.00642351	0.000115909	0.0084865	0.0398254	0.214019	0.297236	0.433894
</S>	0.0208188	0.00117259	0.0332507	0.0444023	0.133746	0.102996	0.663614
