 	la	rivière	s'	est	déjà	calmée	</S>
e	0.544227	0.413403	0.0371144	0.00274646	0.0022075	0.000200655	0.000100697
b	0.178261	0.756119	0.0356152	0.0196943	0.00526347	0.00433768	0.000709593
a	0.0493022	0.885552	0.0193929	0.0184161	0.0020969	0.0235986	0.00164089
a	0.0433985	0.878981	0.0384532	0.0083997	0.00109448	0.00473595	0.0249377
é	0.390418	0.162387	0.369424	0.0240928	0.00793975	0.000107725	0.0456304
m	0.0615659	0.0560749	0.398708	0.365428	0.0831329	0.00219199	0.0328979
i	0.0186312	0.0167277	0.136611	0.36299	0.355079	0.0406582	0.0693033
s	0.00448966	0.00913163	0.0609664	0.61243	0.24044	0.0450019	0.02754
á	0.00397812	0.00619285	0.0212117	0.519343	0.367685	0.0506088	0.0309801
á	0.00421388	0.00265552	0.0607231	0.384622	0.192624	0.00982196	0.34534
o	0.028475	0.00934728	0.16033	0.254847	0.472869	0.0479441	0.0261873
l	0.00247078	0.00213948	0.00424188	0.0819584	0.189074	0.709229	0.0108868
ώ	0.00274733	0.00619965	0.0120591	0.147774	0.343607	0.464437	0.0231763
m	0.00123203	0.00316981	0.0225728	0.0585954	0.0705171	0.819204	0.0247086
b	0.00144139	0.000723618	0.0094136	0.114151	0.177041	0.549905	0.147325
ω	0.00599966	0.00308573	0.0178865	0.062445	0.0387848	0.51068	0.361118
</S>	0.0125589	0.00379771	0.0236624	0.0503469	0.126541	0.150357	0.632736
